,VariableNameA,VariableNameB,descriptionA,descriptionB,similarity_score
348,COST6,00216,How many units available at sixth cost?,Plant and Equipment                  216 Plant and Equipment Plant and Equipment Plant and equipment                               00216,47.6%
349,OWNSTAT_RACE_OTH_WRTIN,00041,Race of majority ownership -The 'other' race from as indicated on the Race of Majority Ownership,Owned by another company-NO/YES Owned by another company - No/Yes Owned by another Company-No/Yes Owned by more than 50%                            00041,47.6%
350,EXPS_ADMIN_OTHLIFE,00110,"Adminstrative Expenses, All other activities (i.e., property and casualty, including reinsurance, etc.)",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,47.6%
351,EXPS_CON_PCT_MAIN,00103,"Expenditures incurred, Maintenance and repair",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,47.6%
352,BUS_TECH_ADD_MFG_N_ARCHIVE,00001,Yes/No/Don't Know for Business Technology B,Is this your Company's Industry -YES/NO Is this your company's industry - yes/no Is this your company's industry - yes/no Does the industry description describe your       00001,47.5%
353,EXPS_ADMIN_OTHPC_INS,00110,"Adminstrative Expenses, Other property and liability (casualty) insurance",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,47.5%
354,AFFIL_OWNER_STOCK_STAT,00041,Ownership or Control: Percent of Voting Stock Held,Owned by another company-NO/YES Owned by another company - No/Yes Owned by another Company-No/Yes Owned by more than 50%                            00041,47.5%
355,EMP_MAR12_PY,P2PAY,"First  Quarter Employment,  Prior Year",Prior Prior quarter payroll from BR nan nan nan,47.5%
356,MERCH_EST_NEW_1_WRTIN,00101,"Merchandise Sales,","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",47.4%
357,JOINT_COMPANY_ADDR_CITY_5,00326,"Investors, City of Company Investor 5",Capital Stock and Other Capital      326 Capital Stock and Other Capital Capital Stock and Other Capital Capital stock and other capital                   00326,47.4%
358,INV_E_WIP_VAL,00214,"Inventories: work in process, EOY",Inventories                          214 Inventories Inventories Inventories                                       00214,47.3%
359,PAY_QTR1_PRDWRK_VAL,PPAY,First Quarter Payroll - Production Workers,Prior quarter payroll from br nan nan nan,47.3%
360,EXPS_COMPTR_OTHEQ_VAL,00216,Computer Hardware and Other Equipment,Plant and Equipment                  216 Plant and Equipment Plant and Equipment Plant and equipment                               00216,47.3%
361,JOINT_COMPANY_ADDR_CITY_4,00326,"Investors, City of Company Investor 4",Capital Stock and Other Capital      326 Capital Stock and Other Capital Capital Stock and Other Capital Capital stock and other capital                   00326,47.3%
362,COMPID,00022,Company ID used for disclosure avoidance processing,EI of corp Employer Identification Number Employer Identification Number Federal Employer Identification Number (EI)       00022,47.2%
363,RCPT_MOTOR_TOT_PCT,00101,"Trucking Revenue,  Total","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",47.2%
364,INCOM_U_INSTAL_FEES_PCT,00121,"Installment credit, Fees",Other Credits to Retained Earning    121 Other Credits to Retained Earning Other Credits to Retained Earnings Other Direct Credits (Charges) to                 00121,47.2%
365,CAPEX_MACH_OTH_PY,00326,"Capital Expenditures, Others Prior Year",Capital Stock and Other Capital      326 Capital Stock and Other Capital Capital Stock and Other Capital Capital stock and other capital                   00326,47.1%
366,JOINT_INVEST_PCT_5,00051,Investors: Percent of Investment of Company Investor 5,Own another company-YES/NO Own another company - Yes/No Own another Company-yes/no Does this corp own more than 50% of another       00051,47.1%
367,INCOM_U_INSTAL_INTER_PCT,00313,"Installment credit, Interest",Current Portion of Long Term Debt    313 Current Portion Long Term Debt-Other Current Portion Long Term Debt Current portion LT debt - other                   00313,47.1%
368,COVERAGE_INST,00001,QSS Industry description,Is this your Company's Industry -YES/NO Is this your company's industry - yes/no Is this your company's industry - yes/no Does the industry description describe your       00001,47.0%
369,PRCH_COMPUTER_OTHEQ,00103,Expensed computer hardware and other equipment,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,46.9%
370,AFFIL_FORSTOCK_GE10_STAT,00208,Foreign Affiliates Status,Foreign Securities                   208 Foreign Securities Foreign Securities Foreign securities due in one year or less        00208,46.9%
371,OPSTAT_ADDR_ST_TXT,00207,Operational Status: Sold or Leased State,St and Local Government Securities   207 State and Local Government Securities State and Local Government Securities St/local govt securities (due 1 yr or less)       00207,46.8%
372,COST1,00216,How many units available at first cost?,Plant and Equipment                  216 Plant and Equipment Plant and Equipment Plant and equipment                               00216,46.8%
373,JOINT_COMPANY_ADDR_ZIP_3,00206,Investors: ZIP Code of Company Investor 3,Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,46.8%
374,EXPS_ADMIN_PRPCAS_REINS,00110,"Adminstrative Expenses, Property and casualty reinsurance",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,46.8%
375,DIRECT_PREM_TOT,00121,"Direct Premiums Earned,  Total",Other Credits to Retained Earning    121 Other Credits to Retained Earning Other Credits to Retained Earnings Other Direct Credits (Charges) to                 00121,46.8%
376,AFFIL_FOR_NAME,00061,"Name of the foreign entity (company, individual, government, etc.)",Number of Subsidiary corps Number of Subsidiary Corporations Number of Subsidiary Corporations How many domestic and foreign corporations are    00061,46.7%
377,EXPS_MAT_V2_VAL,00216,"Materials, Parts, and Supplies V2",Plant and Equipment                  216 Plant and Equipment Plant and Equipment Plant and equipment                               00216,46.7%
378,ASKROW2,00103,Flag to determine of the third row of COST variables needs to be asked,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,46.6%
379,BUS_TECH_IND_ROB,00001,Yes/No/Do not Know for Business Technology D,Is this your Company's Industry -YES/NO Is this your company's industry - yes/no Is this your company's industry - yes/no Does the industry description describe your       00001,46.6%
380,AFFIL_FORSTOCK_STAT,00041,Foreign Ownership or Control: Percent of Voting Stock Held,Owned by another company-NO/YES Owned by another company - No/Yes Owned by another Company-No/Yes Owned by more than 50%                            00041,46.6%
381,INV_LIFO_COST_BGN,00101,"Inventories, Amount subject to Last-In, First-Out (LIFO) gross (gross LIFO amount) before adjustment,  Beginning of Year","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",46.6%
382,PAY_ANN_VAL,PPAY,Annual payroll,Prior quarter payroll from br nan nan nan,46.6%
383,PAY_ANN_VAL,PPAY,Annual Payroll,Prior quarter payroll from br nan nan nan,46.6%
384,COST11,00216,How many units available at eleventh cost?,Plant and Equipment                  216 Plant and Equipment Plant and Equipment Plant and equipment                               00216,46.6%
385,PRCH_AUX_TOT,00110,"Auxiliary establishment, Total selected expenses",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,46.6%
386,INCOM_UNIT_BROK_INTER_PCT,00212,"Brokering and Dealing Products, Interest income from trading accounts",Other Trade Accounts                 212 Other Trade Accounts Other Trade Accounts Other trade accounts and trade notes receivable   00212,46.5%
387,PRCH_COMPUTER_OTHEQ_PY,00103,Expensed computer hardware and other equipment   Prior Year,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,46.5%
388,RCPT_CLIENT_U_COMM,00206,"Class of Customer,  Commercial (Include farms.)",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,46.5%
389,RCPT_ECOMM_NO_ARCHIVE,00101,"Were any of the sales, shipments, receipts, or revenue a result of e-commerce transactions?","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",46.4%
390,INCOM_U_OTHER_FEES_PCT,00121,"Other credit financing, Fees",Other Credits to Retained Earning    121 Other Credits to Retained Earning Other Credits to Retained Earnings Other Direct Credits (Charges) to                 00121,46.4%
391,JOINT_INVEST_PCT_3,00051,Investors: Percent of Investment of Company Investor 3,Own another company-YES/NO Own another company - Yes/No Own another Company-yes/no Does this corp own more than 50% of another       00051,46.4%
392,NPATREV_INVPROP,00110,"Non-Patient Care Revenue,  Investment and property income - Include interest and dividends. Exclude gains (losses) from assets sold.",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,46.4%
393,NUMUNITSU3,00061,Total Number of Coop units,Number of Subsidiary corps Number of Subsidiary Corporations Number of Subsidiary Corporations How many domestic and foreign corporations are    00061,46.4%
394,TRUCKTRAC_WOD_NUM,00216,"Inventories:_x000D_
Truck-tractors without drivers",Plant and Equipment                  216 Plant and Equipment Plant and Equipment Plant and equipment                               00216,46.4%
395,PAY_ANN_PRDWRK_PY,P2PAY,Annual Payroll for Production Workers Prior Year,Prior Prior quarter payroll from BR nan nan nan,46.3%
396,PREV_OWN_ACQ_DATE,00035,New Establishment: Acquisition Date,Merged Date Merged Date Merged Date Corporation Status of MERGED Date (YYYYMMDD)      00035,46.3%
397,OPSTAT_END_DATE,00031,Operational Status: Temporarily or seasonally inactive end,Corp status active/discontinued/merged Corporation Status Active/Discontinued/Merged Corporation Status Active/Discontinued/Merged Corporation Status                                00031,46.3%
398,JOINT_COMPANY_ADDR_CITY_3,00326,"Investors, City of Company Investor 3",Capital Stock and Other Capital      326 Capital Stock and Other Capital Capital Stock and Other Capital Capital stock and other capital                   00326,46.3%
399,RCPT_ECOMM_OTH_STAT,00101,Revenue from Electronic Sources: Electronic systems,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",46.3%
400,PROD_7004175000,00101,The Gross Sales of each product manufactured or mined by this establishment,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",46.2%
401,PRCH_AUX_OTHEXPS,00110,"Auxiliary establishment,  all other selected expenses",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,46.2%
402,EXPS_PROGPROD_VAL,00103,Program and Production Costs,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,46.2%
403,LSD_50_STAT,00022,Professional Employer Organization (PEO) Status,EI of corp Employer Identification Number Employer Identification Number Federal Employer Identification Number (EI)       00022,46.0%
404,RCPT_PER_PUB_VAL,00101,Total Periodical Revenue,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",46.0%
405,COST4,00216,How many units available at fourth cost?,Plant and Equipment                  216 Plant and Equipment Plant and Equipment Plant and equipment                               00216,46.0%
406,INCOM_LOAN_RESMOR_ORI_PCT,00301,"Loan Products Income, Residential mortgage loans, Origination Fees",Short Term Loans (Loans from Banks)  301 Short Term Loans (Loan from Banks) Short Term Loans (Loan from Banks) Short-term loans -- Loans from banks              00301,46.0%
407,INV_E_LIFO_NET_VAL,00214,Total Inventories After LIFO Adjustment,Inventories                          214 Inventories Inventories Inventories                                       00214,46.0%
408,JOINT_INVEST_PCT_1,00051,Investors: Percent of Investment of Company Investor 1,Own another company-YES/NO Own another company - Yes/No Own another Company-yes/no Does this corp own more than 50% of another       00051,45.9%
409,OPSTAT_NAME1_TXT,00031,Operational Status: Sold or Leased Name 1,Corp status active/discontinued/merged Corporation Status Active/Discontinued/Merged Corporation Status Active/Discontinued/Merged Corporation Status                                00031,45.9%
410,TAXSTAT,00114,Tax exempt status,Provision for income taxes           114 Provision for Income Taxes Provision for domestic income taxes Provision for Current and Deferred Income Taxes   00114,45.9%
411,INV_E_MAT_VAL,00214,"Inventories: materials, EOY",Inventories                          214 Inventories Inventories Inventories                                       00214,45.9%
412,JOINT_COMPANY_ADDR_ZIP_1,00206,Investors: ZIP Code of Company Investor 1,Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,45.8%
413,CAPEX_OTH_USED_WRTIN_TXT,00103,"Capital Expenditures: Other used - total, specify",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,45.8%
414,RCPT_USEDGT75,00101,Did the sale of used or secondhand merchandise account for more than 75% of the total sales and receipts reported?,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",45.7%
415,CAPEX_MACH_OTH,00326,"Capital Expenditures, Others",Capital Stock and Other Capital      326 Capital Stock and Other Capital Capital Stock and Other Capital Capital stock and other capital                   00326,45.7%
416,OPSTAT_EIN_NUM,00031,Operational Status: Sold or Leased EIN,Corp status active/discontinued/merged Corporation Status Active/Discontinued/Merged Corporation Status Active/Discontinued/Merged Corporation Status                                00031,45.7%
417,JOINT_COMPANY_ADDR_CITY_1,00321,"Investors, City of Company Investor 1",Capital Stock and Other Capital      321 Capital Stock and Other Capital Capital Stock and Other Capital Capital stock and other capital                   00321,45.7%
418,EXPS_ADMIN_VEHPC_INS,00110,"Adminstrative Expenses, Vehicle property and liability (casualty) insurance",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,45.7%
419,ESTAB_NUM,00072,Total number of establishments,Number of Subs - not consolidated Number of Subsidiary Corporations - Not Consolidated Number of Subsidiary Corporations - Not consolidated Number of Subsidiaries Not Fully Consolidated     00072,45.6%
420,JOINT_COMPANY_ADDR_CITY_2,00326,"Investors, City of Company Investor 2",Capital Stock and Other Capital      326 Capital Stock and Other Capital Capital Stock and Other Capital Capital stock and other capital                   00326,45.6%
421,PRCH_AUX_REPAIR_TRANS,00219,"Auxiliary establishment, purchased repairs and maintenance to transportation equipment","Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",45.5%
422,ASKROW3,00103,Flag to determine of third row of COST variables needs to be asked,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,45.4%
423,PAY_ANN_OTHWRK_M_PY,P2PAY,Annual Payroll for Other Manufacturing Employees  prior Year,Prior Prior quarter payroll from BR nan nan nan,45.4%
424,ASSET_CAPEX_VAL,00218,capex for depreciated assets,"Accumulated Depreciation             218 Accumulated Depreciation Accumulated Depreciation Accum depr, depletion, and amortization           00218",45.4%
425,NPATREV_OTHER_OP_WRTIN,00101,"All other non-patient care operating  revenue,  Other write-in description","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",45.4%
426,RCPT_MOTR_USEDGD_DVAL,00101,Used household and office goods motor carrier revenue,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",45.4%
427,INCOM_UNIT_CRED_INTER_PCT,00105,"Credit Card Products,  Interest",Interest Expense                     105 Interest Expense Interest expense Interest Expense                                  00105,45.4%
428,PRCH_AUX_REPAIR_BUILD,00219,"Auxiliary establishment,  purchased repairs and maintenance to buildings, structures, and offices","Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",45.3%
429,TAX_DESC_TXT,00113,The description of the tax status of the location or KAU,Provision for income taxes (STATE)   113 Provision for Income Taxes (STATE) Provision for domestic income taxes (STATE) Provision for Income Taxes -- State               00113,45.3%
430,PREV_OWN_EIN_NUM,00044,New Establishment: Former Ownership EIN,EI of company who owns EI of company who owns EI of company who owns Federal EI of Company that owns more than 50%     00044,45.3%
431,INV_WRKPROC_BGN,00214,"Inventories, Work-in-process, Beginning of Year",Inventories                          214 Inventories Inventories Inventories                                       00214,45.3%
432,AFFIL_FOR_ADDR_CNTRY,00061,"Country of the foreign entity (company, individual, government, etc.)",Number of Subsidiary corps Number of Subsidiary Corporations Number of Subsidiary Corporations How many domestic and foreign corporations are    00061,45.3%
433,EXPS_LOSS_NONMED_VAL,00104,"Direct Losses Incurred: Property, Except Life",Income (loss) from operations        104 Income (loss) from Operation Income (loss) from operations Income (Loss) from operations                     00104,45.3%
434,PRCH_ENT_TAX,00110,"Enterprise payments for other establishments,  Governmental taxes and license fees (Exclude sales, excise, and income taxes.)",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,45.2%
435,CAPEX_OTH_NEW_WRTIN_TXT,00326,"Capital Expenditures: Other new - total, specify",Capital Stock and Other Capital      326 Capital Stock and Other Capital Capital Stock and Other Capital Capital stock and other capital                   00326,45.1%
436,EXPS_LOSS_VAL,00104,"Direct Losses Incurred: Property, including Life",Income (loss) from operations        104 Income (loss) from Operation Income (loss) from operations Income (Loss) from operations                     00104,45.0%
437,BUS_TECH_RFID_Y,00001,Yes/No/Do Not Know for Business Technology C,Is this your Company's Industry -YES/NO Is this your company's industry - yes/no Is this your company's industry - yes/no Does the industry description describe your       00001,45.0%
438,JOINT_COMPANY_ADDR_ZIP_2,00206,Investors: ZIP Code of Company Investor 2,Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,45.0%
439,OPSTAT_NAME2_TXT,00031,Operational Status: Sold or Leased Name 2,Corp status active/discontinued/merged Corporation Status Active/Discontinued/Merged Corporation Status Active/Discontinued/Merged Corporation Status                                00031,45.0%
440,RENT_PAY_AUX_BUILD,00219,"Auxiliary establishments,  Lease and rental payments for land, buildings, structures, store spaces, and offices","Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",45.0%
441,JOINT_COMPANY_ADDR_ZIP_5,00206,Investors: ZIP Code of Company Investor 5,Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,44.9%
442,TRUCK_WOD_NUM,00214,"Inventories:_x000D_
Trucks without drivers",Inventories                          214 Inventories Inventories Inventories                                       00214,44.9%
443,ASKROW1,00103,Flag to determine of first and second row of COST variables needs to be asked,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,44.9%
444,OPSTAT_STAT,00031,Operational Status Selection,Corp status active/discontinued/merged Corporation Status Active/Discontinued/Merged Corporation Status Active/Discontinued/Merged Corporation Status                                00031,44.9%
445,AFFIL_OWNER_DOM_STAT,00041,Ownership or Control: Status,Owned by another company-NO/YES Owned by another company - No/Yes Owned by another Company-No/Yes Owned by more than 50%                            00041,44.9%
446,PAY_QTR1_NONPRDWRK_VAL,PPAY,First Quarter Payroll - Nonproduction Workers,Prior quarter payroll from br nan nan nan,44.8%
447,UAA_DATE,00021,UAA Date,Closing date Closing date Closing date Annual closing date (MMDD)                        00021,44.8%
448,PRCH_REPAIR_BUILD,00219,"Purchased maintenance and repair of buildings, job-site trailers, and other structures_x000D_
(Exclude janitorial services)","Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",44.8%
449,YEAR_START_DATE,TXYY,if fiscal or part yr  what is startdate,tax year nan nan nan,44.7%
450,RCPT_ECOMM_VAL,00101,Electronic Commerce (e-commerce): Part of total revenue,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",44.7%
451,JOINT_COMPANY_ADDR_ZIP_4,00327,Investors: ZIP Code of Company Investor 4,Stockholders Equity                  327 Stockholders Equity Stockholders Equity Stockholders' equity                              00327,44.7%
452,OPSTAT_WRTIN,00031,"Operational Status,  Write-in description",Corp status active/discontinued/merged Corporation Status Active/Discontinued/Merged Corporation Status Active/Discontinued/Merged Corporation Status                                00031,44.7%
453,INV_MAT_BGN,00216,"Inventories, Materials, supplies, fuels, etc., Beginning of Year",Plant and Equipment                  216 Plant and Equipment Plant and Equipment Plant and equipment                               00216,44.6%
454,AIES_LOCATION_SUMMARY,00001,Summary of the locations for a company,Is this your Company's Industry -YES/NO Is this your company's industry - yes/no Is this your company's industry - yes/no Does the industry description describe your       00001,44.6%
455,INV_LIFO_COST,00101,"Inventories, Amount subject to Last-In, First-Out (LIFO) gross (gross LIFO amount) before adjustment","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",44.6%
456,AFFIL_SPL_ESTAB,00061,Number of affiliated locations (child establishments) with the same EIN,Number of Subsidiary corps Number of Subsidiary Corporations Number of Subsidiary Corporations How many domestic and foreign corporations are    00061,44.6%
457,MRCH_SALES_DVAL,00101,sum of sales merchandise lines,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",44.6%
458,CAPEX_USED_MACH,00103,"Capital Expenditures, Used Machinery",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,44.6%
459,PROCESS_DIV_CODE_TXT,00001,Economic division of an entity based on industry classification and various other characteristics from survey results or administrative records,Is this your Company's Industry -YES/NO Is this your company's industry - yes/no Is this your company's industry - yes/no Does the industry description describe your       00001,44.6%
460,CAPEX_USED_TOT_DVAL,00103,Capital Expenditures: All used - total,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,44.5%
461,AFFIL_FOR_GE10_STAT,00041,Foreign Ownership or Control: Status,Owned by another company-NO/YES Owned by another company - No/Yes Owned by another Company-No/Yes Owned by more than 50%                            00041,44.5%
462,OWNSTAT_RACE_OTH,00051,Race of majority ownership - Is the race of the majority ownership of this establishment some other race?,Own another company-YES/NO Own another company - Yes/No Own another Company-yes/no Does this corp own more than 50% of another       00051,44.5%
463,ARU_INDUSTRY,00101,Alternate Reporting Unit:   Industry description,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",44.5%
464,COST3,00103,How many units available at third cost?,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,44.5%
465,PROP_MAR12_TOT_S,00041,"Proprietor or Partner by Occupation, Total",Owned by another company-NO/YES Owned by another company - No/Yes Owned by another Company-No/Yes Owned by more than 50%                            00041,44.5%
466,ROBOT_PURCHASE_PY,00216,Number of industrial robots PURCHASED for this plant  Prior Year,Plant and Equipment                  216 Plant and Equipment Plant and Equipment Plant and equipment                               00216,44.5%
467,TRUCK_WD_NUM,00214,"Inventories:_x000D_
Trucks with drivers",Inventories                          214 Inventories Inventories Inventories                                       00214,44.5%
468,RCPT_GROWN_GT50_NO_ARCHIVE,00101,Were more than half of the total sales and receipts of this establishment derived from items grown by this establishment?,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",44.5%
469,RENT_PAY_ENT_MACH,00219,"Enterprise payments for other establishments,  Lease and rental payments for machinery, equipment, and other tangible items","Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",44.5%
470,CAPEX_USED_BUILD,00103,"Capital Expenditures, Used buildings, structures, machinery and equipment_x000D_
(Include USED automobiles, trucks, etc., major repairs and improvements and software, computers, and peripherals.)",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,44.4%
471,CAPEX_OTH_USED_VAL,00103,Capital Expenditures: Other used - total,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,44.3%
472,RCPT_SYSOFT_ENTR_DVAL,00101,Enterprise or Network System Software revenue,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",44.3%
473,JOINT_INVEST_PCT_4,00051,Investors: Percent of Investment of Company Investor 4,Own another company-YES/NO Own another company - Yes/No Own another Company-yes/no Does this corp own more than 50% of another       00051,44.3%
474,EMP_MAR12_OTHWRK_M_PY,P2PAY,"First  Quarter Employment,  Other Manufacturing Employees  Prior Year",Prior Prior quarter payroll from BR nan nan nan,44.3%
475,PRCH_AUX_PROFSVC,00219,"Auxiliary establishment,  purchased professional and technical services","Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",44.3%
476,PERMIT_DATE,00035,Date permit was issued,Merged Date Merged Date Merged Date Corporation Status of MERGED Date (YYYYMMDD)      00035,44.3%
477,EXPS_TOT_HOTEL_OWN3RD_VAL,00103,Hotel Management: Operating Expenses,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,44.2%
478,ESTAB_NUM,00061,Number of Establishments,Number of Subsidiary corps Number of Subsidiary Corporations Number of Subsidiary Corporations How many domestic and foreign corporations are    00061,44.2%
479,INV_LIFO_RSV_BGN,00214,"Inventories, LIFO reserve,  Beginning of Year",Inventories                          214 Inventories Inventories Inventories                                       00214,44.2%
480,RCPT_MOTR_AGR_DVAL,00101,Agricultural Products motor carrier revenue,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",44.1%
481,OPSTAT_SOLD_DATE,00034,Operational Status: Sold or Leased Date,Discontinued Date Discontinued Date Discontinued Date Corporation Status of DISCONTINUED Date           00034,44.1%
482,RCPT_CLIENT_S_FIN,00206,"Class of Customer, Banks, insurance companies, and other financial institutions",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,44.1%
483,OPSTAT_ADDR_CITY_TXT,00031,Operational Status: Sold or Leased City,Corp status active/discontinued/merged Corporation Status Active/Discontinued/Merged Corporation Status Active/Discontinued/Merged Corporation Status                                00031,44.1%
484,RCPT_APSOFT_ENTR_DVAL,00101,Enterprise or Network Application revenue,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",44.0%
485,PAY_ANN,PPAY,Annual Payroll Total,Prior quarter payroll from br nan nan nan,44.0%
486,RCPT_CUST_BUS_GOV_PCT,00101,"Class of Customer: Total Revenue,Business and Government","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",44.0%
487,AFFIL_FOR_ADDR_CITY,00061,"City of the foreign entity (company, individual, government, etc.)",Number of Subsidiary corps Number of Subsidiary Corporations Number of Subsidiary Corporations How many domestic and foreign corporations are    00061,44.0%
488,BUS_TECH_GUD_VEH_Y_ARCHIVE,00001,Yes/No/Do not know for Business Technology F,Is this your Company's Industry -YES/NO Is this your company's industry - yes/no Is this your company's industry - yes/no Does the industry description describe your       00001,43.9%
489,EXPS_RENT_MACH_VAL,00219,"Lease and Rental Payments for Machinery, Equipment, and Other Tangible Items","Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",43.8%
490,RCPT_SYSOFT_OTH_DVAL,00101,Other System Software revenue,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",43.8%
491,RENT_PAY_MACH,00219,Payments for Rental or lease of machinery and equipment,"Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",43.8%
492,COST8,00216,How many units available at eighth cost?,Plant and Equipment                  216 Plant and Equipment Plant and Equipment Plant and equipment                               00216,43.8%
493,EXPS_ADMIN_HOMEPC_INS,00110,"Adminstrative Expenses,  Homeowners multiple peril insurance",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,43.8%
