,VariableNameA,VariableNameB,descriptionA,descriptionB,similarity_score,"data/ABS-MOPS Variables - December 11 2024.xlsm: Unique Name for Variable 
On upload, will verify with those already in database to ensure unique and alert to those that are not

NOTE: 
1) Variable Names should be all caps with no spaces
2) Variables can not end with _# or _## as those are reserved for handling of repeating persons."
543,EXPS_ADVERT_VAL,B_SALES_PCT_SERVICE,Purchased Advertising and Promotional Services,"Percent of domestic sales, revenues, and grants coming from selling services to customers",50.6%,SALES_SERVICE_PCT
544,LIAB_STOCKHOLD_TOT_VAL,EXPNS,TOTAL LIABILITIES AND STOCKHOLDERS' EQTY,Amount of total expenses,50.5%,EXPS_TOT_VAL
545,PREV_OWN_STAT,O1_ACQ_BUS_YR,New Establishment Acquisition,Year that the first owner initially acquired this business,50.5%,OWNER_ACQ_YEAR
546,PRCH_TRANS_TOT,EXPNS,"Purchased Transportation,   Total",Amount of total expenses,50.5%,EXPS_TOT_VAL
547,PAY_ANN_PRDWRK_VAL,WEMP,Annual Payroll - Production Workers,Number of employees as of March 12th,50.5%,EMP_MAR12_NUM
548,RCPT_FOOD_CNTRC_OFFICE,B_DESIGNOUT ,"Contract Feeding,  Commercial offices and office buildings",Yes/No if business provided design for goods that were contracted out,50.5%,MAN_DESIGNOUT_STAT
549,PRCH_TRANS_COST_TOT,EXPNS,"Purchased Transportation,  Total",Amount of total expenses,50.5%,EXPS_TOT_VAL
550,INCOM_EXPS_NOP_DBCRD3_VAL,EXPNS,Nonoperating income and expenses - principal debits and credits that contribute - Amount - 3,Amount of total expenses,50.5%,EXPS_TOT_VAL
551,INCOM_LOAN_GOV_OTH_PCT,B_SALES_TOT ,"Loan Products Income, Loans to governments, Other Fees","Amount of worldwide and domestic sales, revenue, and grants",50.4%,RCPT_ALL_TOT_VAL
552,RCPT_MOTR_METAL_DVAL,B_RDEXP_DOM_EQUIPMT,Base Metal and Machinery motor carrier revenue,Amount of domestic R&D costs going to expensed machinery and equipment,50.4%,EXPS_RD_DOM_EQUIP_VAL
553,EMP_DEC12_PRDWRK_PY,B_TYPS_WRKS,"Fourth Quarter Employment,  Production Workers  Prior Year",Types of workers that were used by the business,50.4%,WRKR_TYPE_CHKBOX
554,EMP_MAR12_TOT_W,B_EMPNUM_UNPAID,"Employment By Occupation, Wholesale Total",Number of individuals who did work for the business but were unpaid,50.4%,EMP_UNPAID_NUM
555,JOINT_COMPANY_NAME_1,O1_NAME_TITLE,Investors: Company Name of Company Investor 1,Name of first owner,50.4%,OWNER1_NAME
556,RCPT_CONTRACT_W,B_CONTRACTOUT_TYPE,"Contract Work done by customer in Puerto Rico,  Wholesalers",Type of companies that manufacturing was contracted out to ,50.4%,MAN_CONTRACTOUT_CHKBOX
557,MSC_CONTRACT_TOT,B_EMPNUM_UNPAID,What were the total receipts for contract work performed for others on their materials?,Number of individuals who did work for the business but were unpaid,50.3%,EMP_UNPAID_NUM
558,CLASS_INDPRD,B_TYPS_WRKS,"Class of Customer,  Manufacturing and mining industrial users for use as input goods in production",Types of workers that were used by the business,50.3%,WRKR_TYPE_CHKBOX
559,OPSTAT_NAME1_TXT,O1_OTH_BUS_WIN,Operational Status: Sold or Leased Name 1,Other status of the previous business Owner 1 started most recently,50.3%,PREV_BUS_OWN_TXT
560,MAIL_ADDR_ST_TXT,RESP_EMAIL  ,Company Mailing Address: State,Contact Information: Email,50.3%,CERT_EMAIL_TXT
561,PRCH_ENT_REPAIR_MACH,B_RD_MACHINE,"Enterprise payments for other establishments,  purchased repairs and maintenance to machinery and equipment","Yes/No if business engaged in acquisition of machinery, equipment, or other tangible assets",50.3%,RD_MACHINE_STAT
562,LIAB_LONG_BANK_LOAN_VAL,B_CRDSRC_OTHER_WIN,Long-term debt - Loans from banks,Write-in of what lenders the business applied for new credit with ,50.3%,CREDIT_SRCS_OTH_WRTIN_TXT
563,PROP_MAR12_PHYS,O1_MAJOR,"Proprietor or Partner by Occupation, Doctors/Physicians - licensed practitioners having M.D. degree",Field of the highest degree achieved by the first owner prior to owning this business,50.2%,EDU_CODE
564,OPSTAT_ADDR_STATE,O1_OWNER_DISABLE,"Operational Status,  New owner/operator,  State",Disability status of the first owner,50.2%,OWNER_DISABILITY_CODE
565,PRCH_COMPSVC,B_ACTIVITYUC_INFO ,"Purchased Communication services (Include telephone, cellular phones, Internet, fax, and related service contracts)",Yes/No if domestic unaffiliated companies conducted information and communication tech services for this business,50.2%,UNAFFIL_US_INFOTEC_STAT
566,CLASS_LOCALRES,B_REV ,"Class of Customer,  Household consumers and individuals (Exclude visiting tourists)",Types of customers that accounted for 10% or more of total sales,50.2%,CUST_TYPE_10_PCT_SALES_CHKBOX
567,ASSET_RETIRED_BUILD,B_RDEXP_DOM_DEPR,"Depreciable assets sold, retired, scrapped, destroyed, etc.   Buildings",Amount of domestic R&D costs going to depreciation on property and equipment,50.2%,EXPS_RD_DOM_DEPR_VAL
568,RENT_PAY_TOT,EXPNS,"Payments for Rental or lease of buildings, other structures, machinery, and equipment Total",Amount of total expenses,50.1%,EXPS_TOT_VAL
569,PROP_MAR12_PHYTHER,B_OPR ,"Proprietor or Partner by Occupation, Physical therapists",Business operated equally by both spouses or unmarried partners,50.1%,EQUAL_OP_CODE
570,EMP_MAR12_TOT_S,B_EMPNUM_UNPAID,"Employment By Occupation, Service Total",Number of individuals who did work for the business but were unpaid,50.1%,EMP_UNPAID_NUM
571,INCOM_EXPS_NOP_DBCRD1_VAL,EXPNS,Nonoperating income and expenses - principal debits and credits that contribute - Amount - 1,Amount of total expenses,50.1%,EXPS_TOT_VAL
572,EMP_MAR12_OTHWRK_M_PY,WEMP,"First  Quarter Employment,  Other Manufacturing Employees  Prior Year",Number of employees as of March 12th,50.1%,EMP_MAR12_NUM
573,PRCH_OTHEXPS_PY,B_INNOV_SERV,"All other purchased services, Prior year",Whether the business introduced new or improved services,50.1%,NEW_IMPROVE_SERVICES_STAT
574,INCOM_FOR_NONCONS_DOM_VAL,B_ACTIVITYUFC_OTHER ,"Income (loss) of foreign branches and eqty in earnings (losses) of domestic and foreign nonconsolidated subsidiaries and other investments accounted for by the eqty method, net of foreign taxes",Yes/No if foreign affiliated companies were involved in any other operating expenses,50.1%,AFFIL_NONUS_EXPS_OTH_STAT
575,FGINFO_ZIP,RESP_PHONE_EXT ,Zipcode of F/G contact person,Contact Information: Extension,50.1%,CERT_EXTENSION_NUM
576,ASSET_TOT_BGN_BUILD,WZDEPR,"Depreciable assets at the beginning of the year,  Buildings",Amount of internal research funds allocated to depreciation and amortization of assets,50.1%,EXPS_RSRCH_DEPR_VAL
577,PRCH_ENT_ADVERT,B_SALES_PCT_SERVICE,"Enterprise payments for other establishments,  Purchased advertising and promotional services","Percent of domestic sales, revenues, and grants coming from selling services to customers",50.0%,SALES_SERVICE_PCT
578,RCPT_APSOFT_MAIN_PCT,B_EXPCOST_TECH,Source of Application Software Publishing Revenue: Mainframe,R&D capital expenditures for software,50.0%,CAPEX_RD_OPS_TECH_VAL
579,EXPS_CONTRACT_VAL,EMPC,Cost Contract Work,Number of contract employes working on research activities,50.0%,EMP_RSRCH_CONTRACT_NUM
580,CLASS_BANKS,B_REV ,"Class of Customer,  Banks, insurance, and real estate companies",Types of customers that accounted for 10% or more of total sales,50.0%,CUST_TYPE_10_PCT_SALES_CHKBOX
581,AFFIL_OWNER_ADDR_CITY,O1_REASON_COMM  ,"City, town, village, etc. of the owning or controlling company",Reason for owning business: Helping community ,49.9%,OWNING_REASON_COMM _CODE
582,HOURS_ELEC,B_EMPTRAIN_HRS,"Steel Mill Department Worker Hours,  Electric arc furnaces",Average number of hours of training that employees at this business received,49.9%,EMP_TRAIN_HRS_AVG
583,RCPT_CUST_IND_DVAL,B_SALES_PCT_GOODS,SOURCE OF REVENUE - HOUSEHOLD,"Percent of domestic sales, revenues, and grants coming from selling goods to customers",49.9%,SALES_GOODS_PCT
584,EMP_MAR12_DIET,B_TYPS_WRKS,"Employment By Occupation, Dieticians",Types of workers that were used by the business,49.9%,WRKR_TYPE_CHKBOX
585,EMP_MAR12_PRDWRK_PY,B_TYPS_WRKS,"First  Quarter Employment,  Production Workers  Prior Year",Types of workers that were used by the business,49.9%,WRKR_TYPE_CHKBOX
586,EXPS_ADMIN_PRDPC_INS,B_ACTIVITYUC_OTHER ,"Adminstrative Expenses, Product liability insurance",Yes/No if domestic unaffiliated companies were involved in any other operating expenses,49.9%,UNAFFIL_US_EXPS_OTH_STAT
587,EMP_JUN12_PRDWRK,B_TYPS_WRKS,"Second Quarter Employment,  Production Workers",Types of workers that were used by the business,49.8%,WRKR_TYPE_CHKBOX
588,DELIV_SERV_YES,B_ACTIVITYUC_LOG ,Did this establishment offer delivery services by its employees in $$00?,Yes/No if domestic unaffiliated companies conducted distribution and logistics for this business,49.8%,UNAFFIL_US_LOGISTICS_STAT
589,ADD_REMARKS_TXT,NPRDFIELDWI,Enter additional remarks,Additional detail or clarification for question response,49.8%,EXPS_RSRCH_FLD_TOT_TXT
590,RCPT_TOT_VAL_SUM,EXPNS,"Sum estabs receipts to KAU _x000D_
Sum KAU receipts to Company",Amount of total expenses,49.8%,EXPS_TOT_VAL
591,RCPT_SYSOFT_MAIN_PCT,B_EXPCOST_TECH,Source of System Software Publishing Revenue: Mainframe,R&D capital expenditures for software,49.8%,CAPEX_RD_OPS_TECH_VAL
592,EMP_MAR12_PHYTHER,B_EMPTRAIN,"Employment By Occupation, Physical therapists",The areas covered by employee training,49.8%,EMP_TRAIN_AREA_CHKBOX
593,COMPANYNAME,O3_NAME_TITLE,Builder Company Name,Name of third owner,49.8%,OWNER3_NAME
594,PREV_OWN_CNTRY_TXT,O1_OTH_BUS_WIN,New Establishment: Former Ownership Country,Other status of the previous business Owner 1 started most recently,49.8%,PREV_BUS_OWN_TXT
595,INCOM_LOAN_GOV_INT_PCT,B_CRDSRC_OTHER_WIN,"Loan Products Income, Loans to governments, Interest",Write-in of what lenders the business applied for new credit with ,49.7%,CREDIT_SRCS_OTH_WRTIN_TXT
596,INCOM_LEAS_XAUTO_TOT_PCT,B_SALES_TOT_US,"Finance leasing services, except automobile and light-duty truck leasing services, Total","Amount of sales, revenue, and grants from domestic operations",49.7%,SALES_US_TOT_VAL
597,INCOM_EXPS_RECURR_VAL,B_OPEXPENSE ,Other recurring nonoperating income (expense),Total domestic operating expenses,49.7%,EXPS_TOT_VAL
598,EMP_SHEET,B_TYPS_WRKS,"Selected MetalWorking Employment, Sheet metal work, aluminum or steel",Types of workers that were used by the business,49.7%,WRKR_TYPE_CHKBOX
599,ADD_MAJOR_ACT_CODE,RESP_BUS_DESC,"Added establishment,  Major activity code",Primary business activity,49.6%,NAICS_DESC_TXT
600,OWNSTAT_RES_ARCHIVE,O1_HISP,What is the citizenship of the majority ownership of this establishment?,"Whether the first owner is Hispanic, Latino, or Spanish",49.6%,OWNER_ETHNICITY_CODE
601,PRCH_AUX_COMSVC,B_ACTIVITYUC_INFO ,"Auxiliary establishment,  data processing and other purchased computer services",Yes/No if domestic unaffiliated companies conducted information and communication tech services for this business,49.6%,UNAFFIL_US_INFOTEC_STAT
602,EMP_MAR12_REPAIR,B_TYPS_WRKS,"Employment By Occupation, Repair and maintenance (for vehicles and equipment)",Types of workers that were used by the business,49.6%,WRKR_TYPE_CHKBOX
603,DEPR_AUX_TOT,B_OPEXPENSE ,"Auxiliary establishments,  Depreciation charges, Total",Total domestic operating expenses,49.6%,EXPS_TOT_VAL
604,JOINT_INVEST_PCT_5,B_ANYONE_10_PCT,Investors: Percent of Investment of Company Investor 5,Yes/No if one person owns 10% or more of the company,49.6%,OWNED_10_PCT_STAT
605,JOINT_COMPANY_ADDR_STREET_4,O4_NAME_TITLE,"Investors,  Street Address of Company Investor 4",Name of fourth owner,49.6%,OWNER4_NAME
606,RCPT_SYSOFT_PERS_PCT,B_EXPCOST_TECH,Source of System Software Publishing Revenue: Personal,R&D capital expenditures for software,49.6%,CAPEX_RD_OPS_TECH_VAL
607,COMP_DATE,FYEND_MONTH,Completion Date - Month and Year completed or occupied,Month that fiscal year ends ,49.6%,FY_END_DATE
608,RCPT_EXCISE_INCL_YES,B_OPEXPENSE ,Are excise taxes included in sales and receipts?,Total domestic operating expenses,49.5%,EXPS_TOT_VAL
609,EXPS_ADMIN_LIFE_REINS,B_ACTIVITYUC_OTHER ,"Adminstrative Expenses,  Life reinsurance",Yes/No if domestic unaffiliated companies were involved in any other operating expenses,49.5%,UNAFFIL_US_EXPS_OTH_STAT
610,RCPT_BILL_PAY_PCT,B_SALES_TOT_US,Source of Billings and Fees Revenue: Payroll,"Amount of sales, revenue, and grants from domestic operations",49.4%,SALES_US_TOT_VAL
611,EXPS_COMMSVC_VAL,B_ACTIVITYUFC_INFO,Purchased Communication Services,Yes/No if foreign affiliated companies conducted information and communication tech services for this business,49.4%,AFFIL_NONUS_INFOTEC_STAT
612,EMP_MAR12_OTHWRK_C,WEMP,"First Quarter Employment,  Other Construction Employees",Number of employees as of March 12th,49.4%,EMP_MAR12_NUM
613,EQP_MAT_PRCH_MAT,B_RD_MACHINE,"Auxiliary establishment, expensed purchases of other materials, parts, and supplies","Yes/No if business engaged in acquisition of machinery, equipment, or other tangible assets",49.4%,RD_MACHINE_STAT
614,RCPT_MOTR_OTH_DVAL,B_SALES_TOT_US,Other motor carrier revenue,"Amount of sales, revenue, and grants from domestic operations",49.4%,SALES_US_TOT_VAL
615,RCPT_C_OWN_TOT_PCT,B_OWNERNUM,"Ownership of Construction projects,  Total",Number of owners of the business,49.4%,OWNER_NUM_STAT
616,PRCH_COMMSVC,B_ACTIVITYUFC_INFO,Purchased communication services,Yes/No if foreign affiliated companies conducted information and communication tech services for this business,49.4%,AFFIL_NONUS_INFOTEC_STAT
617,PHYSLOC_OFF,B_ACTIVITYUFC_INFO,True if the operations of this domestic reporting unit are offshore; false otherwise.,Yes/No if foreign affiliated companies conducted information and communication tech services for this business,49.4%,AFFIL_NONUS_INFOTEC_STAT
618,EMP_MAR12_EXMAN,B_EMPTRAIN,"Employment By Occupation, Executive and corporate managers",The areas covered by employee training,49.3%,EMP_TRAIN_AREA_CHKBOX
619,EXPS_ADMIN_OTHPRPCAS,B_OPEXPENSE ,"Adminstrative Expenses, All other activities (i.e., life, accident and health, and hospital and medical service plans, including reinsurance)",Total domestic operating expenses,49.3%,EXPS_TOT_VAL
620,RCPT_GROSSBILL_VAL,EXPNS,Gross billings/professional services fees,Amount of total expenses,49.3%,EXPS_TOT_VAL
621,CLASS_AUX_WRTIN,RESP_BUS_DESC,"Auxiliary Establishments,  Principal kind of business or activity performed by the establishments of your enterprise that are managed or serviced by this establishment write-in description",Primary business activity,49.3%,NAICS_DESC_TXT
622,OPSTAT_NAME2_TXT,O2_NAME_TITLE,Operational Status: Sold or Leased Name 2,Name of second owner,49.3%,OWNER2_NAME
623,AFFIL_CONTROL_STAT,O2_PCT_OWNED,Ownership or Control: Management and Policy Status,Percent owned by second owner,49.3%,OWNER2_PCT
624,EMP_MAR12_LSD_MANUF,B_CONTRACTOUT,Q1 LEASED EMPLOYMENT FOR MANUFACTURING CLIENTS,Yes/No if business contracted out manufacturing tasks,49.3%,MAN_CONTRACTOUT_STAT
625,AFFIL_FOR_ADDR_CITY_TXT,B_PARENTCO_FOREIGN,Foreign Ownership or Control: City,Yes/No if business is a majority-owned subsidiary of a foreign company,49.3%,OWNED_FOREIGN_STAT
626,AFFIL_FOR_ADDR_CITY,B_PARENTCO_FOREIGN,"City of the foreign entity (company, individual, government, etc.)",Yes/No if business is a majority-owned subsidiary of a foreign company,49.3%,OWNED_FOREIGN_STAT
627,SUBSID_CONSOL_NUM,B_OWNERNUM,Number of corporations consolidated in this report,Number of owners of the business,49.3%,OWNER_NUM_STAT
628,RCPT_SYSOFT_ENTR_PCT,CPSFT,Source of System Software Publishing Revenue: Enterprise or network,Total capital expenditures for research operations that went towards capitalized software,49.2%,CAPEX_RSRCH_SOFTWARE_VAL
629,EMP_MAR12_OTH_WRTIN,B_TYPS_WRKS,"Employment By Occupation, Other write-in description",Types of workers that were used by the business,49.2%,WRKR_TYPE_CHKBOX
630,GOV_DEL_SENT,RESP_EMAIL  ,Gov Delivery - Email Sent,Contact Information: Email,49.2%,CERT_EMAIL_TXT
631,RCPT_ELEC_RESALE,B_SALES_PCT_GOODS,Revenue from the sale of electricity purchased for resale,"Percent of domestic sales, revenues, and grants coming from selling goods to customers",49.2%,SALES_GOODS_PCT
632,COST_MERCH,B_SALES_PCT_GOODS,"Purchases of merchandise for resale, net of returns, allowances, and trade and cash discounts","Percent of domestic sales, revenues, and grants coming from selling goods to customers",49.2%,SALES_GOODS_PCT
633,EMP_MAR12_HQOTH_WRTIN,B_RDJOB_TOTEMP_DOMESTIC,"Employment By Occupation, All other headquarter employees write-in description",Total R&D employees by staff type,49.1%,EMP_MAR12_RD_TOT_DNUM
634,JOINT_COMPANY_ADDR_STREET_3,O3_NAME_TITLE,"Investors,  Street Address of Company Investor 3",Name of third owner,49.1%,OWNER3_NAME
635,PRCH_ENT_REPAIR_MACH_V,B_RD_MACHINE,"Enterprise payments for other establishments,  purchased repairs and maintenance to machinery, vehicles, and equipment","Yes/No if business engaged in acquisition of machinery, equipment, or other tangible assets",49.1%,RD_MACHINE_STAT
636,PRCH_REPAIR_MACH,B_COOP,"Purchased maintenance and repair of construction equipment and tools; machinery; office equipment, furniture, and vehicles, including related service contracts","Suppliers of equipment, materials, components, or software outside your business group ",49.1%,COOP_PARTNER_LOC_CHKBOX
637,CLASS_GOV_MUN,B_COOP,"Class of Customer,  Municipal government","Clients or customers from the public sector: public sector includes government owned organizations such as local, regional and national administrations and agencies, schools, hospitals, and government providers of services such as security, transport, housing, energy, etc. ",49.1%,COOP_PARTNER_LOC_CHKBOX
638,RCPT_APSOFT_ENTR_PCT,CPSFT,Source of Application Software Publishing Revenue: Enterprise or network,Total capital expenditures for research operations that went towards capitalized software,49.1%,CAPEX_RSRCH_SOFTWARE_VAL
639,MAIL_ADDR_CITY_TXT,RESP_EMAIL  ,Company Mailing Address: City,Contact Information: Email,49.1%,CERT_EMAIL_TXT
640,LIAB_CUR_LONG_BANK_LOAN_VAL,B_CRDSRC_OTHER_WIN,Current portion of long-term debt - Loans from banks,Write-in of what lenders the business applied for new credit with ,49.1%,CREDIT_SRCS_OTH_WRTIN_TXT
641,RCPT_PRDSHIP_US,B_MANACTIVITY ,"Value of product shipped by customer location, US and Territories",Yes/No if business manufactured goods in the US,49.1%,MAN_US_STAT
642,EMP_SEP12_CONWRK,B_TYPS_WRKS,"Third Quarter Employment,  Construction Workers",Types of workers that were used by the business,49.1%,WRKR_TYPE_CHKBOX
643,EXPS_ADMIN_AH_REINS,B_ACTIVITYUC_OTHER ,"Adminstrative Expenses, Health and medical reinsurance",Yes/No if domestic unaffiliated companies were involved in any other operating expenses,49.1%,UNAFFIL_US_EXPS_OTH_STAT
644,AFFIL_SPL_ESTAB,AFFILWI ,Number of affiliated locations (child establishments) with the same EIN,Details on affiliated organization ,49.0%,AFFIL_ORG_TXT
645,LSD_50_YES_ARCHIVE,B_EMPNUM_RDFTE_TOTAL,Did your company lease 50 percent or more of its permanent full-and part-time workforce from a Professional Employer Organization?,Full-time equivalent of the R&D employees,49.0%,EMP_FTE_RD_NUM
646,RCPT_LEISURE_PCT,O1_REASON_INCOME,Source of Revenue: Leisure,Reason for owning business: Opportunity for greater income,49.0%,OWNING_REASON_INCOME_CODE
647,EMP_MAR12_MGMTOTH,B_TYPS_WRKS,"Employment By Occupation, all other management",Types of workers that were used by the business,49.0%,WRKR_TYPE_CHKBOX
648,TOC_TOT,B_WORKHOME_PCT_FIVE ,"Percent of Construction Work for Other Types of Construction, Total",Percent of workers that worked from home five or more days per weTotal percent entered from work from home questionsek,49.0%,WORK_HOME_FIVE_PCT
649,EXPS_ADMIN_ACCDNT_REINS,B_ACTIVITYUC_OTHER ,"Adminstrative Expenses, Accident reinsurance",Yes/No if domestic unaffiliated companies were involved in any other operating expenses,49.0%,UNAFFIL_US_EXPS_OTH_STAT
650,OPSTAT_ADDR_STREET,O1_OTH_BUS_WIN,"Operational Status,  New owner/operator,  Street Address",Other status of the previous business Owner 1 started most recently,48.9%,PREV_BUS_OWN_TXT
651,ELEC_SOLD_KWH,B_SALES_TOT_US,Quantity of electricity sold or transferred to other domestic reporting units,"Amount of sales, revenue, and grants from domestic operations",48.9%,SALES_US_TOT_VAL
652,BLDREXTN,RESP_PHONE_EXT ,Builder phone extension,Contact Information: Extension,48.9%,CERT_EXTENSION_NUM
653,INV_E_WIP_VAL,B_IMPROCESS_DEV ,"Inventories: work in process, EOY",Who developed new or improved business processes ,48.9%,IMPROCESS_DEV_STAT
654,AFFIL_OWNER_GT50_STAT,O2_PCT_OWNED,Ownership or Control: Voting Stock Status,Percent owned by second owner,48.9%,OWNER2_PCT
655,FGINFO_ADDR1,"
RESP_TITLE   ",First address line of F/G contact person,Contact Information: Title,48.9%,CERT_TITLE_TXT
656,TOC_NEW_397,B_WORKHOME_PCT_ONE ,Percent of Construction Work for Building Construction New Construction,Percent of workers that worked from home one day per week ,48.9%,WORK_HOME_ONE_PCT
657,HOURS_SVS,B_EMPTRAIN_HRS,"Steel Mill Department Worker Hours,  Service or auxiliary operations (all other activities not directly assignable)",Average number of hours of training that employees at this business received,48.9%,EMP_TRAIN_HRS_AVG
658,RCPT_CLIENT_S_TRAVEL,B_COOP,"Class of Customer,  Travel agencies and other resellers",Companies that are the clients or customers outside the business group,48.9%,COOP_PARTNER_LOC_CHKBOX
659,RCPT_APSOFT_PERS_PCT,B_EXPCOST_TECH,Source of Application Software Publishing Revenue: Personal,R&D capital expenditures for software,48.9%,CAPEX_RD_OPS_TECH_VAL
660,PAY_SVS,B_TYPS_WRKS,"Steel Mill Department Wages, Service or auxiliary operations (all other activities not directly assignable)",Types of workers that were used by the business,48.8%,WRKR_TYPE_CHKBOX
661,CLASS_R_RESALE,B_REV ,"Class of Customer,  Retailers for resale",Types of customers that accounted for 10% or more of total sales,48.8%,CUST_TYPE_10_PCT_SALES_CHKBOX
662,AFFIL_OWNER_ADDR_ZIP,B_OWNERNUM,ZIP code of the owning or controlling company,Number of owners of the business,48.8%,OWNER_NUM_STAT
663,MSC_RESALE_TOT,B_SALES_TOT_US,What were the total receipts for resales?,"Amount of sales, revenue, and grants from domestic operations",48.8%,SALES_US_TOT_VAL
664,COST_CONTRACT,CONEM,Contract work done for you by others,Yes/No if any contract employees worked on research activities,48.7%,EMP_RSRCH_CONTRACT_STAT
665,INCOM_LOAN_VEH_TOT_PCT,B_CRDAMT,"Loan Products Income, Consumer vehicle loans, Total",Total amount of credit that was requested and received ,48.7%,CREDIT_AMT_RECEIVED_STAT
666,INCOM_EXPS_NOP_DBCRD5_TXT,B_CRDSRC,Nonoperating income and expenses - principal debits and credits that contribute - Description - 5,Other sources of credit not listed,48.7%,CREDIT_SOURCES_CHKBOX
667,RENT_PAY_TOT_PY,B_OPEXPENSE ,"Payments for Rental or lease of buildings, other structures, machinery, and equipment Total Prior Year",Total domestic operating expenses,48.7%,EXPS_TOT_VAL
668,EXPS_CSTMTOT_DVAL,EXPNS,"deriving ASM/EC mfg collected total cost item, needed to make use of VALUE_ADDED item straight-forward in tabbing and disclosure",Amount of total expenses,48.6%,EXPS_TOT_VAL
669,INCOM_EXPS_NOP_DBCRD4_TXT,B_OPEXPENSE ,Nonoperating income and expenses - principal debits and credits that contribute - Description - 4,Total domestic operating expenses,48.6%,EXPS_TOT_VAL
670,INDUSTRY_STAT_WRTIN_TXT,B_ACTIVITYUC_SALE ,Is this your Company's Industry -Yes/No (Write-in for 'No' selection),Yes/No if domestic unaffiliated companies conducted marketing or sales services for this business,48.6%,UNAFFIL_US_MARKETING_STAT
671,OWNSTAT_RACE_OTHPACF,O1_RACE,"Race of majority ownership - Is the race of the majority ownership of this establishment other Pacific Islander, for example Fijian, Tongan, etc.?",Race of first owner,48.6%,OWNER_RACE_CODE
672,HOTEL_MNG_ADDL_WRTIN_TXT,PROMOTEM,Management of Hotel: Other management companies,What was the primary way managers were promoted at this company,48.6%,EMP_MNG_PROMOTE_CODE
673,RCPT_ADV_OTH_DVAL,B_SALES_PCT_SERVICE,all other advertising revenue,"Percent of domestic sales, revenues, and grants coming from selling services to customers",48.6%,SALES_SERVICE_PCT
674,RCPT_COMSN,B_ACTIVITYUC_SALE ,Did this establishment earn commissions for the sale of merchandise?,Yes/No if domestic unaffiliated companies conducted marketing or sales services for this business,48.6%,UNAFFIL_US_MARKETING_STAT
675,PREV_OWNER_EIN,O1_OTH_BUS_WIN,Previous Owner Employer Identifcation Number,Other status of the previous business Owner 1 started most recently,48.6%,PREV_BUS_OWN_TXT
676,INCOM_EXPS_NOP_DBCRD3_TXT,B_OPEXPENSE ,Nonoperating income and expenses - principal debits and credits that contribute - Description - 3,Total domestic operating expenses,48.5%,EXPS_TOT_VAL
677,INCOM_EXPS_RCR_DBCRD_VAL,EXPNS,Other recurring nonoperating income (expenses) - principal debits and credits that contribute - Amount,Amount of total expenses,48.5%,EXPS_TOT_VAL
678,EXPS_ADMIN_OTHPC_INS,B_ACTIVITYUC_OTHER ,"Adminstrative Expenses, Other property and liability (casualty) insurance",Yes/No if domestic unaffiliated companies were involved in any other operating expenses,48.5%,UNAFFIL_US_EXPS_OTH_STAT
679,TAX_EXEMPT,B_COOP,Was all or part of the income of this establishment or organization exempt from Federal income taxes under section 501 of the Internal Revenue Code?,Nonprofit organization ,48.5%,COOP_PARTNER_LOC_CHKBOX
680,MAIL_ADDR_CITY_TXT,RESP_EMAIL  ,Mailing City,Contact Information: Email,48.5%,CERT_EMAIL_TXT
681,PROP_MAR12_AUDIO,O1_MAJOR,"Proprietor or Partner by Occupation, Audiologists",Field of the highest degree achieved by the first owner prior to owning this business,48.5%,EDU_CODE
682,JOINT_COMPANY_ADDR_STATE_1,O1_ACQ_BUS_YR_DK  ,"Investors, State of Company Investor 1",Owner 1 does not know when initially acquired ownership of this business,48.5%,O1_ACQ_BUS_YR_CODE
683,INCOM_LOAN_RESMOR_INT_PCT,B_CRDSRC_OTHER_WIN,"Loan Products Income, Residential mortgage loans, Interest",Write-in of what lenders the business applied for new credit with ,48.5%,CREDIT_SRCS_OTH_WRTIN_TXT
684,RCPT_C_ST_TOT_PCT,CPSTR,"Construction Work by State,  Total",Total capital expenditures for research operations that went towards buildings and land improvement,48.4%,CAPEX_RSRCH_BUILD_VAL
685,EXPS_BENEFIT_TOT,EXPNS,"Benefits Paid, Total",Amount of total expenses,48.4%,EXPS_TOT_VAL
686,EXPS_ADVERT_VAL,B_SALES_PCT_SERVICE,Purchased advertising services,"Percent of domestic sales, revenues, and grants coming from selling services to customers",48.4%,SALES_SERVICE_PCT
687,CLASS_OTH,B_REV ,"Class of Customer,  Other",Types of customers that accounted for 10% or more of total sales,48.3%,CUST_TYPE_10_PCT_SALES_CHKBOX
688,PREV_OWNER_ADDR_ZIP,O2_NAME_TITLE,ZIP Code of Former Owner or operator,Name of second owner,48.3%,OWNER2_NAME
689,INV_MERCH_VAL,B_INNOV_GOODS,Inventories: Merchandise,Whether the business introduced new or improved goods,48.3%,NEW_IMPROVE_GOODS_STAT
690,TOC_ADD_397,CPSTR,"Percent of Construction Work for Building Construction Additions, Alterations, or Reconstruction",Total capital expenditures for research operations that went towards buildings and land improvement,48.3%,CAPEX_RSRCH_BUILD_VAL
691,EXPS_ADMIN_ACCDNT,B_ACTIVITYUC_OTHER ,"Adminstrative Expenses, Accident insurance",Yes/No if domestic unaffiliated companies were involved in any other operating expenses,48.3%,UNAFFIL_US_EXPS_OTH_STAT
