,MDR's Variable,Variable Source,MDR's Description,Source's Description,similarity_score
673,RCPT_ECOMM_NO_ARCHIVE,00110,"Were any of the sales, shipments, receipts, or revenue a result of e-commerce transactions?",Nonoperating expenses and income,46.80%
674,MAIL_ADDR_NAME2_TXT,00022,Company Mailing Address: Name 2,Employer Identification Number,46.80%
675,RCPT_MERCH_GAS_OTH_FUEL,00327,Which majority source accounted for more than half of the total sales and receipts of this establishment?,Stockholders Equity,46.70%
676,RCPT_ESHIP_PCT,00214,E-shipments,Inventories,46.70%
677,SURVEY_LFO_INDIV_ARCHIVE,00031,"Legal Form of Organization,  What is the Legal Form of Organization for this establishment?",Corporation Status Active/Discontinued/Merged,46.70%
678,CAPEX_BUILD_NEW_VAL,00321,Capital Expenditures: New buildings,Capital Stock and Other Capital,46.70%
679,RCPT_C_OWN_TOT_PCT,00217,"Ownership of Construction projects,  Total",Land and Mineral Rights,46.70%
680,EMP_MAR12_OTHWRK_M,00119,"First  Quarter Employment,  Other Manufacturing Employees",Retained Earnings at Beginning of Quarter,46.60%
681,AFFIL_OWNER_ADDR_STREET,00044,Street Address of the owning or controlling company,EI of company who owns,46.50%
682,RCPT_AUDVID_VAL,00110,"Sales, Shipments Receipts, or Revenue - Audio & video recordings",Nonoperating expenses and income,46.50%
683,ARU_TOT_ESTAB,00072,Alternate Reporting Unit:   Total establishment count,Number of Subsidiary Corporations - Not Consolidated,46.50%
684,RCPT_ECOMM_VAL,00104,Electronic Commerce (e-commerce): Part of total revenue,Income (loss) from Operation,46.50%
685,PATREV_OTHER_WRTIN,00110,Patient Care Revenue:  All other sources of revenue for patient care write-in description,Nonoperating expenses and income,46.40%
686,MULTIPLE_INVESTORS_YES,00324,Does this location have multiple investors?,Other Stockholder Equity,46.40%
687,EXPS_MACH_REP_VAL,00214,"Purchased Repairs and Maintenance to Machinery, Vehicles, and Equipment",Inventories,46.40%
688,EXPS_BENEFIT_PRPCAS_REINS,00314,"Benefits Paid, Property and casualty reinsurance",All Other Current Liabilities.,46.30%
689,RCPT_FOOD_IMMCNSUM_GT50_YES,00214,"Were more than half of the total sales and receipts of this establishment derived from the sale of prepared food, including refreshments, for immediate consumption?",Inventories,46.20%
690,RCPT_PAT_NET_DVAL,00110,Patient Care Revenue,Nonoperating expenses and income,46.20%
691,RCPT_PAT_OUTPCKT_VAL,00115,Net patient revenues from patient out-of-pocket from patients and their families V1,Net income (loss),46.20%
692,EXPS_ADMIN_ACCDNT,00314,"Adminstrative Expenses, Accident insurance",All Other Current Liabilities.,46.20%
693,EXPS_ADMIN_HOMEPC_INS,00314,"Adminstrative Expenses,  Homeowners multiple peril insurance",All Other Current Liabilities.,46.20%
694,PRCH_AUX_REPAIR_TRANS,00214,"Auxiliary establishment, purchased repairs and maintenance to transportation equipment",Inventories,46.20%
695,PREV_OWN_STORENUM_TXT,00041,New Establishment: Former Ownership Store,Owned by another company - No/Yes,46.20%
696,RCPT_MOTR_USEDGD_PCT,00214,Analysis of Motor Carrier Operations: Used household and office good,Inventories,46.20%
697,RCPT_MOTOR_TOT_PCT,00104,"Trucking Revenue,  Total",Income (loss) from Operation,46.20%
698,EXPS_TRANSP_VAL,00214,Purchased Freight Transportation,Inventories,46.10%
699,OPSTAT_STAT,00031,Operational Status Selection,Corporation Status Active/Discontinued/Merged,46.10%
700,PRCH_REPAIR_MACH,00314,"Purchased maintenance and repair of construction equipment and tools; machinery; office equipment, furniture, and vehicles, including related service contracts",All Other Current Liabilities.,46.00%
701,RECORD_CFN,0122D,The CFN (census file number) - Unique identifier used for downloading and uploading data,Census Use Only -- ADJ,46.00%
702,QTR_REPORTING_ID,00022,Quarterly ID,Employer Identification Number,46.00%
703,EXPS_BENEFIT_ACCDNT_REINS,00314,"Benefits Paid, Accident reinsurance",All Other Current Liabilities.,46.00%
704,PRCH_AUX_REPAIR_MACH_V,00216,"Auxiliary establishment, purchased repairs and maintenance to machinery, vehicles, and equipment",Plant and Equipment,46.00%
705,CAPCTY_PETR_REFCR_LT100K,00214,"Choices for: How much bulk petroleum storage tank capacity (excluding liquefied petroleum) did this establishment operate, both owned and leased, on the last business day of $$00?",Inventories,45.90%
706,CAPEX_BUILD_TOT_DVAL,00110,Capital Expenditures: New & used buildings,Nonoperating expenses and income,45.90%
707,RCPT_ADV_OTH_PCT,00107,Source of Advertising Revenue: All other,Other Recurring Non-operating Income,45.90%
708,CLASS_BANKS,00206,"Class of Customer,  Banks, insurance, and real estate companies",Commercial and Finance Company paper of US issuers,45.90%
709,EXPS_GRANTS_VAL,00110,"Administrative expense for grants, transfers, and specific assistance (tax-exempt records, from IRS form 990PF)",Nonoperating expenses and income,45.90%
710,COST_MAT_TOT_PY,00117,"Cost of Materials,  Total Prior Year",Cumulative Effect of Accounting Changes,45.80%
711,RCPT_ADV_SPACE_VAL,00223,Total Advertising Space Revenue,Total Assets,45.80%
712,RCPT_NEWS_OTH_DVAL,00107,other media newspaper revenue,Other Recurring Non-operating Income,45.80%
713,PRCH_TRANS_COST_OTH,00314,"Purchased Transportation,  Other (Include pickup, delivery, and transfer service.)",All Other Current Liabilities.,45.60%
714,PRCH_TOT_PY,00117,Total Purchased Services Prior Year,Cumulative Effect of Accounting Changes,45.60%
715,SOMA_APPTDATE,00021,Appointment Date,Closing date,45.60%
716,OWNSTAT_RACE_PHILI,00041,Race of majority ownership - Is the race of the majority ownership of this establishment Filipino?,Owned by another company - No/Yes,45.60%
717,SOC_ASSIST_TOT_PCT,00223,"Social Assitance Services, Total",Total Assets,45.60%
718,RCPT_CUST_IND_DVAL,00110,SOURCE OF REVENUE - HOUSEHOLD,Nonoperating expenses and income,45.60%
719,EXPS_GRANTS_VAL,00305,"Contributions, Gifts, and Grants Paid",Advances and Prepayments by the US GOV,45.60%
720,PREV_OWNER_YEAR,00041,Year acquired from Former Owner or operator,Owned by another company - No/Yes,45.60%
721,BENEFIT_AUX_TOT,00110,"Auxiliary establishment, employer's cost for employer paid insurance premiums, pension plans, payroll taxes, and other employee benefits",Nonoperating expenses and income,45.60%
722,PRCH_TRANS_ALLOTH,00214,"Purchased Transportation,  All other purchased transportation_x000D_
(Include allowances to shippers less credits for equipment rents to others.)",Inventories,45.60%
723,AFFIL_OWNER_ADDR_CITY,00031,"City, town, village, etc. of the owning or controlling company",Corporation Status Active/Discontinued/Merged,45.50%
724,PERMIT_DATE,00021,Date permit was issued,Closing date,45.50%
725,EMP_DEC12_PRDWRK_PY,00119,"Fourth Quarter Employment,  Production Workers  Prior Year",Retained Earnings at Beginning of Quarter,45.50%
726,AFFIL_FOR_ADDR_STREET,00208,"Street Address of the foreign entity (company, individual, government, etc.)",Foreign Securities,45.50%
727,RCPT_FOOD_CNTRC_TRANS,00211,"Contract Feeding,  Airlines, ships, railroads, business, and other in-transit facilities",Trade Receivables from the U.S. Government,45.50%
728,TOTALUNITS,00223,Total Number of Units,Total Assets,45.40%
729,OPSTAT_WRTIN,00031,"Operational Status,  Write-in description",Corporation Status Active/Discontinued/Merged,45.40%
730,COST_AUX_UTIL_OTH,00110,"Auxiliary establishments,  Water, sewer, refuse removal, and other utility payments",Nonoperating expenses and income,45.40%
731,OWNSTAT_RACE_ASIANIND,00041,Race of majority ownership - Is the race of the majority ownership of this establishment Asian Indian?,Owned by another company - No/Yes,45.40%
732,OWNSTAT_RACE_KOREA,00041,Race of majority ownership - Is the race of the majority ownership of this establishment Korean?,Owned by another company - No/Yes,45.30%
733,RCPT_ECOMMGT50_YES_ARCHIVE,00104,Did e-commerce account for more than 50% of this establishment's sales and/or operating receipts?,Income (loss) from Operation,45.30%
734,RCPT_REPAIR_LABOR,00117,"Repair Receipts, Labor changes",Cumulative Effect of Accounting Changes,45.30%
735,COST_AUX_TRANS_FUEL,00214,"Auxiliary establishments,  Purchased fuels for transportation equipment",Inventories,45.30%
736,RCPT_MOTR_OTH_DVAL,00107,Other motor carrier revenue,Other Recurring Non-operating Income,45.20%
737,SOMA_ST,00207,State,State and Local Government Securities,45.20%
738,RCPT_BILL_PAY_PCT,00107,Source of Billings and Fees Revenue: Payroll,Other Recurring Non-operating Income,45.20%
739,RCPT_CUST_BUS_PCT,00104,"Class of Customer: Total Revenue,_x000D_
Business",Income (loss) from Operation,45.20%
740,CLASS_HOIND_NO,00001,"Class of Customer,  Were 10 percent or more of your sales to household consumers and individual users in the past 12 months?",Is this your company's industry - yes/no,45.10%
741,PRCH_TOT,00223,Total Purchased Services,Total Assets,45.10%
742,RCPT_REPAIR_TOT_PCT,00104,"Repair Receipts, Total",Income (loss) from Operation,45.10%
743,FUNDS_DEV_FEDGOV,00211,"Source of Research and Development Funds,  Federal government contracts and subcontracts",Trade Receivables from the U.S. Government,45.10%
744,CLASS_FARM,00216,"Class of Customer,  Farmers for use in farm production",Plant and Equipment,45.10%
745,CLASS_AUX,00031,"Auxiliary Establishments,  Was this establishment primarily engaged in providing management, administrative, or support services to other establishments of your enterprise (rather than for the general public or other business firms)?",Corporation Status Active/Discontinued/Merged,45.00%
746,INCOM_UNIT_CRED,00104,Did this establishment have income from credit card products?,Income (loss) from Operation,45.00%
747,MAJOR_ACT_CODE_STAT,00084,for added estabs,EI for addition 4,45.00%
748,COST_MAT_TOT,00216,"Cost of Materials,  Total",Plant and Equipment,44.90%
749,AFFIL_FOR_ADDR_CITY,00208,"City of the foreign entity (company, individual, government, etc.)",Foreign Securities,44.90%
750,AFFIL_CONTROL_STAT,00041,Ownership or Control: Management and Policy Status,Owned by another company - No/Yes,44.90%
751,CAPEX_NEW_NONHWY_BUILD,00321,"Capital Expenditures, New Non Highway Buildings",Capital Stock and Other Capital,44.90%
752,EMP_MAR12_OTHWRK_C,00119,"First Quarter Employment,  Other Construction Employees",Retained Earnings at Beginning of Quarter,44.90%
753,SUBMIT_DATE,00035,Date for Data Submitted,Merged Date,44.80%
754,SOMA_INTNMBR,00022,Interview Number,Employer Identification Number,44.80%
755,EXPECTED,PACDE,Total building units minus program units minus transient units,Size code directly related to (and derived from) total assets.,44.80%
756,RCPT_SOFTWARE_VAL,00104,"Sales, Shipments Receipts, or Revenue - Software",Income (loss) from Operation,44.80%
757,OWN_NAME,00044,Owner name.,EI of company who owns,44.70%
758,RCPT_CUST_SUBLIN_BUS_DVAL,00211,Subscriber Line - Gov & Business revenue,Trade Receivables from the U.S. Government,44.70%
759,RENT_PAY_AUX_MACH,00107,"Auxiliary establishments,  Lease and rental payments for machinery, equipment, and other tangible items",Other Recurring Non-operating Income,44.70%
760,CERT_COMPLETED_DATE,00021,Contact Information: Date completed,Closing date,44.70%
761,RCPT_MOTOR_LONG,00211,"Trucking Revenue,  LONG-DISTANCE (motor carrier service between metropolitan areas which may cross North American borders)",Trade Receivables from the U.S. Government,44.70%
762,RCPT_PRDSHIP_GOV,00211,"Value of product shipped by customer in Puerto Rico,  Commonwealth or Territorial government",Trade Receivables from the U.S. Government,44.70%
763,PREV_OWNER_MONTH,00021,Month acquired from Former Owner or operator,Closing date,44.60%
764,RCPT_PRDSHIP_M,00211,"Value of product shipped by customer in Puerto Rico,  Other manufacturing establishments",Trade Receivables from the U.S. Government,44.60%
765,RCPT_ECOMM_WEB_STAT,00104,Revenue from Electronic Sources: Website,Income (loss) from Operation,44.60%
766,RCPT_CLIENT_U_IND,00001,"Class of Customer, Industrial",Is this your company's industry - yes/no,44.50%
767,MSC_OTH,00110,What were the miscellaneous receipts for Other miscellaneous receipts,Nonoperating expenses and income,44.50%
768,RCPT_MOTR_PHARM_PCT,00214,Analysis of Motor Carrier Operations: Pharmaceutical and chemical products,Inventories,44.50%
769,RCPT_ECOMM_OTH_STAT,00107,Revenue from Electronic Sources: Electronic systems,Other Recurring Non-operating Income,44.50%
770,RCPT_PRDSHIP_GOVLOCAL,00211,"Value of product shipped by customer in Puerto Rico,  Local government",Trade Receivables from the U.S. Government,44.50%
771,RCPT_PATNT_CARE,00104,What was the total revenue from patient care services?,Income (loss) from Operation,44.40%
772,RCPT_ECOMM_TOYS_VAL,00214,Electronic Commerce (e-commerce) - Toys,Inventories,44.40%
773,OWN_CONT,00044,Owner contact name.,EI of company who owns,44.40%
774,PRCH_TRANS_COST_MOTOR,00214,"Purchased Transportation,  Motor carrier",Inventories,44.40%
775,SSCID,PACDE,Control Number - Sponsoring division control number used for tracking purposes.,Size code directly related to (and derived from) total assets.,44.40%
776,CERT_FAX,00022,"Certification,  Fax Number",Employer Identification Number,44.30%
777,PREV_OWNER_RECORD_NAME,00044,Name of former Owner or operator,EI of company who owns,44.30%
778,INCOM_UNIT_BROK_MARIN_PCT,00213,"Brokering and Dealing Products, Margin interest",Trade Accounts and Trade Notes Receivable,44.30%
779,BPOID,00022,BPO ID - Code that uniquely identifies a building permit office within a state or PSU (for Non-Permit Listing).,Employer Identification Number,44.30%
780,RCPT_MOTR_GRAIN_DVAL,00214,"Grains, Alcohol, Tobacco Products motor carrier revenue",Inventories,44.30%
781,PAY_QTR1_PRDWRK_VAL,00119,First Quarter Payroll - Production Workers,Retained Earnings at Beginning of Quarter,44.20%
782,EXPS_ACCESS_VAL,00105,Access Charges,Interest Expense,44.20%
783,CLASS_GOV_LOC,00207,"Class of Customer,  Local government",State and Local Government Securities,44.20%
784,SOC_ASSIST_GOV_PCT,00207,"Social Assitance Services, Government payers",State and Local Government Securities,44.20%
785,HOTEL_OWN3RD_NUM,00061,Hotel Management Owned by Others: Number,Number of Subsidiary Corporations,44.20%
786,EXPS_BENPAY_HLTH_VAL,00111,Benefits Paid (Losses): Health,Income (loss) before income taxes,44.20%
787,RCPT_PRDSHIP_C,00211,"Value of product shipped by customer in Puerto Rico,  Construction companies",Trade Receivables from the U.S. Government,44.20%
788,PREV_OWN_ADDR_CITY_TXT,00031,New Establishment: Former Ownership City,Corporation Status Active/Discontinued/Merged,44.20%
789,SAMPLE_ID_TYP,00031,"0= MU enterprise, 1 = SU establishment",Corporation Status Active/Discontinued/Merged,44.10%
790,FUNDS_DEV_TOT,00223,"Source of Research and Development Funds,  Total",Total Assets,44.10%
791,RCPT_APSOFT_ENTR_DVAL,00104,Enterprise or Network Application revenue,Income (loss) from Operation,44.10%
792,NAME2,00031,Company Secondary Name,Corporation Status Active/Discontinued/Merged,44.10%
793,PROD_QTYPRD_CHEMFR_NONE,00217,"None for the question: If MINE_HERE = 1, report the quantity of chemical and fertilizer minerals, such as barite, rock salt, native sulfur, fluorspar, pyrites, spodumene, mineral pigments, etc. (ore, fines, and concentrates) mined at this mine or pit",Land and Mineral Rights,44.10%
794,RCPT_HLTHCARE_PRVDRS_VAL,00115,Net patient revenues from health care providers,Net income (loss),44.10%
795,INCOM_UNIT_CRED_MERFE_PCT,00105,"Credit Card Products,  Merchant fees",Interest Expense,44.10%
796,RCPT_ELEC_RESALE,00104,Revenue from the sale of electricity purchased for resale,Income (loss) from Operation,44.10%
797,PAY_ANN_OTHWRK_M_PY,00117,Annual Payroll for Other Manufacturing Employees  prior Year,Cumulative Effect of Accounting Changes,44.00%
798,PRCH_OTHEXPS_PY,00314,"All other purchased services, Prior year",All Other Current Liabilities.,44.00%
799,INCOM_LOAN_RESMOR_TOT_PCT,00302,"Loan Products Income, Residential mortgage loans, Total",Short Term Loans (Commercial Paper),44.00%
800,CAPEX_NEW_HWY_MACH,00221,"Capital Expenditures, New automobiles, trucks, etc. (Intended primarily for highway use.)",All Other Non-current Assets,44.00%
801,INCOM_LEAS_XAUTO_TOT_PCT,00320,"Finance leasing services, except automobile and light-duty truck leasing services, Total",All Other Non-current Liabilities,44.00%
802,PRCH_TEMPSTAF_PY,00110,Purchased services for temporary staff and leased employees  (Professional Employer Organizations and staffing agencies for personnel)  Prior Year,Nonoperating expenses and income,44.00%
803,REPAY_CASH_ADV,00110,"True if the receipts or revenue reported included the repayments of cash advances made by this establishment for the convenience of those served to cover such items as cemetery expenses, transportation, flowers, newspaper notices, clergy and musician honoraria, transcripts, and other items not in the services normally included in the price of a funeral selected at this establishment; false otherwise",Nonoperating expenses and income,44.00%
804,RCPT_MOTR_ELECT_DVAL,00104,Electronic & Precision motor carrier revenue,Income (loss) from Operation,43.90%
805,EXPS_TAX_VAL,00309,Purchased tax and license fees,Domestic Income Taxes Accrued,43.90%
806,RCPT_PRDSHIP_FOOD,00211,"Value of product shipped by customer in Puerto Rico,  Hotels, restaurants, food services, and drinking places",Trade Receivables from the U.S. Government,43.90%
807,FOOD_DAYPART_TOT_PCT,00214,"Food and Beverage Sales,  Total",Inventories,43.80%
808,RCPT_ECOMM_CLOTH_VAL,00214,Electronic Commerce (e-commerce) - Clothing,Inventories,43.80%
809,PROD_QTYPRD_MISCLY_NONE,00217,"None for the question: If MINE_HERE = 1, report the quantity of common (miscellaneous) clay and shale mined and/or basically prepared for transport at this mine or pit",Land and Mineral Rights,43.80%
810,RCPT_CLIENT_U_GOVOWN,00207,"Class of Customer,  Government-owned utilties",State and Local Government Securities,43.80%
811,PRCH_REPAIR_BUILD,00110,"Purchased maintenance and repair of buildings, job-site trailers, and other structures_x000D_
(Exclude janitorial services)",Nonoperating expenses and income,43.70%
812,RCPT_COMSN_YES_ARCHIVE,00214,Did this establishment earn commissions for the sale of merchandise?,Inventories,43.70%
813,PROD_QTYPRD_OTHCLY_NONE,00217,"None for the question: If MINE_HERE = 1, report the quantity of all other nonmetallic minerals (including natural abrasives, shell and native asphalt and bitumens) mined and/or beneficiated at this mine or pit",Land and Mineral Rights,43.70%
814,JOINT_COMPANY_ADDR_ZIP_1,00327,Investors: ZIP Code of Company Investor 1,Stockholders Equity,43.60%
815,COST_RESALE,00214,Products bought and sold as such without further processing,Inventories,43.60%
816,EMP_SUM_PRDWRK_PY,00117,Manufacturing:  Sum of Production Workers Prior Year,Cumulative Effect of Accounting Changes,43.60%
817,LSD_50_STAT,00022,Professional Employer Organization (PEO) Status,Employer Identification Number,43.60%
818,PAY_ANN,00223,Annual Payroll Total,Total Assets,43.60%
819,CLASS_CAPGT60K_YES_ARCHIVE,00214,"Class of Customer,  Did this establishment have bulk petroleum (automotive gas, diesel, propane, etc.) storage capacity of more than 60,000 gallons?",Inventories,43.50%
820,PRCH_TRANS_COST_TOT,00223,"Purchased Transportation,  Total",Total Assets,43.50%
821,PRCH_TRANS_TOT,00223,"Purchased Transportation,   Total",Total Assets,43.50%
822,PRCH_REPAIR_PY,00218,Purchased repairs and maintenance to buildings and/or machinery and equipment  Prior Year,Accumulated Depreciation,43.50%
823,AIES_TAX_STATUS,00112,"Whether estab is Exempt (1), No Exempt (2), or Add (3)",Provision for Income Taxes (FEDERAL),43.50%
824,OPSTAT_START_DATE,00031,Operational Status: Temporarily or seasonally inactive start,Corporation Status Active/Discontinued/Merged,43.50%
825,PHYSLOC_MUNI,00207,"Physical Location,  Municipality",State and Local Government Securities,43.40%
826,REPORTING_ID,00022,"Reporting Unit ID.  8nnnnnnnnn= Enterprise level or record type 10, 2nnnnnnnnn= Establishment or record type 20, 3nnnnnnnnn= KAU or record type 30",Employer Identification Number,43.40%
827,PAY_ANN_PY,00117,Annual Payroll   Prior Year,Cumulative Effect of Accounting Changes,43.40%
828,OWN_ADD,00044,Owner address,EI of company who owns,43.40%
829,PATREV_GOV_WRKCMP,00110,Patient Care Revenue:  Workers' compensation,Nonoperating expenses and income,43.30%
830,RCPT_ECOMM_SPTGD_VAL,00214,Electronic Commerce (e-commerce) - Sporting goods,Inventories,43.30%
831,INCOM_LEAS_XAUTO_FEE_PCT,00105,"Finance leasing services, except automobile and light-duty truck leasing services, Fees",Interest Expense,43.30%
832,ELEC_SOLD_KWH _NUM,00104,Quantity of Electricity Sold or Transferred to Other Establishments,Income (loss) from Operation,43.30%
833,EMP_DEC12_OTHWRK_C,00119,"Fourth Quarter Employment,  Other Construction Employees",Retained Earnings at Beginning of Quarter,43.30%
834,RCPT_TRANSFER_PY,00117,Value of products shipped to other domestic plants of your company for further processing  Prior Year,Cumulative Effect of Accounting Changes,43.20%
835,EMP_MAR12_HR,00022,"Employment By Occupation, Human resources/personnel",Employer Identification Number,43.10%
836,EXPS_PRCH_RESALE_AGBR_VAL,00214,Purchases of Products: AGBR,Inventories,43.10%
837,RCPT_PVTHLTH_INS_VAL,00115,"Net patient revenues from private health insurance, including Medicare and Medicaid managed care plans",Net income (loss),43.10%
838,RCPT_CUST_LNGTEL_BUS_DVAL,00107,Fixed Long Dist - Gov & Business revenue,Other Recurring Non-operating Income,43.10%
839,RCPT_ECOMM_NONMRCH_VAL,00214,Electronic Commerce (e-commerce) - Other non-merchandise,Inventories,43.10%
840,RCPT_TRANSFER,00214,Value of products shipped to other domestic plants of your company for further processing,Inventories,43.10%
841,AFFIL_SPL_PAY_ANN,00223,"Added child establishment,   Total Annual Payroll",Total Assets,43.10%
842,RENT_PAY_TOT,00314,"Payments for Rental or lease of buildings, other structures, machinery, and equipment Total",All Other Current Liabilities.,43.10%
843,CLASS_APPAREL,00214,"Class of Customer,  Apparel manufacturers",Inventories,43.10%
844,EXPS_TEMPSTAF_VAL,00110,Temporary Staff and Leased Employee Expense,Nonoperating expenses and income,43.00%
845,EXPS_TEMPSTAF_VAL,00110,Temporary staff and leased employee expense,Nonoperating expenses and income,43.00%
846,DIRECT_PREM_HOMEPC_INS,00314,"Direct Premiums Earned,  Homeowners multiple peril insurance",All Other Current Liabilities.,43.00%
847,LSD_50_NO_ARCHIVE,00001,Did your company lease 50 percent or more of its permanent full-and part-time workforce from a Professional Employer Organization?,Is this your company's industry - yes/no,43.00%
848,MRCH_NONMERCH_EC_DVAL,00107,non-merchandise ecommerce derived estimate,Other Recurring Non-operating Income,43.00%
849,PAY_ANN_PRDWRK_PY,00117,Annual Payroll for Production Workers Prior Year,Cumulative Effect of Accounting Changes,43.00%
850,BOAT_DOCK_SPACE,00214,"Number of pleasure boat docking or storage spaces, including wet slips, moorings, in/out racks, and other land storage spaces,",Inventories,43.00%
851,BLDG_TYPE,00216,Type of Units in Building,Plant and Equipment,43.00%
852,RCPT_LEISURE_PCT,00107,Source of Revenue: Leisure,Other Recurring Non-operating Income,43.00%
853,JOINT_COMPANY_ADDR_ZIP_2,00327,Investors: ZIP Code of Company Investor 2,Stockholders Equity,42.90%
854,PGM_UNITS,PACDE,Number of Units in programs,Size code directly related to (and derived from) total assets.,42.90%
855,PART_TXT,00022,Two digit part number that corresponds to BR split part ID number.  Only populated when LOGIN = 8nnnnnnnn.,Employer Identification Number,42.80%
856,YEAR_START_DATE,00119,if fiscal or part yr  what is startdate,Retained Earnings at Beginning of Quarter,42.80%
857,RCPT_ECOMM_ELAPPL_VAL,00214,Electronic Commerce (e-commerce) - Electronics & appliances,Inventories,42.80%
858,RCPT_SYSOFT_ENTR_DVAL,00104,Enterprise or Network System Software revenue,Income (loss) from Operation,42.70%
859,RCPT_S_MERCH_GT50_WRTIN,00214,Merchandise that accounted for more than half of the total receipts  write-in description,Inventories,42.70%
860,INCOM_UNIT_BROK_AO_DEAL_NO,00041,Did this establishment have income from brokering and/or dealing products?,Owned by another company - No/Yes,42.70%
861,RCPT_NEWS_PUB_VAL,00104,Total Newspaper Revenue,Income (loss) from Operation,42.70%
862,RCPT_CLIENT_S_ENGIN,00001,"Class of Customer, Engineering firms",Is this your company's industry - yes/no,42.70%
863,EXPS_BENEFIT_ACCDNT,00314,"Benefits Paid, Accident insurance",All Other Current Liabilities.,42.70%
864,EMP_JUN12_PRDWRK_PY,00119,"Second Quarter Employment,  Production Workers  Prior Year",Retained Earnings at Beginning of Quarter,42.60%
865,RCPT_CUST_IND_PCT,00104,"Class of Customer: Total Revenue,_x000D_
Individual",Income (loss) from Operation,42.60%
866,PRCH_REPAIR,00314,Purchased repairs and maintenance to buildings and/or machinery and equipment,All Other Current Liabilities.,42.50%
867,RCPT_CUST_LOCTEL_BUS_DVAL,00207,Fixed Local Tel - Gov & Business revenue,State and Local Government Securities,42.50%
868,RCPT_TOT_VAL_SUM,00118,"Sum estabs receipts to KAU _x000D_
Sum KAU receipts to Company",Net Income (loss) for Quarter,42.50%
869,PAY_QTR1_VAL_SUM,00118,"Sum estabs qtr1 payroll to KAU_x000D_
Sum KAU qtr1 payroll to Company",Net Income (loss) for Quarter,42.50%
870,TRANSPORT,00214,Management provides transportation?,Inventories,42.50%
871,PRCH_COMPSVC,00314,"Purchased Communication services (Include telephone, cellular phones, Internet, fax, and related service contracts)",All Other Current Liabilities.,42.50%
872,RECORD_NAME1_TXT,00022,Physical Address: Name 1,Employer Identification Number,42.40%
873,CLASS_RESALE,00214,"Class of Customer,  Were 75% or more of this establishment's sales to retailers/wholesalers/distributors for resale?",Inventories,42.40%
874,RCPT_SYSOFT_PUB_VAL,00223,Value for total system software,Total Assets,42.40%
875,RCPT_BOOK_PRNT_DVAL,00104,print books revenue,Income (loss) from Operation,42.40%
876,ACTV_MIO,00034,Active months in operation,Discontinued Date,42.40%
877,OWNSTAT_RACE_VIETN,00041,Race of majority ownership - Is the race of the majority ownership of this establishment Vietnamese?,Owned by another company - No/Yes,42.40%
878,COST_ENT_UTIL_OTH,00107,"Enterprise payments for other establishments,  Water, sewer, refuse removal, and other utility payments",Other Recurring Non-operating Income,42.30%
879,EXPS_REPAIR_YES_ARCHIVE,00031,"Was this consolidated reporting unit involved in maintenance and repair of buildings, structures, or communication lines owned by your enterprise?",Corporation Status Active/Discontinued/Merged,42.30%
880,RCPT_PRDSHIP_W,00211,"Value of product shipped by customer in Puerto Rico,  Wholesalers",Trade Receivables from the U.S. Government,42.30%
881,AFFIL_FOR_MAIL_ADDR_TXT,00208,"Foreign Ownership or Control:_x000D_
Mailing Address",Foreign Securities,42.30%
882,RCPT_ADV_CLASS_DVAL,00104,classified advertising revenue,Income (loss) from Operation,42.30%
883,EXPS_PROFLIAB_VAL,00314,Professional Liability Insurance,All Other Current Liabilities.,42.30%
884,DIRECT_PREM_MEDPC_INS,00314,"Direct Premiums Earned,  Medical malpractice insurance",All Other Current Liabilities.,42.30%
885,PRCH_OFFICE,00214,Purchased Office supplies,Inventories,42.20%
886,OWNSTAT_GENDER,00327,What is the sex of majority ownership of this establishment?,Stockholders Equity,42.20%
887,PRCH_AUX_PROFSVC,00031,"Auxiliary establishment,  purchased professional and technical services",Corporation Status Active/Discontinued/Merged,42.20%
888,AFFIL_OWNER_ADDR_ZIP_NUM,00041,Ownership or Controlling Company: ZIP Code,Owned by another company - No/Yes,42.10%
889,MERCH_EST_NEW_3_PCT,00104,Approximate percentage of the total sales and receipts in $$00 - write-in #3,Income (loss) from Operation,42.10%
890,GRANTS_TRANSFERS_TOT,00305,"Amount of grants, transferred contributions, and similar payments",Advances and Prepayments by the US GOV,42.10%
891,RCPT_MULTCHL_UNBUN_PCT,00107,Percentage of receipts for multichannel programming distribution services from “unbundled” or “stand alone” services.,Other Recurring Non-operating Income,42.10%
892,RCPT_TOT_HOTEL_OWN3RD_VAL,00104,"Hotel Management Owned by Others:_x000D_
Revenue",Income (loss) from Operation,42.10%
893,JOINT_COMPANY_ADDR_ZIP_4,00327,Investors: ZIP Code of Company Investor 4,Stockholders Equity,42.10%
894,RCPT_BUS_DVAL,00107,business travel revenue,Other Recurring Non-operating Income,42.00%
895,RCPT_PER_PRNT_DVAL,00104,print periodicals revenue,Income (loss) from Operation,42.00%
896,RCPT_MOTR_PHARM_DVAL,00214,Pharmaceutical and chemical products motor carrier revenue,Inventories,42.00%
897,INV_E_LIFO_VAL,00328,LIFO valuation method (gross),Total Laibilities and Stockholders Equity,42.00%
898,PRCH_REFUSE,00110,"Water, sewer, refuse removal, and other non-electric utility payments",Nonoperating expenses and income,42.00%
899,ACTV_MIO_NUM,00034,Months in Operation,Discontinued Date,42.00%
900,INCOM_UNIT_BROK_FEES_PCT,00208,"Brokering and Dealing Products, Fees and commissions",Foreign Securities,42.00%
