,MDR's Variable,Variable Source,MDR's Description,Source's Description,similarity_score,Cosine Score,Jaccard Score,Actual MDR's Variable
281,MERCH_TOT_PCT,B_SALES_TOT ,"Merchandise Sales,  Total","Amount of worldwide and domestic sales, revenue, and grants",51.86%,58.49%,14.29%,RCPT_ALL_TOT_VAL
282,RCPT_CUST_TOT_PCT,B_REV ,Class of Customer: Total,Types of customers that accounted for 10% or more of total sales,51.80%,58.73%,12.50%,CUST_TYPE_10_PCT_SALES_CHKBOX
283,INCOM_UNIT_CRED_YES_ARCHIVE,B_CRDAP,Did this establishment have income from credit card products?,Yes/No if the business submitted an application for new credit,51.74%,59.26%,9.09%,CREDIT_APPS_STAT
284,PROP_MAR12_RN,B_OPR ,"Proprietor or Partner by Occupation, Registered nurses",Business operated equally by both spouses or unmarried partners,51.67%,60.78%,0.00%,EQUAL_OP_CODE
285,INCOM_U_INSTAL_INTER_PCT,B_CRDAMT,"Installment credit, Interest",Total amount of credit that was requested and received ,51.62%,56.32%,25.00%,CREDIT_AMT_RECEIVED_STAT
286,RCPT_CLIENT_S_INFOTH,B_REV ,"Class of Customer, All other",Types of customers that accounted for 10% or more of total sales,51.62%,60.74%,0.00%,CUST_TYPE_10_PCT_SALES_CHKBOX
287,EMP_MAR12_ADVMARKT,RESP_BUS_DESC,"Employment By Primary Occupation, Advertising and market research/marketing",Primary business activity,51.59%,58.74%,11.11%,NAICS_DESC_TXT
288,OWNSTAT_RACE_GUAMCH,O1_HISP,Race of majority ownership - Is the race of the majority ownership of this establishment Guamanian or Chamorro?,"Whether the first owner is Hispanic, Latino, or Spanish",51.58%,60.68%,0.00%,OWNER_ETHNICITY_CODE
289,OWN_ZIP,O1_NAME_TITLE,Owner zip code,Name of first owner,51.52%,54.73%,33.33%,OWNER1_NAME
290,INDUSTRY_STAT,B_COLLABG_FACILITY,Is this your Company's Industry - Yes/No,Yes/No if business researched at government user facilities,51.51%,57.66%,16.67%,COLLABG_FACILITY_STAT
291,GRANTS_TRANSFERS_TOT,DZDON,"Amount of grants, transferred contributions, and similar payments",Amount of domestic research funds that came from individual donors,51.50%,60.59%,0.00%,EXPS_RSRCH_DONOR_DOM_VAL
292,CLASS_MOS_OTH,B_REV ,"Class of Customer,  What best describes this establishment's principal method of selling?",Types of customers that accounted for 10% or more of total sales,51.47%,60.55%,0.00%,CUST_TYPE_10_PCT_SALES_CHKBOX
293,EMP_JUN12,WEMP,"Second Quarter Employment, Construction Workers and Other Construction Employees Total",Number of employees as of March 12th,51.46%,58.34%,12.50%,EMP_MAR12_NUM
294,RENT_PAY_TOT,CPSTR,"Payments for Rental or lease of buildings, other structures, machinery, and equipment Total",Total capital expenditures for research operations that went towards buildings and land improvement,51.44%,57.80%,15.38%,CAPEX_RSRCH_BUILD_VAL
295,CLOSING_DATE_DAY,B_CEASED_DATE_ YEAR ,Annual closing date of this corporation: Day,Year the business ceased operation,51.44%,60.52%,0.00%,OPSTAT_CEASED_YEAR_DATE
296,ASSET_BGN_VAL,WZDEPR,"Gross depreciation assets total, BOY",Amount of internal research funds allocated to depreciation and amortization of assets,51.36%,56.50%,22.22%,EXPS_RSRCH_DEPR_VAL
297,PRCH_COMPUTER_OTHEQ_PY,CPEQP,Expensed computer hardware and other equipment   Prior Year,Total capital expenditures for research operations that went towards equipment,51.32%,58.78%,9.09%,CAPEX_RSRCH_EQUIP_VAL
298,EXPS_CON_PCT_OWN_EMP,B_EXPCOST_BLDG,"Expenditures incurred,  Percent of the total expenditures that represents work done by your own employees as opposed to work done by contractors or other hired labor",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,51.32%,59.11%,7.14%,CAPEX_RD_OPS_BLDG_VAL
299,RCPT_SYSOFT_OTH_PCT,B_EXPCOST_TECH,Source of System Software Publishing Revenue: Other,R&D capital expenditures for software,51.29%,57.40%,16.67%,CAPEX_RD_OPS_TECH_VAL
300,EXPS_SOFTREPR_VAL,CPSFT,Expensed purchases of software,Total capital expenditures for research operations that went towards capitalized software,51.28%,58.37%,11.11%,CAPEX_RSRCH_SOFTWARE_VAL
301,EXPS_EXSOFT_VAL,CPSFT,Expensed Purchases of Software,Total capital expenditures for research operations that went towards capitalized software,51.28%,58.37%,11.11%,CAPEX_RSRCH_SOFTWARE_VAL
302,RCPT_SYSOFT_MAIN_DVAL,B_EXPCOST_TECH,Mainframe Computer System Software revenue,R&D capital expenditures for software,51.25%,57.35%,16.67%,CAPEX_RD_OPS_TECH_VAL
303,EXPS_BUILD_REP_VAL,B_EXPCOST_BLDG,"Purchased Repairs and Maintenance to Buildings, Structures, and Offices",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,51.25%,58.34%,11.11%,CAPEX_RD_OPS_BLDG_VAL
304,OWNEXTN,RESP_PHONE_EXT ,Owner phone extension,Contact Information: Extension,51.22%,56.73%,20.00%,CERT_EXTENSION_NUM
305,MERCH_THIS_EST_PCT,B_CONTRACTIN_TYPE ,"Merchandise Sales,  Products manufactured or assembled at this establishment",Types of companies that this business performed manufacturing for,51.21%,60.25%,0.00%,MAN_CONTRACTIN_CHKBOX
306,JOINT_COMPANY_NAME_4,B_COOP,Investors: Company Name of Company Investor 4,Companieswithin the business group ,51.17%,60.20%,0.00%,COOP_PARTNER_LOC_CHKBOX
307,EMP_DEC12,WEMP,"Fourth Quarter Employment,  Construction Workers and Other Construction Employees Total",Number of employees as of March 12th,51.16%,57.98%,12.50%,EMP_MAR12_NUM
308,PRCH_ENT_REPAIR_BUILD,B_EXPCOST_BLDG,"Enterprise payments for other establishments,  purchased repairs and maintenance to buildings, structures, and offices",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,51.11%,58.66%,8.33%,CAPEX_RD_OPS_BLDG_VAL
309,CLASS_HOUSE,B_REV ,"Class of Customer,  Household consumers and individuals",Types of customers that accounted for 10% or more of total sales,51.09%,60.11%,0.00%,CUST_TYPE_10_PCT_SALES_CHKBOX
310,RCPT_CLIENT_S_INDIV,B_REV ,"Class of Customer, Household consumers and individuals",Types of customers that accounted for 10% or more of total sales,51.09%,60.11%,0.00%,CUST_TYPE_10_PCT_SALES_CHKBOX
311,BUS_TECH_TOUCH_Y,B_COLLABG_FACILITY,"Yes, No, Don't Know for Business Technology A",Yes/No if business researched at government user facilities,51.06%,55.02%,28.57%,COLLABG_FACILITY_STAT
312,RCPT_CONTRACT_W,B_CONTRACTOUT,"Contract Work done by customer in Puerto Rico,  Wholesalers",Yes/No if business contracted out manufacturing tasks,51.03%,60.03%,0.00%,MAN_CONTRACTOUT_STAT
313,RCPT_APSOFT_OTH_PCT,B_EXPCOST_TECH,Source of Application Software Publishing Revenue: Other,R&D capital expenditures for software,51.00%,57.47%,14.29%,CAPEX_RD_OPS_TECH_VAL
314,CERT_NAME,RESP_CONTACT_NAME ,"Certification, :Name of person to contact about the survey",Contact Information: Name,50.95%,56.41%,20.00%,CERT_NAME_TXT
315,PREV_OWNER_ADDR_CITY,O1_OTH_BUS,City of Former Owner or operator,"Status of the previous business, other than this one, that the first owner started",50.95%,57.43%,14.29%,PREV_BUS_OWN_CODE
316,BUS_TECH_RFID_N_ARCHIVE,B_COLLABG_FACILITY,Yes/No/Do Not Know for Business Technology C,Yes/No if business researched at government user facilities,50.94%,54.04%,33.33%,COLLABG_FACILITY_STAT
317,RCPT_ECOMM_TOT_PCT_PY,B_SALES_PCT_GOODS,"Percent of total sales, shipments, receipts, or revenue that were a result of e-commerce transactions  Prior Year","Percent of domestic sales, revenues, and grants coming from selling goods to customers",50.91%,57.82%,11.76%,SALES_GOODS_PCT
318,CLASS_GOV_LOC,B_COOP,"Class of Customer,  Local government","Clients or customers from the public sector: public sector includes government owned organizations such as local, regional and national administrations and agencies, schools, hospitals, and government providers of services such as security, transport, housing, energy, etc. ",50.88%,58.18%,9.52%,COOP_PARTNER_LOC_CHKBOX
319,JOINT_INVEST_PCT_2,O1_PCT_OWNED ,Investors: Percent of Investment of Company Investor 2,Percent owned by first owner,50.83%,57.28%,14.29%,OWNER1_PCT
320,EXPS_INTEREST_VAL,B_WORLDEXP_TOTAL ,Operating Interest Expense,Total worldwide operating expenses,50.83%,56.27%,20.00%,EXPS_WORLD_TOT_VAL
321,PROD_QTYPRD_2009875000,B_DIFF_TARGETS,The quantity of each production category,Amount of effort it took to meet production targets,50.82%,53.90%,33.33%,PROD_TARG_EFFORT_CODE
322,PRCH_REPAIR_BUILD,B_EXPCOST_BLDG,"Purchased maintenance and repair of buildings, job-site trailers, and other structures_x000D_
(Exclude janitorial services)",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,50.81%,58.52%,7.14%,CAPEX_RD_OPS_BLDG_VAL
323,PRCH_ENT_REPAIR_MACH,B_RD_MACHINE,"Enterprise payments for other establishments,  purchased repairs and maintenance to machinery and equipment","Yes/No if business engaged in acquisition of machinery, equipment, or other tangible assets",50.78%,57.22%,14.29%,RD_MACHINE_STAT
324,CLASS_W_RESALE,B_REV ,"Class of Customer,  Wholesalers/distributors for resale",Types of customers that accounted for 10% or more of total sales,50.76%,59.72%,0.00%,CUST_TYPE_10_PCT_SALES_CHKBOX
325,RCPT_USEDGT75_YES_ARCHIVE,B_SALES_PCT_GOODS,Did the sale of used or secondhand merchandise account for more than 75% of the total sales and receipts reported?,"Percent of domestic sales, revenues, and grants coming from selling goods to customers",50.75%,58.73%,5.56%,SALES_GOODS_PCT
326,OWNSTAT_RACE_HAWAII,O1_RACE,Race of majority ownership - Is the race of the majority ownership of this establishment Native Hawaiian?,Race of first owner,50.73%,57.16%,14.29%,OWNER_RACE_CODE
327,OWNSTAT_RACE_WHITE,O1_RACE,Race of majority ownership - Is the race of the majority ownership of this establishment white?,Race of first owner,50.73%,56.75%,16.67%,OWNER_RACE_CODE
328,PAY_QTR1_PRDWRK_VAL,B_TYPS_WRKS,Payroll: production workers,Types of workers that were used by the business,50.72%,56.73%,16.67%,WRKR_TYPE_CHKBOX
329,RCPT_APSOFT_MAIN_DVAL,B_EXPCOST_TECH,Mainframe Computer Application Software revenue,R&D capital expenditures for software,50.69%,57.12%,14.29%,CAPEX_RD_OPS_TECH_VAL
330,RCPT_BILL_OTHOP_DVAL,B_EXPCOST_OTH ,all other operating revenue,All other R&D capital expenditures,50.63%,59.56%,0.00%,CAPEX_RD_OPS_OTH_VAL
331,RCPT_SYSOFT_ENTR_DVAL,B_EXPCOST_TECH,Enterprise or Network System Software revenue,R&D capital expenditures for software,50.60%,56.59%,16.67%,CAPEX_RD_OPS_TECH_VAL
332,RCPT_SYSOFT_PUB_VAL,B_EXPCOST_TECH,Value for total system software,R&D capital expenditures for software,50.58%,55.97%,20.00%,CAPEX_RD_OPS_TECH_VAL
333,GOVOWN_NO_ARCHIVE,AFFILWI ,Was this establishment operated by or under the control of a government entity or a board of directors either appointed by such an entity or publicly elected?,Details on affiliated organization ,50.57%,59.49%,0.00%,AFFIL_ORG_TXT
334,OPSTAT_NAME2_TXT,O1_OTH_BUS,Operational Status: Sold or Leased Name 2,"Status of the previous business, other than this one, that the first owner started",50.57%,57.29%,12.50%,PREV_BUS_OWN_CODE
335,RCPT_CLIENT_U_GOV,B_REV ,"Class of Customer,  Government (Exclude utilities.)",Types of customers that accounted for 10% or more of total sales,50.56%,59.48%,0.00%,CUST_TYPE_10_PCT_SALES_CHKBOX
336,PRCH_ENT_TAX,B_EXPCOST_OTH ,"Enterprise payments for other establishments,  Governmental taxes and license fees (Exclude sales, excise, and income taxes.)",All other R&D capital expenditures,50.52%,59.43%,0.00%,CAPEX_RD_OPS_OTH_VAL
337,RCPT_TOT,B_SALES_PCT_US_TOT,"Total Sales, Shipments, Receipts or Revenue","Write-in of other sales, revenue, and grant sourcesTotal percent entered from domestic sales questions",50.51%,55.01%,25.00%,SALES_US_TOT_DPCT
338,PRCH_OTHEXPS,B_EXPCOST_OTH ,"All other purchased services - (Include legal services, accounting services, other expenses normally considered as overhead or non-job related costs, etc. Exclude purchase of products for resale (cost of goods sold); bad debt; transfers made within the company; capitalized expenses; interest; impairment; income, sales, and excise taxes; and other nonoperating expenses.)",All other R&D capital expenditures,50.42%,59.31%,0.00%,CAPEX_RD_OPS_OTH_VAL
339,EMP_MAR12_ACCT,RESP_BUS_DESC,"Employment By Primary Occupation, Accounting, billing, tax preparation, and bookkeeping",Primary business activity,50.42%,57.56%,10.00%,NAICS_DESC_TXT
340,ASSET_TOT_END_MACH,WZDEPR,"Depreciable assets at the end of the year,  Machinery",Amount of internal research funds allocated to depreciation and amortization of assets,50.40%,57.53%,10.00%,EXPS_RSRCH_DEPR_VAL
341,CLASS_GOV_MUN,B_COOP,"Class of Customer,  Municipal government","Clients or customers from the public sector: public sector includes government owned organizations such as local, regional and national administrations and agencies, schools, hospitals, and government providers of services such as security, transport, housing, energy, etc. ",50.37%,58.46%,4.55%,COOP_PARTNER_LOC_CHKBOX
342,RCPT_1ESTAB,B_COOP,Is this the only establishment of this firm?,Companieswithin the business group ,50.32%,59.20%,0.00%,COOP_PARTNER_LOC_CHKBOX
343,NPATREV_OTHER_OP_WRTIN,B_SALES_PCT_US_TOT,"All other non-patient care operating  revenue,  Other write-in description","Write-in of other sales, revenue, and grant sourcesTotal percent entered from domestic sales questions",50.31%,55.65%,20.00%,SALES_US_TOT_DPCT
344,OPSTAT_NAME1_TXT,O1_OTH_BUS_WIN,Operational Status: Sold or Leased Name 1,Other status of the previous business Owner 1 started most recently,50.28%,57.19%,11.11%,PREV_BUS_OWN_TXT
345,COST_CONTRACT,B_CONTRACTOUT,Contract work done for you by others,Yes/No if business contracted out manufacturing tasks,50.21%,59.07%,0.00%,MAN_CONTRACTOUT_STAT
346,EMP_AVG_PRDWRK_PY,WEMP,Average number of annual production workers at this establishment   Prior Year,Number of employees as of March 12th,50.20%,57.10%,11.11%,EMP_MAR12_NUM
347,EMP_MAR12_HQOTH,B_RDJOB_TOTEMP_DOMESTIC,"Employment By Occupation, All other headquarter employees",Total R&D employees by staff type,50.18%,56.51%,14.29%,EMP_MAR12_RD_TOT_DNUM
348,EMP_MAR12_RD_SCI,O1_MAJOR_OTHSCI_WIN,"Employment By Occupation, Research and Development, Scientists or engineers",Other science and engineering related fields that are not listed,50.12%,58.97%,0.00%,EDU_CODE_MAJOR_OTHSCI_TXT
349,AFFIL_OWNER_STOCK_EQ50_ARCHIVE,O1_PCT_OWNED ,What percent of voting stock was held by the owning or controlling company?,Percent owned by first owner,50.10%,56.98%,11.11%,OWNER1_PCT
350,RCPT_APSOFT_MAIN_PCT,B_EXPCOST_TECH,Source of Application Software Publishing Revenue: Mainframe,R&D capital expenditures for software,50.09%,56.72%,12.50%,CAPEX_RD_OPS_TECH_VAL
351,RCPT_DIR_PUB_VAL,B_SALES_TOT ,"Total Directories, Databases, and Other Collections of Information Revenue","Amount of worldwide and domestic sales, revenue, and grants",50.09%,57.17%,10.00%,RCPT_ALL_TOT_VAL
352,RCPT_CUST_NORES_DVAL,B_SALES_PCT_GRANT,Non-residential consumer revenue,"Percent of domestic sales, revenues, and grants coming from selling services to customers",50.07%,58.91%,0.00%,SALES_GRANT_PCT
353,EMP_SEP12,WEMP,"Third Quarter Employment, Construction Workers and Other Construction Employees Total",Number of employees as of March 12th,50.07%,56.39%,14.29%,EMP_MAR12_NUM
354,JOINT_INVEST_PCT_4,O4_PCT_OWNED ,Investors: Percent of Investment of Company Investor 4,Percent owned by fourth owner,50.05%,56.68%,12.50%,OWNER4_PCT
355,EXPS_CON_PCT_OTH_WRTIN,EXPNS,"Expenditures incurred,  Other write-in description",Amount of total expenses,50.04%,58.87%,0.00%,EXPS_TOT_VAL
356,OWNSTAT_RACE_CHINA,B_PARENTCO_FOREIGN,Race of majority ownership - Is the race of the majority ownership of this establishment Chinese?,Yes/No if business is a majority-owned subsidiary of a foreign company,50.04%,57.10%,10.00%,OWNED_FOREIGN_STAT
357,RCPT_CUST_SUBLIN_BUS_DVAL,B_SALES_PCT_SERVICE,Subscriber Line - Gov & Business revenue,"Percent of domestic sales, revenues, and grants coming from selling services to customers",50.01%,58.83%,0.00%,SALES_SERVICE_PCT
358,RCPT_CLIENT_F_TOT_PCT,B_REV ,"Class of Customer, Total Financial",Types of customers that accounted for 10% or more of total sales,49.92%,56.76%,11.11%,CUST_TYPE_10_PCT_SALES_CHKBOX
359,RCPT_CUST_IND_PCT,B_REV ,"Class of Customer: Total Revenue,_x000D_
Individual",Types of customers that accounted for 10% or more of total sales,49.90%,57.10%,9.09%,CUST_TYPE_10_PCT_SALES_CHKBOX
360,SOC_ASSIST_GOV_PCT,B_COOP,"Social Assitance Services, Government payers","Clients or customers from the public sector: public sector includes government owned organizations such as local, regional and national administrations and agencies, schools, hospitals, and government providers of services such as security, transport, housing, energy, etc. ",49.89%,57.09%,9.09%,COOP_PARTNER_LOC_CHKBOX
361,RCPT_MULTCHL_TOT_PCT,B_SALES_PCT_SERVICE,Percentage of receipts for multichannel programming distribution services  Total,"Percent of domestic sales, revenues, and grants coming from selling services to customers",49.89%,57.44%,7.14%,SALES_SERVICE_PCT
362,RCPT_TOT_PY,B_SALES_PCT_US_TOT,"Total Sales, Shipments, Receipts or Revenue  Prior Year","Write-in of other sales, revenue, and grant sourcesTotal percent entered from domestic sales questions",49.82%,55.08%,20.00%,SALES_US_TOT_DPCT
363,INCOM_EXPS_RCR_DBCRD_VAL,EXPNS,Other recurring nonoperating income (expenses) - principal debits and credits that contribute - Amount,Amount of total expenses,49.81%,56.64%,11.11%,EXPS_TOT_VAL
364,ROBOT_ACTIVE_PY,WEMP,Number of industrial robots IN OPERATION for this plant  Prior Year,Number of employees as of March 12th,49.77%,56.35%,12.50%,EMP_MAR12_NUM
365,RCPT_PATNT_CARE,B_SALES_PCT_SERVICE,What was the total revenue from patient care services?,"Percent of domestic sales, revenues, and grants coming from selling services to customers",49.75%,57.06%,8.33%,SALES_SERVICE_PCT
366,RCPT_OTH,O1_OTH_BUS_WIN,Receipts for all other business activities done by this establishment,Other status of the previous business Owner 1 started most recently,49.73%,56.54%,11.11%,PREV_BUS_OWN_TXT
367,DEPR_VAL,B_RDEXP_DOM_DEPR,"Domestic Depreciable Asset Data:_x000D_
Accumulated depreciation & amortization, ending",Amount of domestic R&D costs going to depreciation on property and equipment,49.72%,55.55%,16.67%,EXPS_RD_DOM_DEPR_VAL
368,JOINT_COMPANY_NAME_5,B_COOP,Investors: Company Name of Company Investor 5,Companieswithin the business group ,49.70%,58.46%,0.00%,COOP_PARTNER_LOC_CHKBOX
369,MSC_CONTRACT_TOT,ZORD ,What were the total receipts for contract work performed for others on their materials?,Total amount of funding provided to others for research activities,49.70%,56.51%,11.11%,EXPS_PROV_RSRCH_TOT_DVAL
370,RCPT_SHPHDL_VAL,B_SALES_PCT_US_TOT,"Sales, Shipments Receipts, or Revenue - S&H","Write-in of other sales, revenue, and grant sourcesTotal percent entered from domestic sales questions",49.69%,53.42%,28.57%,SALES_US_TOT_DPCT
371,RCPT_MULTCHL_UNBUN_PCT,B_SALES_PCT_GRANT,Percentage of receipts for multichannel programming distribution services from “unbundled” or “stand alone” services.,"Percent of domestic sales, revenues, and grants coming from selling services to customers",49.69%,57.28%,6.67%,SALES_GRANT_PCT
372,ASSET_TOT_END_BUILD,WZDEPR,"Depreciable assets at the end of the year,  Buildings",Amount of internal research funds allocated to depreciation and amortization of assets,49.60%,56.59%,10.00%,EXPS_RSRCH_DEPR_VAL
373,OWNSTAT_RACE_PHILI,O1_RACE,Race of majority ownership - Is the race of the majority ownership of this establishment Filipino?,Race of first owner,49.57%,55.38%,16.67%,OWNER_RACE_CODE
374,RCPT_COMP_VAL,B_SALES_PCT_US_TOT,"Sales, Shipments Receipts, or Revenue - Computer","Write-in of other sales, revenue, and grant sourcesTotal percent entered from domestic sales questions",49.57%,53.90%,25.00%,SALES_US_TOT_DPCT
375,OWNSTAT_RACE_KOREA,B_PARENTCO_FOREIGN,Race of majority ownership - Is the race of the majority ownership of this establishment Korean?,Yes/No if business is a majority-owned subsidiary of a foreign company,49.54%,56.52%,10.00%,OWNED_FOREIGN_STAT
376,JOINT_COMPANY_NAME_3,B_COOP,Investors: Company Name of Company Investor 3,Companieswithin the business group ,49.48%,58.21%,0.00%,COOP_PARTNER_LOC_CHKBOX
377,FGINFO_COMPANY,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",Company of FG contact person,Contact Information: Phone,49.47%,55.25%,16.67%,CERT_PHONE_NUM
378,AFFIL_OWNER_DOM_STAT,O2_NAME_TITLE,Ownership or Control: Status,Name of second owner,49.46%,58.19%,0.00%,OWNER2_NAME
379,SERVICES_IMPORTED_Y_ARCHIVE,B_ACTIVITYUFC_OTHER ,"Did this establishment purchase services from foreign businesses in $$99 (that is, imported services)?",Yes/No if foreign affiliated companies were involved in any other operating expenses,49.45%,56.92%,7.14%,AFFIL_NONUS_EXPS_OTH_STAT
380,PRCH_TOT_PY,EXPNS,Total Purchased Services Prior Year,Amount of total expenses,49.42%,55.20%,16.67%,EXPS_TOT_VAL
381,RCPT_CUST_BUS_DVAL,B_SALES_PCT_GOODS,Revenue by Gov & Business,"Percent of domestic sales, revenues, and grants coming from selling goods to customers",49.41%,58.13%,0.00%,SALES_GOODS_PCT
382,RCPT_TRANSFER_PY,B_RDFUND_US_THISBUS,Value of products shipped to other domestic plants of your company for further processing  Prior Year,Domestic R&D costs paid by this business,49.31%,56.54%,8.33%,FUNDS_RD_US_OWN_VAL
383,OWNSTAT_RACE_VIETN,O1_RACE,Race of majority ownership - Is the race of the majority ownership of this establishment Vietnamese?,Race of first owner,49.27%,55.02%,16.67%,OWNER_RACE_CODE
384,EXPS_GRANTS_VAL,DZDON,"Contributions, Gifts, and Grants Paid",Amount of domestic research funds that came from individual donors,49.18%,57.85%,0.00%,EXPS_RSRCH_DONOR_DOM_VAL
385,PREV_OWN_ADDR_STREET_TXT,O1_OTH_BUS,New Establishment: Former Ownership Street,"Status of the previous business, other than this one, that the first owner started",49.16%,57.84%,0.00%,PREV_BUS_OWN_CODE
386,INV_TOT_END,TCPEX,"Inventories, Total,  End of Year",Total capital expenditures,49.16%,54.90%,16.67%,CAPEX_TOT_VAL
387,MAIL_ADDR_NAME1_TXT,RESP_CONTACT_NAME ,Company Mailing Address: Name 1,Contact Information: Name,49.15%,57.82%,0.00%,CERT_NAME_TXT
388,PREV_OWN_ADDR_CITY_TXT,O1_OTH_BUS,New Establishment: Former Ownership City,"Status of the previous business, other than this one, that the first owner started",49.11%,57.78%,0.00%,PREV_BUS_OWN_CODE
389,OWNSTAT_RACE_OTHPACF,O1_RACE,"Race of majority ownership - Is the race of the majority ownership of this establishment other Pacific Islander, for example Fijian, Tongan, etc.?",Race of first owner,49.11%,56.01%,10.00%,OWNER_RACE_CODE
390,OWNSTAT_RACE_SAMOA,O1_RACE,Race of majority ownership - Is the race of the majority ownership of this establishment Samoan?,Race of first owner,49.07%,54.79%,16.67%,OWNER_RACE_CODE
391,COOPERATIVE_YES_ARCHIVE,AFFILWI ,Is this company a cooperative?,Details on affiliated organization ,49.02%,57.67%,0.00%,AFFIL_ORG_TXT
392,AFFIL_OWNER_NAME_TXT,O1_NAME_TITLE,Ownership or Controlling Company: Name,Name of first owner,48.97%,57.61%,0.00%,OWNER1_NAME
393,JOINT_COMPANY_ADDR_STATE_1,O1_OTH_BUS_WIN,"Investors, State of Company Investor 1",Other status of the previous business Owner 1 started most recently,48.96%,57.60%,0.00%,PREV_BUS_OWN_TXT
394,CLNC_SEE_PERF_NONMNG,B_FREQKPI,Measures of Clinical Performance - Who sees your organization's measures of clinical performance - Employees (non-managers)?,How frequently key performance indicators are monitored by this business,48.94%,55.62%,11.11%,KPI_MONITOR_FREQ_CODE
395,RCPT_ECOMMGT50,B_SALES_PCT_GOODS,Did e-commerce account for more than 50% of this establishment's sales and/or operating receipts?,"Percent of domestic sales, revenues, and grants coming from selling goods to customers",48.93%,56.39%,6.67%,SALES_GOODS_PCT
396,PROD_7012265000,B_SALES_TOT_US,The Gross Sales of each product manufactured or mined by this establishment ,"Amount of sales, revenue, and grants from domestic operations",48.92%,55.79%,10.00%,SALES_US_TOT_VAL
397,PAY_ANN,WZWAGE,Annual Payroll Total,Amount of internal research funds allocated to payroll for internal employees,48.91%,55.02%,14.29%,EXPS_RSRCH_PAYROLL_VAL
398,AFFIL_OWNER_ADDR_ST,O1_OTH_BUS_WIN,State of the owning or controlling company,Other status of the previous business Owner 1 started most recently,48.86%,57.49%,0.00%,PREV_BUS_OWN_TXT
399,RCPT_ECOMM_ES_TOT_VAL,B_SALES_PCT_GRANT,Revenue from Electronic Sources: Part of total revenue,"Percent of domestic sales, revenues, and grants coming from selling services to customers",48.84%,57.46%,0.00%,SALES_GRANT_PCT
400,PAY_ANN_VAL,WZWAGE,Annual payroll,Amount of internal research funds allocated to payroll for internal employees,48.84%,54.52%,16.67%,EXPS_RSRCH_PAYROLL_VAL
401,PAY_ANN_VAL,WZWAGE,Annual Payroll,Amount of internal research funds allocated to payroll for internal employees,48.84%,54.52%,16.67%,EXPS_RSRCH_PAYROLL_VAL
402,PAY_ANN_OTHWRK_C,WZWAGE,Annual Payroll for Other Construction Employees,Amount of internal research funds allocated to payroll for internal employees,48.82%,52.40%,28.57%,EXPS_RSRCH_PAYROLL_VAL
403,RCPT_CLIENT_S_FEDGOV,B_COOP,"Class of Customer, Federal government","Clients or customers from the public sector: public sector includes government owned organizations such as local, regional and national administrations and agencies, schools, hospitals, and government providers of services such as security, transport, housing, energy, etc. ",48.80%,56.61%,4.55%,COOP_PARTNER_LOC_CHKBOX
404,MERCH_EST_NEW_1_PCT,B_SALES_PCT_GOODS,"Merchandise Sales,","Percent of domestic sales, revenues, and grants coming from selling goods to customers",48.80%,55.45%,11.11%,SALES_GOODS_PCT
405,TOC_TOT,B_WORKHOME_PCT_TOTAL,"Percent of Construction Work for Other Types of Construction, Total",Total percent entered from work from home questions,48.80%,48.59%,50.00%,WORK_HOME_TOT_PCT
406,CLASS_GOV_FED,B_COOP,"Class of Customer,  Federal government","Clients or customers from the public sector: public sector includes government owned organizations such as local, regional and national administrations and agencies, schools, hospitals, and government providers of services such as security, transport, housing, energy, etc. ",48.80%,56.61%,4.55%,COOP_PARTNER_LOC_CHKBOX
407,EMP_MAR12_LSD_MANUF,B_CONTRACTOUT_TYPE,Q1 LEASED EMPLOYMENT FOR MANUFACTURING CLIENTS,Type of companies that manufacturing was contracted out to ,48.79%,55.20%,12.50%,MAN_CONTRACTOUT_CHKBOX
408,PHYSLOC_OFF,B_ACTIVITYUC_OTHER ,True if the operations of this domestic reporting unit are offshore; false otherwise.,Yes/No if domestic unaffiliated companies were involved in any other operating expenses,48.77%,55.90%,8.33%,UNAFFIL_US_EXPS_OTH_STAT
409,PROP_MAR12_PHYASST,B_OPR ,"Proprietor or Partner by Occupation, Physician assistants",Business operated equally by both spouses or unmarried partners,48.77%,57.37%,0.00%,EQUAL_OP_CODE
410,INV_TOT_BGN,TCPEX,"Inventories, Total,  Beginning of Year",Total capital expenditures,48.75%,54.41%,16.67%,CAPEX_TOT_VAL
411,INV_E_TOT_VAL,TCPEX,"Inventories: Total, Current Year",Total capital expenditures,48.72%,54.38%,16.67%,CAPEX_TOT_VAL
412,COST_SUBCONTRACT,B_CONTRACTOUT,Work done for you by others on your materials (work contracted to others),Yes/No if business contracted out manufacturing tasks,48.71%,54.37%,16.67%,MAN_CONTRACTOUT_STAT
413,PRCH_REPAIR,B_RD_MACHINE,Purchased repairs and maintenance to buildings and/or machinery and equipment,"Yes/No if business engaged in acquisition of machinery, equipment, or other tangible assets",48.64%,54.28%,16.67%,RD_MACHINE_STAT
