,MDR's Variable,Variable Source,MDR's Description,Source's Description,similarity_score,Cosine Score,Jaccard Score
773,RCPT_CUST_BUS_PCT,00104,"Class of Customer: Total Revenue,_x000D_
Business",Income (loss) from Operation,38.41%,45.18%,0.00%
774,CLASS_HOIND_YES,00001,"Class of Customer,  Were 10 percent or more of your sales to household consumers and individual users in the past 12 months?",Is this your company's industry - yes/no,38.33%,45.09%,0.00%
775,CLASS_FARM,00216,"Class of Customer,  Farmers for use in farm production",Plant and Equipment,38.31%,45.07%,0.00%
776,RCPT_REPAIR_TOT_PCT,00104,"Repair Receipts, Total",Income (loss) from Operation,38.31%,45.07%,0.00%
777,CLASS_AUX_YES_ARCHIVE,00031,"Auxiliary Establishments,  Was this establishment primarily engaged in providing management, administrative, or support services to other establishments of your enterprise (rather than for the general public or other business firms)?",Corporation Status Active/Discontinued/Merged,38.28%,45.03%,0.00%
778,MAJOR_ACT_CODE_STAT,00084,for added estabs,EI for addition 4,38.26%,45.01%,0.00%
779,COST_MAT_TOT,00216,"Cost of Materials,  Total",Plant and Equipment,38.21%,44.95%,0.00%
780,AFFIL_CONTROL_STAT,00041,Ownership or Control: Management and Policy Status,Owned by another company - No/Yes,38.20%,44.94%,0.00%
781,PROD_QTYPRD_CHEMFR_NONE,00217,"None for the question: If MINE_HERE = 1, report the quantity of chemical and fertilizer minerals, such as barite, rock salt, native sulfur, fluorspar, pyrites, spodumene, mineral pigments, etc. (ore, fines, and concentrates) mined at this mine or pit",Land and Mineral Rights,38.13%,44.12%,4.17%
782,TYPOP_OTH_WRTIN_TXT,00104,Type of Operation: Other,Income (loss) from Operation,38.11%,40.43%,25.00%
783,RCPT_SOFTWARE_VAL,00104,"Sales, Shipments Receipts, or Revenue - Software",Income (loss) from Operation,38.05%,44.76%,0.00%
784,RCPT_MOTOR_LONG,00211,"Trucking Revenue,  LONG-DISTANCE (motor carrier service between metropolitan areas which may cross North American borders)",Trade Receivables from the U.S. Government,38.03%,44.74%,0.00%
785,MAIL_ADDR_ST_TXT,00207,Company Mailing Address: State,State and Local Government Securities,38.03%,41.80%,16.67%
786,RCPT_CUST_SUBLIN_BUS_DVAL,00211,Subscriber Line - Gov & Business revenue,Trade Receivables from the U.S. Government,38.03%,44.74%,0.00%
787,RCPT_CUST_LOCTEL_BUS_DVAL,00207,Fixed Local Tel - Gov & Business revenue,State and Local Government Securities,38.02%,42.53%,12.50%
788,RENT_PAY_AUX_MACH,00107,"Auxiliary establishments,  Lease and rental payments for machinery, equipment, and other tangible items",Other Recurring Non-operating Income,38.00%,44.71%,0.00%
789,OWN_NAME,00044,Owner name.,EI of company who owns,37.96%,44.66%,0.00%
790,RCPT_PRDSHIP_M,00211,"Value of product shipped by customer in Puerto Rico,  Other manufacturing establishments",Trade Receivables from the U.S. Government,37.95%,44.65%,0.00%
791,AFFIL_OWNER_ADDR_ZIP_NUM,00041,Ownership or Controlling Company: ZIP Code,Owned by another company - No/Yes,37.95%,42.13%,14.29%
792,PREV_OWNER_MONTH,00021,Month acquired from Former Owner or operator,Closing date,37.92%,44.61%,0.00%
793,RCPT_ECOMM_WEB_STAT,00104,Revenue from Electronic Sources: Website,Income (loss) from Operation,37.89%,44.58%,0.00%
794,RCPT_CUST_TOT_PCT,00328,Class of Customer: Total,Total Laibilities and Stockholders Equity,37.87%,40.14%,25.00%
795,REPAY_CASH_ADV,00110,"True if the receipts or revenue reported included the repayments of cash advances made by this establishment for the convenience of those served to cover such items as cemetery expenses, transportation, flowers, newspaper notices, clergy and musician honoraria, transcripts, and other items not in the services normally included in the price of a funeral selected at this establishment; false otherwise",Nonoperating expenses and income,37.87%,43.99%,3.23%
796,RCPT_CLIENT_U_IND,00001,"Class of Customer, Industrial",Is this your company's industry - yes/no,37.86%,44.54%,0.00%
797,MSC_OTH,00110,What were the miscellaneous receipts for Other miscellaneous receipts,Nonoperating expenses and income,37.83%,44.51%,0.00%
798,RCPT_MOTR_PHARM_PCT,00214,Analysis of Motor Carrier Operations: Pharmaceutical and chemical products,Inventories,37.81%,44.48%,0.00%
799,RCPT_ECOMM_OTH_STAT,00107,Revenue from Electronic Sources: Electronic systems,Other Recurring Non-operating Income,37.79%,44.46%,0.00%
800,RCPT_PATNT_CARE,00104,What was the total revenue from patient care services?,Income (loss) from Operation,37.78%,44.44%,0.00%
801,PART_TXT,00022,Two digit part number that corresponds to BR split part ID number.  Only populated when LOGIN = 8nnnnnnnn.,Employer Identification Number,37.78%,42.84%,9.09%
802,CLASS_GOV_MUN,00207,"Class of Customer,  Municipal government",State and Local Government Securities,37.77%,41.49%,16.67%
803,PRCH_TRANS_COST_MOTOR,00214,"Purchased Transportation,  Motor carrier",Inventories,37.77%,44.44%,0.00%
804,OWN_CONT,00044,Owner contact name.,EI of company who owns,37.75%,44.41%,0.00%
805,EMP_JUN12_PRDWRK_PY,00119,"Second Quarter Employment,  Production Workers  Prior Year",Retained Earnings at Beginning of Quarter,37.75%,42.64%,10.00%
806,RCPT_PVTHLTH_INS_VAL,00115,"Net patient revenues from private health insurance, including Medicare and Medicaid managed care plans",Net income (loss),37.73%,43.13%,7.14%
807,RCPT_ECOMM_TOYS_VAL,00214,Electronic Commerce (e-commerce) - Toys,Inventories,37.71%,44.36%,0.00%
808,SSCID,PACDE,Control Number - Sponsoring division control number used for tracking purposes.,Size code directly related to (and derived from) total assets.,37.70%,44.36%,0.00%
809,RCPT_MOTR_GRAIN_DVAL,00214,"Grains, Alcohol, Tobacco Products motor carrier revenue",Inventories,37.70%,44.35%,0.00%
810,LSD_50_NO,00001,Did your company lease 50 percent or more of its permanent full-and part-time workforce from a Professional Employer Organization?,Is this your company's industry - yes/no,37.68%,42.97%,7.69%
811,INCOM_UNIT_BROK_MARIN_PCT,00213,"Brokering and Dealing Products, Margin interest",Trade Accounts and Trade Notes Receivable,37.66%,44.30%,0.00%
812,PREV_OWNER_RECORD_NAME,00044,Name of former Owner or operator,EI of company who owns,37.65%,44.29%,0.00%
813,BPOID,00022,BPO ID - Code that uniquely identifies a building permit office within a state or PSU (for Non-Permit Listing).,Employer Identification Number,37.63%,44.27%,0.00%
814,FGINFO_PHONE,00022,Phone number,Employer Identification Number,37.60%,39.82%,25.00%
815,TOTU3INT1,00223,"Total Coop Units, First Intv",Total Assets,37.57%,40.67%,20.00%
816,EXPS_ACCESS_VAL,00105,Access Charges,Interest Expense,37.57%,44.19%,0.00%
817,PREV_OWN_ADDR_CITY_TXT,00031,New Establishment: Former Ownership City,Corporation Status Active/Discontinued/Merged,37.56%,44.19%,0.00%
818,EXPS_BENPAY_HLTH_VAL,00111,Benefits Paid (Losses): Health,Income (loss) before income taxes,37.56%,44.19%,0.00%
819,RCPT_PRDSHIP_C,00211,"Value of product shipped by customer in Puerto Rico,  Construction companies",Trade Receivables from the U.S. Government,37.53%,44.15%,0.00%
820,NAME2,00031,Company Secondary Name,Corporation Status Active/Discontinued/Merged,37.51%,44.13%,0.00%
821,SAMPLE_ID_TYP,00031,"0= MU enterprise, 1 = SU establishment",Corporation Status Active/Discontinued/Merged,37.49%,44.10%,0.00%
822,RCPT_ELEC_RESALE,00104,Revenue from the sale of electricity purchased for resale,Income (loss) from Operation,37.48%,44.10%,0.00%
823,INCOM_UNIT_CRED_MERFE_PCT,00105,"Credit Card Products,  Merchant fees",Interest Expense,37.46%,44.07%,0.00%
824,RCPT_APSOFT_ENTR_DVAL,00104,Enterprise or Network Application revenue,Income (loss) from Operation,37.45%,44.06%,0.00%
825,PAY_ANN_OTHWRK_M_PY,00117,Annual Payroll for Other Manufacturing Employees  prior Year,Cumulative Effect of Accounting Changes,37.44%,44.05%,0.00%
826,INCOM_LEAS_XAUTO_TOT_PCT,00320,"Finance leasing services, except automobile and light-duty truck leasing services, Total",All Other Non-current Liabilities,37.44%,44.04%,0.00%
827,PRCH_TEMPSTAF_PY,00110,Purchased services for temporary staff and leased employees  (Professional Employer Organizations and staffing agencies for personnel)  Prior Year,Nonoperating expenses and income,37.43%,44.03%,0.00%
828,CAPEX_NEW_HWY_MACH,00221,"Capital Expenditures, New automobiles, trucks, etc. (Intended primarily for highway use.)",All Other Non-current Assets,37.39%,43.99%,0.00%
829,PRCH_OTHEXPS_PY,00314,"All other purchased services, Prior year",All Other Current Liabilities.,37.39%,43.99%,0.00%
830,EXPS_TAX_VAL,00309,Purchased tax and license fees,Domestic Income Taxes Accrued,37.34%,43.93%,0.00%
831,RCPT_MOTR_ELECT_DVAL,00104,Electronic & Precision motor carrier revenue,Income (loss) from Operation,37.33%,43.92%,0.00%
832,RECORD_STORENUM_TXT,00022,Store number,Employer Identification Number,37.33%,39.51%,25.00%
833,ROBOT_ACTIVE,00216,Number of industrial robots IN OPERATION at this plant,Plant and Equipment,37.32%,40.97%,16.67%
834,NC-9902C_TYPOP_SELFDSG,00104,Type of Operation - What is the establishment's primary type of operation,Income (loss) from Operation,37.32%,40.96%,16.67%
835,RCPT_PRDSHIP_FOOD,00211,"Value of product shipped by customer in Puerto Rico,  Hotels, restaurants, food services, and drinking places",Trade Receivables from the U.S. Government,37.32%,43.91%,0.00%
836,RCPT_ECOMM_CLOTH_VAL,00214,Electronic Commerce (e-commerce) - Clothing,Inventories,37.27%,43.85%,0.00%
837,EXPS_RENT_BUILD_VAL,00217,"Lease and Rental Payments for Land, Buildings, and Other Structures",Land and Mineral Rights,37.24%,41.61%,12.50%
838,PROD_QTYPRD_MISCLY_NONE,00217,"None for the question: If MINE_HERE = 1, report the quantity of common (miscellaneous) clay and shale mined and/or basically prepared for transport at this mine or pit",Land and Mineral Rights,37.24%,43.81%,0.00%
839,FOOD_DAYPART_TOT_PCT,00214,"Food and Beverage Sales,  Total",Inventories,37.22%,43.79%,0.00%
840,PRCH_REPAIR_BUILD,00110,"Purchased maintenance and repair of buildings, job-site trailers, and other structures_x000D_
(Exclude janitorial services)",Nonoperating expenses and income,37.18%,43.74%,0.00%
841,RCPT_PROPCSLTY_INS_VAL,00115,Net patient revenues from property and casualty insurance,Net income (loss),37.15%,41.50%,12.50%
842,PROD_QTYPRD_OTHCLY_NONE,00217,"None for the question: If MINE_HERE = 1, report the quantity of all other nonmetallic minerals (including natural abrasives, shell and native asphalt and bitumens) mined and/or beneficiated at this mine or pit",Land and Mineral Rights,37.14%,43.69%,0.00%
843,RCPT_COMSN_YES_ARCHIVE,00214,Did this establishment earn commissions for the sale of merchandise?,Inventories,37.13%,43.68%,0.00%
844,RCPT_SYSOFT_PUB_VAL,00223,Total System Software Publishing Revenue,Total Assets,37.10%,40.12%,20.00%
845,RCPT_C_ST_DC,00207,"Construction Work by State,  District of Columbia",State and Local Government Securities,37.09%,41.12%,14.29%
846,JOINT_COMPANY_ADDR_ZIP_1,00327,Investors: ZIP Code of Company Investor 1,Stockholders Equity,37.08%,43.63%,0.00%
847,COVERAGE_INST,00001,QSS Industry description,Is this your company's industry - yes/no,37.08%,40.09%,20.00%
848,EMP_SUM_PRDWRK_PY,00117,Manufacturing:  Sum of Production Workers Prior Year,Cumulative Effect of Accounting Changes,37.08%,43.62%,0.00%
849,COST_RESALE,00214,Products bought and sold as such without further processing,Inventories,37.02%,43.56%,0.00%
850,RD_VAL_GE3MIL_ARCHIVE,00110,Company's worldwide expenses for research and development,Nonoperating expenses and income,37.00%,41.00%,14.29%
851,CLASS_CAPGT60K,00214,"Class of Customer,  Did this establishment have bulk petroleum (automotive gas, diesel, propane, etc.) storage capacity of more than 60,000 gallons?",Inventories,36.97%,43.49%,0.00%
852,PRCH_REPAIR_PY,00218,Purchased repairs and maintenance to buildings and/or machinery and equipment  Prior Year,Accumulated Depreciation,36.95%,43.47%,0.00%
853,COST_VALUE_LAND,00217,Purchased cost of land or estimated value of raw land for reported construction projects,Land and Mineral Rights,36.94%,41.86%,9.09%
854,AIES_TAX_STATUS,00112,"Whether estab is Exempt (1), No Exempt (2), or Add (3)",Provision for Income Taxes (FEDERAL),36.93%,43.45%,0.00%
855,PRCH_REFUSE_PY,00320,"Water, sewer, refuse removal, and other non-electric utility payments   Prior Year",All Other Non-current Liabilities,36.92%,41.97%,8.33%
856,PAY_ANN_PY,00117,Annual Payroll   Prior Year,Cumulative Effect of Accounting Changes,36.92%,43.44%,0.00%
857,PHYSLOC_MUNI,00207,"Physical Location,  Municipality",State and Local Government Securities,36.91%,43.43%,0.00%
858,OWN_ADD,00044,Owner address,EI of company who owns,36.91%,43.42%,0.00%
859,REPORTING_ID,00022,"Reporting Unit ID.  8nnnnnnnnn= Enterprise level or record type 10, 2nnnnnnnnn= Establishment or record type 20, 3nnnnnnnnn= KAU or record type 30",Employer Identification Number,36.87%,43.38%,0.00%
860,NUMUNITSU4,00072,Total Number of Condominium units,Number of Subsidiary Corporations - Not Consolidated,36.84%,40.40%,16.67%
861,INCOM_LEAS_XAUTO_FEE_PCT,00105,"Finance leasing services, except automobile and light-duty truck leasing services, Fees",Interest Expense,36.84%,43.34%,0.00%
862,PATREV_GOV_WRKCMP,00110,Patient Care Revenue:  Workers' compensation,Nonoperating expenses and income,36.80%,43.29%,0.00%
863,RCPT_ECOMM_SPTGD_VAL,00214,Electronic Commerce (e-commerce) - Sporting goods,Inventories,36.80%,43.29%,0.00%
864,INCL_COST_VALUE_LAND_YES_ARCHIVE,00217,Was the purchased cost of land or estimated value of raw land included in the receipts for construction work?,Land and Mineral Rights,36.79%,41.81%,8.33%
865,TOTU4INT1,00223,"Total Condo Units, First Intv",Total Assets,36.77%,39.73%,20.00%
866,ELEC_SOLD_KWH _NUM,00104,Quantity of Electricity Sold or Transferred to Other Establishments,Income (loss) from Operation,36.77%,43.26%,0.00%
867,TOTU2INT1,00223,"Total Furn Units, First Intv",Total Assets,36.76%,39.72%,20.00%
868,AFFIL_SPL_STORENUM,00061,"Added child establishment,   Store number",Number of Subsidiary Corporations,36.73%,40.27%,16.67%
869,RECORD_NAICS,00001,The updates needed on NAICS (North American Industry Classification System code),Is this your company's industry - yes/no,36.69%,41.41%,10.00%
870,RCPT_TRANSFER_PY,00117,Value of products shipped to other domestic plants of your company for further processing  Prior Year,Cumulative Effect of Accounting Changes,36.68%,43.15%,0.00%
871,SOMA_CASEID,00022,Sequential Control number assigned by sponsor.,Employer Identification Number,36.68%,40.63%,14.29%
872,RENT_PAY_TOT,00314,"Payments for Rental or lease of buildings, other structures, machinery, and equipment Total",All Other Current Liabilities.,36.67%,43.14%,0.00%
873,RCPT_CUST_LNGTEL_BUS_DVAL,00107,Fixed Long Dist - Gov & Business revenue,Other Recurring Non-operating Income,36.66%,43.13%,0.00%
874,MAIL_DATE,00035,Date mail file pulled,Merged Date,36.65%,39.59%,20.00%
875,RD_STAT,00031,Research and Development Status,Corporation Status Active/Discontinued/Merged,36.65%,40.59%,14.29%
876,EXPS_PRCH_RESALE_AGBR_VAL,00214,Purchases of Products: AGBR,Inventories,36.64%,43.11%,0.00%
877,OPSTAT_QTR_STAT,00118,Yes/No identifier of activity in the quarter,Net Income (loss) for Quarter,36.63%,40.58%,14.29%
878,RENT_PAY_MACH,00216,Payments for Rental or lease of machinery and equipment,Plant and Equipment,36.63%,40.15%,16.67%
879,RCPT_ECOMM_NONMRCH_VAL,00214,Electronic Commerce (e-commerce) - Other non-merchandise,Inventories,36.63%,43.10%,0.00%
880,NUM_UNITS,00061,Number of Units in building,Number of Subsidiary Corporations,36.62%,38.67%,25.00%
881,CLASS_APPAREL,00214,"Class of Customer,  Apparel manufacturers",Inventories,36.62%,43.09%,0.00%
882,RCPT_TRANSFER,00214,Value of products shipped to other domestic plants of your company for further processing,Inventories,36.61%,43.07%,0.00%
883,EMP_MAR12_HR,00022,"Employment By Occupation, Human resources/personnel",Employer Identification Number,36.61%,43.07%,0.00%
884,BOAT_DOCK_SPACE,00214,"Number of pleasure boat docking or storage spaces, including wet slips, moorings, in/out racks, and other land storage spaces,",Inventories,36.56%,43.02%,0.00%
885,BLDG_TYPE,00216,Type of Units in Building,Plant and Equipment,36.56%,43.01%,0.00%
886,PAY_ANN_PRDWRK_PY,00117,Annual Payroll for Production Workers Prior Year,Cumulative Effect of Accounting Changes,36.56%,43.01%,0.00%
887,EXPS_TEMPSTAF_VAL,00110,Temporary Staff and Leased Employee Expense,Nonoperating expenses and income,36.54%,42.99%,0.00%
888,EXPS_TEMPSTAF_VAL,00110,Temporary staff and leased employee expense,Nonoperating expenses and income,36.54%,42.99%,0.00%
889,RCPT_LEISURE_PCT,00107,Source of Revenue: Leisure,Other Recurring Non-operating Income,36.53%,42.97%,0.00%
890,DIRECT_PREM_HOMEPC_INS,00314,"Direct Premiums Earned,  Homeowners multiple peril insurance",All Other Current Liabilities.,36.53%,42.98%,0.00%
891,PGM_UNITS,PACDE,Number of Units in programs,Size code directly related to (and derived from) total assets.,36.50%,42.94%,0.00%
892,TOTU2INT3,00223,"Total Furn Units, Third Intv",Total Assets,36.50%,39.41%,20.00%
893,TOTU3INT3,00223,"Total Coop Units, Third Intv",Total Assets,36.50%,39.41%,20.00%
894,FUNDS_DEV_NONFED,00107,"Source of Research and Development Funds,  Non-federal sources outside your enterprise_x000D_
(Include receipts from other enterprises, state and local governments, and other organizations.)",Other Recurring Non-operating Income,36.48%,41.99%,5.26%
895,JOINT_COMPANY_ADDR_ZIP_2,00327,Investors: ZIP Code of Company Investor 2,Stockholders Equity,36.45%,42.88%,0.00%
896,PORTAL_LOGIN,00035,Date of respondent portal login,Merged Date,36.42%,39.32%,20.00%
897,AFFIL_SPL_EMP_MAR12,00119,"Added child establishment,  First Quarter Payroll",Retained Earnings at Beginning of Quarter,36.39%,40.60%,12.50%
898,AFFIL_SPL_PAY_QTR1,00119,"Added child establishment,   First Quarter Payroll",Retained Earnings at Beginning of Quarter,36.39%,40.60%,12.50%
899,YEAR_START_DATE,00119,if fiscal or part yr  what is startdate,Retained Earnings at Beginning of Quarter,36.38%,42.80%,0.00%
900,RCPT_ECOMM_ELAPPL_VAL,00214,Electronic Commerce (e-commerce) - Electronics & appliances,Inventories,36.37%,42.79%,0.00%
901,RCPT_SYSOFT_ENTR_DVAL,00104,Enterprise or Network System Software revenue,Income (loss) from Operation,36.31%,42.72%,0.00%
902,EXPS_BENEFIT_ACCDNT,00314,"Benefits Paid, Accident insurance",All Other Current Liabilities.,36.31%,42.71%,0.00%
903,TOTU3INT4,00223,"Total Coop Units, Fourth Intv",Total Assets,36.31%,39.77%,16.67%
904,RCPT_S_MERCH_GT50_WRTIN,00214,Merchandise that accounted for more than half of the total receipts  write-in description,Inventories,36.30%,42.71%,0.00%
905,RCPT_CLIENT_S_ENGIN,00001,"Class of Customer, Engineering firms",Is this your company's industry - yes/no,36.29%,42.70%,0.00%
906,RCPT_NEWS_PUB_VAL,00104,Total Newspaper Revenue,Income (loss) from Operation,36.29%,42.69%,0.00%
907,EMP_SEP12_PRDWRK_PY,00119,"Third Quarter Employment,  Production Workers  Prior Year",Retained Earnings at Beginning of Quarter,36.28%,40.72%,11.11%
908,INCOM_UNIT_BROK_AO_DEAL_YES_ARCHIVE,00041,Did this establishment have income from brokering and/or dealing products?,Owned by another company - No/Yes,36.27%,42.67%,0.00%
909,RCPT_CUST_IND_PCT,00104,"Class of Customer: Total Revenue,_x000D_
Individual",Income (loss) from Operation,36.24%,42.63%,0.00%
910,TRANSPORT,00214,Management provides transportation?,Inventories,36.13%,42.51%,0.00%
911,PAY_QTR1_VAL_SUM,00118,"Sum estabs qtr1 payroll to KAU_x000D_
Sum KAU qtr1 payroll to Company",Net Income (loss) for Quarter,36.12%,42.49%,0.00%
912,PRCH_REPAIR,00314,Purchased repairs and maintenance to buildings and/or machinery and equipment,All Other Current Liabilities.,36.09%,42.46%,0.00%
913,RCPT_TOT_VAL_SUM,00118,"Sum estabs receipts to KAU _x000D_
Sum KAU receipts to Company",Net Income (loss) for Quarter,36.08%,42.45%,0.00%
914,PRCH_COMPSVC,00314,"Purchased Communication services (Include telephone, cellular phones, Internet, fax, and related service contracts)",All Other Current Liabilities.,36.08%,42.45%,0.00%
915,RECORD_NAME1_TXT,00022,Physical Address: Name 1,Employer Identification Number,36.08%,42.45%,0.00%
916,RCPT_BOOK_PRNT_DVAL,00104,print books revenue,Income (loss) from Operation,36.07%,42.44%,0.00%
917,TOTU4INT4,00223,"Total Condo Units, Fourth Intv",Total Assets,36.07%,39.50%,16.67%
918,OWNSTAT_RACE_VIETN,00041,Race of majority ownership - Is the race of the majority ownership of this establishment Vietnamese?,Owned by another company - No/Yes,36.05%,42.41%,0.00%
919,CLASS_RESALE,00214,"Class of Customer,  Were 75% or more of this establishment's sales to retailers/wholesalers/distributors for resale?",Inventories,36.04%,42.40%,0.00%
920,ACTV_MIO,00034,Active months in operation,Discontinued Date,36.02%,42.37%,0.00%
921,EXPS_REPAIR_NO_ARCHIVE,00031,"Was this consolidated reporting unit involved in maintenance and repair of buildings, structures, or communication lines owned by your enterprise?",Corporation Status Active/Discontinued/Merged,36.00%,42.35%,0.00%
922,CERT_PHONE,00022,"Certification,  Phone Number",Employer Identification Number,35.98%,38.80%,20.00%
923,RCPT_PRDSHIP_W,00211,"Value of product shipped by customer in Puerto Rico,  Wholesalers",Trade Receivables from the U.S. Government,35.97%,42.32%,0.00%
924,RCPT_ADV_CLASS_DVAL,00104,classified advertising revenue,Income (loss) from Operation,35.95%,42.30%,0.00%
925,EXPS_PROFLIAB_VAL,00314,Professional Liability Insurance,All Other Current Liabilities.,35.93%,42.27%,0.00%
926,DIRECT_PREM_MEDPC_INS,00314,"Direct Premiums Earned,  Medical malpractice insurance",All Other Current Liabilities.,35.93%,42.27%,0.00%
927,COST_ENT_UTIL_OTH,00107,"Enterprise payments for other establishments,  Water, sewer, refuse removal, and other utility payments",Other Recurring Non-operating Income,35.93%,42.27%,0.00%
928,CAPEX_NEWCON_DOL,00321,"Capital Expenditures for new construction, including renovation",Capital Stock and Other Capital,35.89%,39.70%,14.29%
929,EXPS_EHR_VAL,00110,Electronic Health Records: Expenses,Nonoperating expenses and income,35.88%,39.28%,16.67%
930,ROBOT_PURCHASE_PY,00216,Number of industrial robots PURCHASED for this plant  Prior Year,Plant and Equipment,35.87%,40.00%,12.50%
931,OWNSTAT_GENDER,00327,What is the sex of majority ownership of this establishment?,Stockholders Equity,35.85%,42.17%,0.00%
932,PRCH_OFFICE,00214,Purchased Office supplies,Inventories,35.85%,42.17%,0.00%
933,TOTU2INT2,00223,"Total Furn Units, Second Intv",Total Assets,35.84%,39.23%,16.67%
934,PRCH_AUX_PROFSVC,00031,"Auxiliary establishment,  purchased professional and technical services",Corporation Status Active/Discontinued/Merged,35.84%,42.16%,0.00%
935,RCPT_MULTCHL_UNBUN_PCT,00107,Percentage of receipts for multichannel programming distribution services from “unbundled” or “stand alone” services.,Other Recurring Non-operating Income,35.83%,42.15%,0.00%
936,TOTU4INT3,00223,"Total Condo Units, Third Intv",Total Assets,35.81%,38.59%,20.00%
937,MERCH_EST_NEW_3_PCT,00104,Approximate percentage of the total sales and receipts in $$00 - write-in #3,Income (loss) from Operation,35.79%,42.11%,0.00%
938,RCPT_TOT_HOTEL_OWN3RD_VAL,00104,"Hotel Management Owned by Others:_x000D_
Revenue",Income (loss) from Operation,35.78%,42.10%,0.00%
939,JOINT_COMPANY_ADDR_ZIP_4,00327,Investors: ZIP Code of Company Investor 4,Stockholders Equity,35.76%,42.07%,0.00%
940,GRANTS_TRANSFERS_TOT,00305,"Amount of grants, transferred contributions, and similar payments",Advances and Prepayments by the US GOV,35.76%,42.07%,0.00%
941,BLDG_TYPE2,00216,Second Type of Units in Building,Plant and Equipment,35.74%,42.05%,0.00%
942,RPCP,00034,Reported SOC Completion Date,Discontinued Date,35.73%,38.50%,20.00%
943,PRCH_REFUSE,00110,"Water, sewer, refuse removal, and other non-electric utility payments",Nonoperating expenses and income,35.72%,42.03%,0.00%
944,RCPT_MOTR_PHARM_DVAL,00214,Pharmaceutical and chemical products motor carrier revenue,Inventories,35.72%,42.03%,0.00%
945,ACTV_MIO_NUM,00034,Months in Operation,Discontinued Date,35.72%,42.03%,0.00%
946,RCPT_BUS_DVAL,00107,business travel revenue,Other Recurring Non-operating Income,35.72%,42.02%,0.00%
947,JOINT_COMPANY_ADDR_ZIP_5,00327,Investors: ZIP Code of Company Investor 5,Stockholders Equity,35.72%,42.03%,0.00%
948,RCPT_PER_PRNT_DVAL,00104,print periodicals revenue,Income (loss) from Operation,35.71%,42.01%,0.00%
949,INV_E_LIFO_VAL,00328,LIFO valuation method (gross),Total Laibilities and Stockholders Equity,35.70%,42.00%,0.00%
950,TOTU4INT2,00223,"Total Condo Units, Second Intv",Total Assets,35.70%,39.06%,16.67%
951,INCOM_UNIT_BROK_FEES_PCT,00208,"Brokering and Dealing Products, Fees and commissions",Foreign Securities,35.69%,41.99%,0.00%
952,EXPS_FUEL_VAL,00214,Purchased Fuels (Except Motor Fuels),Inventories,35.67%,41.96%,0.00%
953,TOTU3INT2,00223,"Total Coop Units, Second Intv",Total Assets,35.65%,39.00%,16.67%
954,RCPT_MOTR_VAL,00104,Total Motor Carrier Revenue,Income (loss) from Operation,35.64%,41.93%,0.00%
955,EMP_JUN12_OTHWRK_C,00119,"Second Quarter Employment,  Other Construction Employees",Retained Earnings at Beginning of Quarter,35.61%,39.69%,12.50%
956,RCPT_ECOMM_TOT_PCT_PY,00117,"Percent of total sales, shipments, receipts, or revenue that were a result of e-commerce transactions  Prior Year",Cumulative Effect of Accounting Changes,35.60%,41.88%,0.00%
957,EXPS_REPAIR_PCT,00104,Percentage of the expenses for maintenance and repairs that represents work done by your own employees as opposed to work done by contractors or other hired labor,Income (loss) from Operation,35.59%,41.87%,0.00%
958,RCPT_CLIENT_U_GOV,00207,"Class of Customer,  Government (Exclude utilities.)",State and Local Government Securities,35.55%,39.30%,14.29%
959,PROD_QTYPRD_TALSOA_NONE,00217,"None for the question: If MINE_HERE = 1, report the quantity of talc, soapstone, and pyrophyllite mined and/or beneficiated at this mine or pit",Land and Mineral Rights,35.53%,41.80%,0.00%
960,RCPT_C_ST_DE,00207,"Construction Work by State,  Delaware",State and Local Government Securities,35.53%,38.86%,16.67%
961,RCPT_C_ST_NY,00207,"Construction Work by State,  New York",State and Local Government Securities,35.50%,39.25%,14.29%
962,RCPT_MEDICAID_VAL,00115,Net patient revenues from government payers: Medicaid,Net income (loss),35.50%,39.56%,12.50%
963,EXPS_BENEFIT_MEDPC_INS,00314,"Benefits Paid, Medical malpractice insurance",All Other Current Liabilities.,35.50%,41.77%,0.00%
964,EMP_SEP12_OTHWRK_C,00119,"Third Quarter Employment,  Other Construction Employees",Retained Earnings at Beginning of Quarter,35.48%,39.22%,14.29%
965,OWNSTAT_RACE_JAPAN,00041,Race of majority ownership - Is the race of the majority ownership of this establishment Japanese?,Owned by another company - No/Yes,35.48%,41.74%,0.00%
966,CAPCTY_PETR_LQUID_0_ARCHIVE,00214,"Choices for: How much liquefied petroleum storage tank capacity did this establishment operate, both owned and leased, on the last business day of $$00?",Inventories,35.41%,41.65%,0.00%
967,RCPT_MOTR_FUEL_DVAL,00104,Coal and Petroleum Products motor carrier revenue,Income (loss) from Operation,35.41%,41.66%,0.00%
968,CLASS_FARMGT50,00214,"Class of Customer,  Were 50 percent or more of the goods sold by this establishment purchased directly from farmers?",Inventories,35.41%,41.65%,0.00%
969,COST_AUX_FUEL,00110,"Auxiliary establishments,  Purchased fuels",Nonoperating expenses and income,35.40%,41.65%,0.00%
970,PREV_OWN_CNTRY_TXT,00217,New Establishment: Former Ownership Country,Land and Mineral Rights,35.39%,41.64%,0.00%
971,RECORD_STORENUM_TXT,00022,New Establishment Physical Address: Store/plant/location identifier,Employer Identification Number,35.39%,41.63%,0.00%
972,BEDNONEU3,00083,Total Efficiencies for Type 3,EI for addition 3,35.39%,41.63%,0.00%
