Variable Source,Variable - MDR,Similarity Score (result/cosineSimilarity.csv),Actual Result,VariableNameB (result/cosineJaccardSimilarity.csv),Similarity Score (result/cosineJaccardSimilarity.csv),Actual Result (result/cosineJaccardSimilarity.csv),VariableNameB (result/cosineSimilarityMultiple.csv),Similarity Score (result/cosineSimilarityMultiple.csv),Actual Result (result/cosineSimilarityMultiple.csv),Match (result/cosineSimilarity.csv),Match (result/cosineJaccardSimilarity.csv),Match (result/cosineSimilarityMultiple.csv)
B_COOP,EMP_MAR12_SALES,53.70%,COOP_PARTNER_LOC_CHKBOX,B_COOP,46.67%,COOP_PARTNER_LOC_CHKBOX,B_COOP,53.70%,COOP_PARTNER_LOC_CHKBOX,0,0,0
O1_RACE_OTH_PAC_WIN,OWNSTAT_RACE_VIETN,53.70%,OWNER_RACE_CODE,O1_RACE_OTH_PAC_WIN,48.13%,OWNER_RACE_CODE,O1_RACE_WHITE_WIN,53.70%,OWNER_RACE_CODE,0,0,0
B_EMPTRAIN_HRS,HOURS_TOT_C,53.70%,EMP_TRAIN_HRS_AVG,B_EMPTRAIN_HRS,47.12%,EMP_TRAIN_HRS_AVG,B_EMPTRAIN_HRS,53.70%,EMP_TRAIN_HRS_AVG,0,0,0
O1_RACE_OTH_PAC_WIN,OWNSTAT_RACE_JAPAN,53.70%,OWNER_RACE_CODE,O1_RACE_OTH_PAC_WIN,48.12%,OWNER_RACE_CODE,O1_RACE_WHITE_WIN,53.70%,OWNER_RACE_CODE,0,0,0
B_SALES_TOT_US,RCPT_MOTR_USEDGD_DVAL,53.70%,SALES_US_TOT_VAL,B_SALES_TOT_US,47.01%,SALES_US_TOT_VAL,B_SALES_TOT_US,53.70%,SALES_US_TOT_VAL,0,0,0
B_SALES_PCT_GOODS,RCPT_NONML_TXT,53.70%,SALES_GOODS_PCT,B_SALES_PCT_GOODS,46.68%,SALES_GOODS_PCT,B_SALES_PCT_GOODS,53.70%,SALES_GOODS_PCT,0,0,0
"
RESP_TITLE   ",RECORD_NAME1_TXT,53.70%,CERT_TITLE_TXT,"
RESP_TITLE   ",45.63%,CERT_TITLE_TXT,"
RESP_TITLE   ",53.70%,CERT_TITLE_TXT,0,0,0
B_ACTIVITYUC_LOG ,RCPT_TRANSFER,53.70%,UNAFFIL_US_LOGISTICS_STAT,B_ACTIVITYUC_LOG ,46.97%,UNAFFIL_US_LOGISTICS_STAT,B_ACTIVITYUC_LOG ,53.70%,UNAFFIL_US_LOGISTICS_STAT,0,0,0
B_SALES_PCT_GOODS,RCPT_CLOTH_VAL,53.60%,SALES_GOODS_PCT,B_SALES_PCT_GOODS,46.78%,SALES_GOODS_PCT,B_SALES_PCT_GOODS,53.60%,SALES_GOODS_PCT,0,0,0
B_COOP,COST_MAT_PARTS_PY,53.60%,COOP_PARTNER_LOC_CHKBOX,B_COOP,46.34%,COOP_PARTNER_LOC_CHKBOX,B_COOP,53.60%,COOP_PARTNER_LOC_CHKBOX,0,0,0
,RCPT_GROWN_GT50,,,,,,,,,0,0,0
O1_ACQ_BUS_YR,PRCH_ADVERT_PY,53.60%,OWNER_ACQ_YEAR,O1_ACQ_BUS_YR,47.41%,OWNER_ACQ_YEAR,O1_ACQ_BUS_YR,53.60%,OWNER_ACQ_YEAR,0,0,0
B_RDEXP_DOM_EQUIPMT,PRCH_COMPUTER_OTHEQ_PY,53.60%,EXPS_RD_DOM_EQUIP_VAL,B_RDEXP_DOM_EQUIPMT,48.86%,EXPS_RD_DOM_EQUIP_VAL,B_RDEXP_DOM_EQUIPMT,53.60%,EXPS_RD_DOM_EQUIP_VAL,0,0,0
B_SALES_PCT_GOODS,RCPT_JWLRY_VAL,53.60%,SALES_GOODS_PCT,B_SALES_PCT_GOODS,46.80%,SALES_GOODS_PCT,B_SALES_PCT_GOODS,53.60%,SALES_GOODS_PCT,0,0,0
B_EMPTRAIN_HRS,HOURS_METAL_TOT,53.60%,EMP_TRAIN_HRS_AVG,B_EMPTRAIN_HRS,46.88%,EMP_TRAIN_HRS_AVG,B_EMPTRAIN_HRS,53.60%,EMP_TRAIN_HRS_AVG,0,0,0
B_SALES_PCT_SERVICE,PRCH_TOT,53.50%,SALES_SERVICE_PCT,B_SALES_PCT_OTH,46.97%,SALES_OTH_PCT,B_SALES_PCT_SERVICE,53.50%,SALES_SERVICE_PCT,0,0,0
,RCPT_1ESTAB_YES,,,,,,,,,0,0,0
B_SALES_TOT_US,RCPT_COMP_VAL,53.50%,SALES_US_TOT_VAL,B_SALES_TOT_US,49.25%,SALES_US_TOT_VAL,B_SALES_TOT_US,53.50%,SALES_US_TOT_VAL,0,0,0
B_TYPS_WRKS,EMP_SEP12_PRDWRK,53.50%,WRKR_TYPE_CHKBOX,B_TYPS_WRKS,47.63%,WRKR_TYPE_CHKBOX,B_TYPS_WRKS,53.50%,WRKR_TYPE_CHKBOX,0,0,0
B_SALES_TOT ,RCPT_NONOP_GIFT_INVST_DVAL,53.50%,RCPT_ALL_TOT_VAL,B_SALES_TOT ,46.80%,RCPT_ALL_TOT_VAL,B_SALES_TOT ,53.50%,RCPT_ALL_TOT_VAL,0,0,0
RESP_EMAIL  ,ADDR_CITY,53.40%,CERT_EMAIL_TXT,RESP_EMAIL  ,45.42%,CERT_EMAIL_TXT,RESP_EMAIL  ,53.40%,CERT_EMAIL_TXT,0,0,0
WEMP,EMP_SEP12,53.40%,EMP_MAR12_NUM,WEMP,47.50%,EMP_MAR12_NUM,WEMP,53.40%,EMP_MAR12_NUM,0,0,0
B_REV ,RCPT_CLIENT_F_TOT_PCT,53.40%,CUST_TYPE_10_PCT_SALES_CHKBOX,B_REV ,47.08%,CUST_TYPE_10_PCT_SALES_CHKBOX,B_REV ,53.40%,CUST_TYPE_10_PCT_SALES_CHKBOX,0,0,0
B_CRDSRC,INCOM_U_LOAN_UNSEC_INT_PCT,53.40%,CREDIT_SOURCES_CHKBOX,B_CRDSRC,45.36%,CREDIT_SOURCES_CHKBOX,B_CRDSRC,53.40%,CREDIT_SOURCES_CHKBOX,0,0,0
B_OPR ,PROP_MAR12_RN,53.30%,EQUAL_OP_CODE,B_OPR ,45.30%,EQUAL_OP_CODE,B_OPR ,53.30%,EQUAL_OP_CODE,0,0,0
B_TYPS_WRKS,EMP_MAR12_PRDWRK,53.20%,WRKR_TYPE_CHKBOX,B_TYPS_WRKS,47.32%,WRKR_TYPE_CHKBOX,B_TYPS_WRKS,53.20%,WRKR_TYPE_CHKBOX,0,0,0
CPSTR,EXPS_CON_PCT_ADD,53.20%,CAPEX_RSRCH_BUILD_VAL,CPSTR,46.57%,CAPEX_RSRCH_BUILD_VAL,CPSTR,53.20%,CAPEX_RSRCH_BUILD_VAL,0,0,0
B_TYPS_WRKS,EMP_SUM_PRDWRK_PY,53.20%,WRKR_TYPE_CHKBOX,B_TYPS_WRKS,46.91%,WRKR_TYPE_CHKBOX,B_TYPS_WRKS,53.20%,WRKR_TYPE_CHKBOX,0,0,0
O1_RACE_OTH_PAC_WIN,OWNSTAT_RACE_KOREA,53.20%,OWNER_RACE_CODE,O1_RACE_OTH_PAC_WIN,47.74%,OWNER_RACE_CODE,O1_RACE_WHITE_WIN,53.20%,OWNER_RACE_CODE,0,0,0
B_OPEXPENSE ,EXPS_ADMIN_HOMEPC_INS,53.20%,EXPS_TOT_VAL,B_OPEXPENSE ,46.88%,EXPS_TOT_VAL,B_OPEXPENSE ,53.20%,EXPS_TOT_VAL,0,0,0
B_REV ,RCPT_CLIENT_S_RET,53.10%,CUST_TYPE_10_PCT_SALES_CHKBOX,B_REV ,45.12%,CUST_TYPE_10_PCT_SALES_CHKBOX,B_REV ,53.10%,CUST_TYPE_10_PCT_SALES_CHKBOX,0,0,0
B_OPR ,PROP_MAR12_PRACTOTH,53.10%,EQUAL_OP_CODE,B_OPR ,45.16%,EQUAL_OP_CODE,B_OPR ,53.10%,EQUAL_OP_CODE,0,0,0
O1_HISP,OWNSTAT_RACE_HAWAII,53.10%,OWNER_ETHNICITY_CODE,O1_HISP,45.09%,OWNER_ETHNICITY_CODE,O1_HISP,53.10%,OWNER_ETHNICITY_CODE,0,0,0
B_ACTIVITYUFC_LOG ,RCPT_PRDSHIP_FOREIGN,53.10%,UNAFFIL_NONUS_LOGSTC_STAT,B_ACTIVITYUFC_LOG ,46.49%,UNAFFIL_NONUS_LOGSTC_STAT,B_ACTIVITYUFC_LOG ,53.10%,UNAFFIL_NONUS_LOGSTC_STAT,0,0,0
EXPNS,PRCH_AUX_OTHEXPS,53.00%,EXPS_TOT_VAL,EXPNS,48.05%,EXPS_TOT_VAL,EXPNS,53.00%,EXPS_TOT_VAL,0,0,0
B_WORKHOME_PCT_ONE ,TOC_REPAIR_397,53.00%,WORK_HOME_ONE_PCT,B_WORKHOME_PCT_ONE ,46.75%,WORK_HOME_ONE_PCT,B_WORKHOME_PCT_ONE ,53.00%,WORK_HOME_ONE_PCT,0,0,0
B_RDEXP_DOM_DEPR,ASSET_RETIRED_MACH,53.00%,EXPS_RD_DOM_DEPR_VAL,B_RDEXP_DOM_DEPR,45.02%,EXPS_RD_DOM_DEPR_VAL,B_RDEXP_DOM_DEPR,53.00%,EXPS_RD_DOM_DEPR_VAL,0,0,0
B_SALES_TOT_US,RCPT_BILL_OTHOP_PCT,53.00%,SALES_US_TOT_VAL,B_SALES_TOT_US,46.92%,SALES_US_TOT_VAL,B_SALES_TOT_US,53.00%,SALES_US_TOT_VAL,0,0,0
B_SALES_TOT_US,RCPT_DIR_PUB_VAL,52.90%,SALES_US_TOT_VAL,B_SALES_TOT_US,46.49%,SALES_US_TOT_VAL,B_SALES_TOT_US,52.90%,SALES_US_TOT_VAL,0,0,0
B_ACTIVITYUC_OTHER ,EXPS_ADMIN_WRKPC_INS,52.90%,UNAFFIL_US_EXPS_OTH_STAT,B_ACTIVITYUC_OTHER ,46.47%,UNAFFIL_US_EXPS_OTH_STAT,B_ACTIVITYUC_OTHER ,52.90%,UNAFFIL_US_EXPS_OTH_STAT,0,0,0
RESP_CONTACT_NAME ,FGINFO_PO,52.80%,CERT_NAME_TXT,RESP_CONTACT_NAME ,48.63%,CERT_NAME_TXT,RESP_CONTACT_NAME ,52.80%,CERT_NAME_TXT,0,0,0
B_CEASED_MONTH,CLOSING_DATE_DAY,52.80%,OPSTAT_CEASED_MONTH_DATE,B_CEASED_MONTH,44.92%,OPSTAT_CEASED_MONTH_DATE,B_CEASED_MONTH,52.80%,OPSTAT_CEASED_MONTH_DATE,0,0,0
B_SALES_PCT_GOODS,MERCH_EST_NEW_1_WRTIN,52.80%,SALES_GOODS_PCT,B_SALES_PCT_GOODS,46.57%,SALES_GOODS_PCT,B_SALES_PCT_GOODS,52.80%,SALES_GOODS_PCT,0,0,0
RESP_CONTACT_NAME ,FGINFO_NAME,52.80%,CERT_NAME_TXT,RESP_CONTACT_NAME ,49.85%,CERT_NAME_TXT,RESP_CONTACT_NAME ,52.80%,CERT_NAME_TXT,0,0,0
B_SALES_PCT_US_TOT,RCPT_ECOMM_ES_VAL,52.70%,SALES_US_TOT_DPCT,B_SALES_PCT_US_TOT,46.64%,SALES_US_TOT_DPCT,B_SALES_PCT_US_TOT,52.70%,SALES_US_TOT_DPCT,0,0,0
B_OWNERNUM,HOTEL_OWNNOTMNG_NUM,52.70%,OWNER_NUM_STAT,B_OWNERNUM,47.84%,OWNER_NUM_STAT,B_OWNERNUM,52.70%,OWNER_NUM_STAT,0,0,0
O2_NAME_TITLE,AFFIL_OWNER_ADDR_STREET,52.60%,OWNER2_NAME,O2_NAME_TITLE,44.69%,OWNER2_NAME,O2_NAME_TITLE,52.60%,OWNER2_NAME,0,0,0
EXPNS,INCOM_EXPS_NOP_DBCRD5_VAL,52.60%,EXPS_TOT_VAL,EXPNS,46.59%,EXPS_TOT_VAL,EXPNS,52.60%,EXPS_TOT_VAL,0,0,0
O2_NAME_TITLE,RECORD_NAME2,52.50%,OWNER2_NAME,O2_NAME_TITLE,44.66%,OWNER2_NAME,O2_NAME_TITLE,52.50%,OWNER2_NAME,0,0,0
,INCOM_UNIT_CRED_NO_ARCHIVE,,,,,,,,,0,0,0
B_COOP,PROP_MAR12_PSYCH,52.50%,COOP_PARTNER_LOC_CHKBOX,B_COOP,44.64%,COOP_PARTNER_LOC_CHKBOX,B_COOP,52.50%,COOP_PARTNER_LOC_CHKBOX,0,0,0
EMPC,EXPS_CONTRACT_VAL,52.50%,EMP_RSRCH_CONTRACT_NUM,EMPC,46.79%,EMP_RSRCH_CONTRACT_NUM,EMPC,52.50%,EMP_RSRCH_CONTRACT_NUM,0,0,0
B_CRDAMT,INCOM_EXPS_NONRCR_DBCRD_VAL,52.50%,CREDIT_AMT_RECEIVED_STAT,B_CRDAMT,44.62%,CREDIT_AMT_RECEIVED_STAT,B_CRDAMT,52.50%,CREDIT_AMT_RECEIVED_STAT,0,0,0
B_TYPS_WRKS,PAY_QTR1_PRDWRK_VAL,61.10%,WRKR_TYPE_CHKBOX,B_TYPS_WRKS,54.41%,WRKR_TYPE_CHKBOX,B_TYPS_WRKS,61.10%,WRKR_TYPE_CHKBOX,0,0,0
B_TYPS_WRKS,EMP_MAR12_PKG,52.40%,WRKR_TYPE_CHKBOX,B_TYPS_WRKS,44.53%,WRKR_TYPE_CHKBOX,B_TYPS_WRKS,52.40%,WRKR_TYPE_CHKBOX,0,0,0
B_RDEXP_DOM_DEPR,ASSET_TOT_BGN_MACH,52.40%,EXPS_RD_DOM_DEPR_VAL,B_RDEXP_DOM_DEPR,44.53%,EXPS_RD_DOM_DEPR_VAL,B_RDEXP_DOM_DEPR,52.40%,EXPS_RD_DOM_DEPR_VAL,0,0,0
PERFBONUSM,CLNC_CHSE_MEAS_MNG,52.40%,EMP_MNG_BONUS_CODE,PERFBONUSM,47.86%,EMP_MNG_BONUS_CODE,PERFBONUSM,52.40%,EMP_MNG_BONUS_CODE,0,0,0
RESP_EMAIL  ,ADDR_ST,52.30%,CERT_EMAIL_TXT,RESP_EMAIL  ,44.47%,CERT_EMAIL_TXT,RESP_EMAIL  ,52.30%,CERT_EMAIL_TXT,0,0,0
B_COOP,RCPT_CLIENT_S_CON,52.30%,COOP_PARTNER_LOC_CHKBOX,B_COOP,44.43%,COOP_PARTNER_LOC_CHKBOX,B_COOP,52.30%,COOP_PARTNER_LOC_CHKBOX,0,0,0
B_SALES_TOT_US,RCPT_MOTOR_LONG,52.30%,SALES_US_TOT_VAL,B_SALES_TOT_US,45.30%,SALES_US_TOT_VAL,B_SALES_TOT_US,52.30%,SALES_US_TOT_VAL,0,0,0
O2_NAME_TITLE,AFFIL_OWNER_ADDR_STREET_TXT,52.30%,OWNER2_NAME,O2_NAME_TITLE,44.49%,OWNER2_NAME,O2_NAME_TITLE,52.30%,OWNER2_NAME,0,0,0
B_REV ,CLASS_HOUSE,52.20%,CUST_TYPE_10_PCT_SALES_CHKBOX,B_REV ,44.41%,CUST_TYPE_10_PCT_SALES_CHKBOX,B_REV ,52.20%,CUST_TYPE_10_PCT_SALES_CHKBOX,0,0,0
B_ACTIVITYUC_SALE ,CLASS_GENPUB,52.20%,UNAFFIL_US_MARKETING_STAT,B_ACTIVITYUC_SALE ,45.24%,UNAFFIL_US_MARKETING_STAT,B_ACTIVITYUC_SALE ,52.20%,UNAFFIL_US_MARKETING_STAT,0,0,0
B_ACTIVITYUC_OTHER ,EXPS_ADMIN_PROC,52.20%,UNAFFIL_US_EXPS_OTH_STAT,B_ACTIVITYUC_OTHER ,45.54%,UNAFFIL_US_EXPS_OTH_STAT,B_ACTIVITYUC_OTHER ,52.20%,UNAFFIL_US_EXPS_OTH_STAT,0,0,0
,RCPT_CLIENT_S_INDIV,,,,,,,,,0,0,0
B_OWNERNUM,RCPT_C_OWN_PRVT,52.20%,OWNER_NUM_STAT,B_OWNERNUM,44.39%,OWNER_NUM_STAT,B_OWNERNUM,52.20%,OWNER_NUM_STAT,0,0,0
B_RDEXP_DOM_DEPR,ASSET_SOLD_VAL,52.20%,EXPS_RD_DOM_DEPR_VAL,B_RDEXP_DOM_DEPR,45.55%,EXPS_RD_DOM_DEPR_VAL,B_RDEXP_DOM_DEPR,52.20%,EXPS_RD_DOM_DEPR_VAL,0,0,0
WZWAGE,PAY_ANN_OTHWRK_M,52.20%,EXPS_RSRCH_PAYROLL_VAL,WZWAGE,48.67%,EXPS_RSRCH_PAYROLL_VAL,WZWAGE,52.20%,EXPS_RSRCH_PAYROLL_VAL,0,0,0
O1_OTH_BUS_WIN,OPSTAT_EIN,52.10%,PREV_BUS_OWN_TXT,O1_OTH_BUS_WIN,46.76%,PREV_BUS_OWN_TXT,O1_OTH_BUS_WIN,52.10%,PREV_BUS_OWN_TXT,0,0,0
B_SALES_TOT_US,PRCH_ENT_TAX,52.10%,SALES_US_TOT_VAL,B_SALES_TOT_US,45.32%,SALES_US_TOT_VAL,B_SALES_TOT_US,52.10%,SALES_US_TOT_VAL,0,0,0
B_SALES_TOT_US,NPATREV_OTHER_NONOP,52.10%,SALES_US_TOT_VAL,B_SALES_TOT_US,46.14%,SALES_US_TOT_VAL,B_SALES_TOT_US,52.10%,SALES_US_TOT_VAL,0,0,0
O2_NAME_TITLE,AFFIL_OWNER_ADDR_CITY_TXT,52.00%,OWNER2_NAME,O2_NAME_TITLE,44.22%,OWNER2_NAME,O2_NAME_TITLE,52.00%,OWNER2_NAME,0,0,0
B_EMPTRAIN_HRS,HOURS_TOT_M_PY,52.00%,EMP_TRAIN_HRS_AVG,B_EMPTRAIN_HRS,45.43%,EMP_TRAIN_HRS_AVG,B_EMPTRAIN_HRS,52.00%,EMP_TRAIN_HRS_AVG,0,0,0
WEMP,EMP_DEC12,52.00%,EMP_MAR12_NUM,WEMP,46.10%,EMP_MAR12_NUM,WEMP,52.00%,EMP_MAR12_NUM,0,0,0
B_OWNERNUM,RCPT_TOT_HOTEL_OWN3RD_VAL,52.00%,OWNER_NUM_STAT,B_OWNERNUM,44.17%,OWNER_NUM_STAT,B_OWNERNUM,52.00%,OWNER_NUM_STAT,0,0,0
O2_NAME_TITLE,AFFIL_OWNER_ADDR_ST,52.00%,OWNER2_NAME,O2_NAME_TITLE,44.16%,OWNER2_NAME,O2_NAME_TITLE,52.00%,OWNER2_NAME,0,0,0
B_CRDSRC_OTHER_WIN,LIAB_SHORT_OTH_IN_CMPPR_VAL,51.90%,CREDIT_SRCS_OTH_WRTIN_TXT,B_CRDSRC_OTHER_WIN,44.12%,CREDIT_SRCS_OTH_WRTIN_TXT,B_CRDSRC_OTHER_WIN,51.90%,CREDIT_SRCS_OTH_WRTIN_TXT,0,0,0
EXPNS,INCOM_EXPS_NOP_DBCRD4_VAL,51.90%,EXPS_TOT_VAL,EXPNS,45.97%,EXPS_TOT_VAL,EXPNS,51.90%,EXPS_TOT_VAL,0,0,0
,AFFIL_SPL_OWN_DOM_YES_ARCHIVE,,,,,,,,,0,0,0
B_OPR ,PROP_MAR12_LPN,51.80%,EQUAL_OP_CODE,B_OPR ,44.01%,EQUAL_OP_CODE,B_OPR ,51.80%,EQUAL_OP_CODE,0,0,0
B_TYPS_WRKS,EMP_DEC12_PRDWRK,51.80%,WRKR_TYPE_CHKBOX,B_TYPS_WRKS,45.89%,WRKR_TYPE_CHKBOX,B_TYPS_WRKS,51.80%,WRKR_TYPE_CHKBOX,0,0,0
B_SALES_TOT ,RCPT_BOOK_PUB_VAL,51.80%,RCPT_ALL_TOT_VAL,B_SALES_TOT ,46.16%,RCPT_ALL_TOT_VAL,B_SALES_TOT ,51.80%,RCPT_ALL_TOT_VAL,0,0,0
B_ACTIVITYUC_LOG ,RCPT_TRANSFER_PY,51.80%,UNAFFIL_US_LOGISTICS_STAT,B_ACTIVITYUC_LOG ,45.18%,UNAFFIL_US_LOGISTICS_STAT,B_ACTIVITYUC_LOG ,51.80%,UNAFFIL_US_LOGISTICS_STAT,0,0,0
B_TYPS_WRKS,EMP_SEP12_PRDWRK_PY,51.70%,WRKR_TYPE_CHKBOX,B_TYPS_WRKS,45.59%,WRKR_TYPE_CHKBOX,B_TYPS_WRKS,51.70%,WRKR_TYPE_CHKBOX,0,0,0
B_RDEXP_DOM_DEPR,ASSET_TOT_END_BUILD,51.70%,EXPS_RD_DOM_DEPR_VAL,B_RDEXP_DOM_DEPR,43.93%,EXPS_RD_DOM_DEPR_VAL,B_RDEXP_DOM_DEPR,51.70%,EXPS_RD_DOM_DEPR_VAL,0,0,0
B_CRDSRC,RETAIN_EARN_DIR_DBCRD_TXT,51.70%,CREDIT_SOURCES_CHKBOX,B_CRDSRC,43.90%,CREDIT_SOURCES_CHKBOX,B_CRDSRC,51.70%,CREDIT_SOURCES_CHKBOX,0,0,0
B_OWNED_GOVT_TRIBAL,OWNSTAT_OTH,51.70%,OWNED_GOV_TRIBAL_STAT,B_OWNED_GOVT_TRIBAL,43.92%,OWNED_GOV_TRIBAL_STAT,B_OWNED_GOVT_TRIBAL,51.70%,OWNED_GOV_TRIBAL_STAT,0,0,0
B_WORLDEXP_TOTAL ,RCPT_MOTR_VAL,51.70%,EXPS_WORLD_TOT_VAL,B_WORLDEXP_TOTAL ,46.05%,EXPS_WORLD_TOT_VAL,B_WORLDEXP_TOTAL ,51.70%,EXPS_WORLD_TOT_VAL,0,0,0
B_ACTIVITYUC_OTHER ,EXPS_ADMIN_PRPCAS_REINS,51.70%,UNAFFIL_US_EXPS_OTH_STAT,B_ACTIVITYUC_OTHER ,45.43%,UNAFFIL_US_EXPS_OTH_STAT,B_ACTIVITYUC_OTHER ,51.70%,UNAFFIL_US_EXPS_OTH_STAT,0,0,0
B_OPR ,PROP_MAR12_PHYASST,51.60%,EQUAL_OP_CODE,B_OPR ,43.82%,EQUAL_OP_CODE,B_OPR ,51.60%,EQUAL_OP_CODE,0,0,0
B_SALES_TOT_US,RCPT_MOTOR_LOCAL,51.60%,SALES_US_TOT_VAL,B_SALES_TOT_US,44.65%,SALES_US_TOT_VAL,B_SALES_TOT_US,51.60%,SALES_US_TOT_VAL,0,0,0
WEMP,PAY_QTR1_OTHWRK_M,51.60%,EMP_MAR12_NUM,WEMP,46.84%,EMP_MAR12_NUM,WEMP,51.60%,EMP_MAR12_NUM,0,0,0
B_SALES_TOT_US,ELEC_SOLD_KWH_PY,51.60%,SALES_US_TOT_VAL,B_SALES_TOT_US,45.02%,SALES_US_TOT_VAL,B_SALES_TOT_US,51.60%,SALES_US_TOT_VAL,0,0,0
TCPEX,SE_CAPITAL_STOCK_VAL,51.60%,CAPEX_TOT_VAL,TCPEX,45.97%,CAPEX_TOT_VAL,TCPEX,51.60%,CAPEX_TOT_VAL,0,0,0
B_CRDSRC,INCOM_U_LOAN_UNSEC_TOT_PCT,51.60%,CREDIT_SOURCES_CHKBOX,B_CRDSRC,43.83%,CREDIT_SOURCES_CHKBOX,B_CRDSRC,51.60%,CREDIT_SOURCES_CHKBOX,0,0,0
B_WORLDEXP_TOTAL ,RCPT_BUS_DVAL,51.50%,EXPS_WORLD_TOT_VAL,B_WORLDEXP_TOTAL ,43.81%,EXPS_WORLD_TOT_VAL,B_WORLDEXP_TOTAL ,51.50%,EXPS_WORLD_TOT_VAL,0,0,0
EXPNS,INCOM_EXPS_NOP_DBCRD2_VAL,51.50%,EXPS_TOT_VAL,EXPNS,45.67%,EXPS_TOT_VAL,EXPNS,51.50%,EXPS_TOT_VAL,0,0,0
B_RDEXP_DOM_DEPR,ASSET_OTHACQ_WRTIN_TXT,51.50%,EXPS_RD_DOM_DEPR_VAL,B_RDEXP_DOM_DEPR,45.06%,EXPS_RD_DOM_DEPR_VAL,B_RDEXP_DOM_DEPR,51.50%,EXPS_RD_DOM_DEPR_VAL,0,0,0
B_ACTIVITYUC_INFO ,PRCH_ENT_COMMSVC,51.50%,UNAFFIL_US_INFOTEC_STAT,B_ACTIVITYUC_INFO ,46.47%,UNAFFIL_US_INFOTEC_STAT,B_ACTIVITYUC_INFO ,51.50%,UNAFFIL_US_INFOTEC_STAT,0,0,0
AFFILWI ,EIN_NUM,51.40%,AFFIL_ORG_TXT,AFFILWI ,43.67%,AFFIL_ORG_TXT,AFFILWI ,51.40%,AFFIL_ORG_TXT,0,0,0
WZWAGE,PAY_ANN_OTHWRK_C,51.40%,EXPS_RSRCH_PAYROLL_VAL,WZWAGE,47.97%,EXPS_RSRCH_PAYROLL_VAL,WZWAGE,51.40%,EXPS_RSRCH_PAYROLL_VAL,0,0,0
B_RDJOB_TOTEMP_DOMESTIC,EMP_MAR12_HQOTH,51.40%,EMP_MAR12_RD_TOT_DNUM,B_RDJOB_TOTEMP_DOMESTIC,45.82%,EMP_MAR12_RD_TOT_DNUM,B_RDJOB_TOTEMP_DOMESTIC,51.40%,EMP_MAR12_RD_TOT_DNUM,0,0,0
B_EXPCOST_TECH,RCPT_SYSOFT_OTH_PCT,51.40%,CAPEX_RD_OPS_TECH_VAL,B_EXPCOST_TECH,46.19%,CAPEX_RD_OPS_TECH_VAL,B_EXPCOST_TECH,51.40%,CAPEX_RD_OPS_TECH_VAL,0,0,0
B_EMPNUM_W2_TOTAL,EMP_SUM_AVGOTH,51.30%,EMP_W2_TOT_DNUM,B_EMPNUM_W2_TOTAL,44.98%,EMP_W2_TOT_DNUM,B_EMPNUM_W2_TOTAL,51.30%,EMP_W2_TOT_DNUM,0,0,0
B_OPR ,PROP_MAR12_LPN_XPSY,51.30%,EQUAL_OP_CODE,B_OPR ,43.58%,EQUAL_OP_CODE,B_OPR ,51.30%,EQUAL_OP_CODE,0,0,0
B_SALES_PCT_GOODS,RCPT_ECOMM_VAL,51.30%,SALES_GOODS_PCT,B_SALES_PCT_GOODS,43.64%,SALES_GOODS_PCT,B_SALES_PCT_GOODS,51.30%,SALES_GOODS_PCT,0,0,0
B_SALES_PCT_GOODS,RCPT_DRUGS_VAL,51.30%,SALES_GOODS_PCT,B_SALES_PCT_GOODS,44.58%,SALES_GOODS_PCT,B_SALES_PCT_GOODS,51.30%,SALES_GOODS_PCT,0,0,0
WZDEPR,ASSET_CAPEX_VAL,51.30%,EXPS_RSRCH_DEPR_VAL,WZDEPR,43.62%,EXPS_RSRCH_DEPR_VAL,WZDEPR,51.30%,EXPS_RSRCH_DEPR_VAL,0,0,0
B_REV ,RCPT_CLIENT_F_INDIV,51.20%,CUST_TYPE_10_PCT_SALES_CHKBOX,B_REV ,43.48%,CUST_TYPE_10_PCT_SALES_CHKBOX,B_REV ,51.20%,CUST_TYPE_10_PCT_SALES_CHKBOX,0,0,0
B_SALES_PCT_GOODS,REPAY_CASH_ADV_PCT,51.20%,SALES_GOODS_PCT,B_SALES_PCT_GOODS,44.64%,SALES_GOODS_PCT,B_SALES_PCT_GOODS,51.20%,SALES_GOODS_PCT,0,0,0
B_COOP,CLASS_OTHSVC,51.20%,COOP_PARTNER_LOC_CHKBOX,B_COOP,43.48%,COOP_PARTNER_LOC_CHKBOX,B_COOP,51.20%,COOP_PARTNER_LOC_CHKBOX,0,0,0
B_SALES_TOT_US,INCOM_OPER_VAL,51.20%,SALES_US_TOT_VAL,B_SALES_TOT_US,45.69%,SALES_US_TOT_VAL,B_SALES_TOT_US,51.20%,SALES_US_TOT_VAL,0,0,0
B_EXPCOST_TECH,RCPT_APSOFT_OTH_PCT,51.20%,CAPEX_RD_OPS_TECH_VAL,B_EXPCOST_TECH,45.70%,CAPEX_RD_OPS_TECH_VAL,B_EXPCOST_TECH,51.20%,CAPEX_RD_OPS_TECH_VAL,0,0,0
