,VariableNameA,VariableNameB,descriptionA,descriptionB,similarity_score,Cosine Score,Jaccard Score,result
661,EXPS_ADVERT_VAL,B_SALES_PCT_GRANT,Purchased advertising services,"Percent of domestic sales, revenues, and grants coming from selling services to customers",42.60%,48.36%,10.00%,SALES_GRANT_PCT
662,INCOM_EXPS_NOP_DBCRD3_TXT,B_OPEXPENSE ,Nonoperating income and expenses - principal debits and credits that contribute - Description - 3,Total domestic operating expenses,42.58%,48.49%,9.09%,EXPS_TOT_VAL
663,PROP_MAR12_PHYTHER,B_OPR ,"Proprietor or Partner by Occupation, Physical therapists",Business operated equally by both spouses or unmarried partners,42.58%,50.10%,0.00%,EQUAL_OP_CODE
664,LSD_50_STAT,AFFILWI ,Professional Employer Organization (PEO) Status,Details on affiliated organization ,42.57%,47.15%,16.67%,AFFIL_ORG_TXT
665,HOURS_SVS,B_EMPTRAIN_HRS,"Steel Mill Department Worker Hours,  Service or auxiliary operations (all other activities not directly assignable)",Average number of hours of training that employees at this business received,42.53%,48.93%,6.25%,EMP_TRAIN_HRS_AVG
666,RENT_PAY_TOT_PY,B_OPEXPENSE ,"Payments for Rental or lease of buildings, other structures, machinery, and equipment Total Prior Year",Total domestic operating expenses,42.53%,48.68%,7.69%,EXPS_TOT_VAL
667,PRCH_REPAIR_MACH,B_COOP,"Purchased maintenance and repair of construction equipment and tools; machinery; office equipment, furniture, and vehicles, including related service contracts","Suppliers of equipment, materials, components, or software outside your business group ",42.52%,49.15%,5.00%,COOP_PARTNER_LOC_CHKBOX
668,CLASS_BANKS,B_REV ,"Class of Customer,  Banks, insurance, and real estate companies",Types of customers that accounted for 10% or more of total sales,42.48%,49.98%,0.00%,CUST_TYPE_10_PCT_SALES_CHKBOX
669,CLNC_SEE_PERF_NONMNG,PERFBONUSM,Measures of Clinical Performance - Who sees your organization's measures of clinical performance - Employees (non-managers)?,What were managers’ performance bonuses usually based on at this company,42.47%,46.43%,20.00%,EMP_MNG_BONUS_CODE
670,RCPT_OVERTOP_TOT_PCT,B_REV ,Percentage of receipts for over-the-top (OTT) services Total,Types of customers that accounted for 10% or more of total sales,42.46%,48.19%,10.00%,CUST_TYPE_10_PCT_SALES_CHKBOX
671,CLASS_GOV_MUN,B_COOP,"Class of Customer,  Municipal government","Clients or customers from the public sector: public sector includes government owned organizations such as local, regional and national administrations and agencies, schools, hospitals, and government providers of services such as security, transport, housing, energy, etc. ",42.43%,49.11%,4.55%,COOP_PARTNER_LOC_CHKBOX
672,EMP_MAR12_DIET,B_TYPS_WRKS,"Employment By Occupation, Dieticians",Types of workers that were used by the business,42.40%,49.88%,0.00%,WRKR_TYPE_CHKBOX
673,RCPT_CUST_LNGTEL_BUS_DVAL,B_SALES_TOT_US,Fixed Long Dist - Gov & Business revenue,"Amount of sales, revenue, and grants from domestic operations",42.39%,48.10%,10.00%,SALES_US_TOT_VAL
674,COMPANYNAME,O3_NAME_TITLE,Builder Company Name,Name of third owner,42.37%,49.84%,0.00%,OWNER3_NAME
675,RCPT_CUST_IND_DVAL,B_SALES_PCT_GOODS,SOURCE OF REVENUE - HOUSEHOLD,"Percent of domestic sales, revenues, and grants coming from selling goods to customers",42.37%,49.85%,0.00%,SALES_GOODS_PCT
676,DELIV_SERV_NO,B_ACTIVITYUC_LOG ,Did this establishment offer delivery services by its employees in $$00?,Yes/No if domestic unaffiliated companies conducted distribution and logistics for this business,42.35%,49.82%,0.00%,UNAFFIL_US_LOGISTICS_STAT
677,TAX_DOM_SL_VAL,B_RDFUND_US_STLOC,Provision for current and deferred domestic income taxes - State and local,Domestic R&D costs paid by U.S. state or local government,42.33%,44.99%,27.27%,FUNDS_RD_US_LOCGOV_VAL
678,FGINFO_ST,"
RESP_TITLE   ",State of F/G contact person,Contact Information: Title,42.32%,46.26%,20.00%,CERT_TITLE_TXT
679,EMP_MAR12_PHYTHER,B_EMPTRAIN,"Employment By Occupation, Physical therapists",The areas covered by employee training,42.30%,49.77%,0.00%,EMP_TRAIN_AREA_CHKBOX
680,INCOM_EXPS_RECURR_VAL,B_OPEXPENSE ,Other recurring nonoperating income (expense),Total domestic operating expenses,42.29%,49.75%,0.00%,EXPS_TOT_VAL
681,RCPT_TOT_VAL_SUM,EXPNS,"Sum estabs receipts to KAU _x000D_
Sum KAU receipts to Company",Amount of total expenses,42.29%,49.75%,0.00%,EXPS_TOT_VAL
682,PREV_OWN_CNTRY_TXT,O1_OTH_BUS_WIN,New Establishment: Former Ownership Country,Other status of the previous business Owner 1 started most recently,42.29%,49.75%,0.00%,PREV_BUS_OWN_TXT
683,PAY_ANN_OTHWRK_M_PY,B_EMPNUM_W2_TOTAL,Annual Payroll for Other Manufacturing Employees  prior Year,Total number of W2 paid employees and owners,42.27%,47.76%,11.11%,EMP_W2_TOT_DNUM
684,INCOM_LOAN_GOV_INT_PCT,B_CRDSRC_OTHER_WIN,"Loan Products Income, Loans to governments, Interest",Write-in of what lenders the business applied for new credit with ,42.26%,49.71%,0.00%,CREDIT_SRCS_OTH_WRTIN_TXT
685,RCPT_CLIENT_U_GOVOWN,B_COOP,"Class of Customer,  Government-owned utilties","Clients or customers from the public sector: public sector includes government owned organizations such as local, regional and national administrations and agencies, schools, hospitals, and government providers of services such as security, transport, housing, energy, etc. ",42.24%,48.09%,9.09%,COOP_PARTNER_LOC_CHKBOX
686,EMP_JUN12_OTHWRK_C,WEMP,"Second Quarter Employment,  Other Construction Employees",Number of employees as of March 12th,42.24%,46.75%,16.67%,EMP_MAR12_NUM
687,INCOM_LEAS_XAUTO_TOT_PCT,B_SALES_TOT_US,"Finance leasing services, except automobile and light-duty truck leasing services, Total","Amount of sales, revenue, and grants from domestic operations",42.24%,49.69%,0.00%,SALES_US_TOT_VAL
688,EMP_SHEET,B_TYPS_WRKS,"Selected MetalWorking Employment, Sheet metal work, aluminum or steel",Types of workers that were used by the business,42.22%,49.67%,0.00%,WRKR_TYPE_CHKBOX
689,EXPS_CSTMTOT_DVAL,EXPNS,"deriving ASM/EC mfg collected total cost item, needed to make use of VALUE_ADDED item straight-forward in tabbing and disclosure",Amount of total expenses,42.21%,48.62%,5.88%,EXPS_TOT_VAL
690,RCPT_CUST_SUBLIN_BUS_DVAL,B_SALES_TOT_US,Subscriber Line - Gov & Business revenue,"Amount of sales, revenue, and grants from domestic operations",42.20%,47.69%,11.11%,SALES_US_TOT_VAL
691,OWNSTAT_US_ARCHIVE,O1_HISP,What is the citizenship of the majority ownership of this establishment?,"Whether the first owner is Hispanic, Latino, or Spanish",42.19%,49.63%,0.00%,OWNER_ETHNICITY_CODE
692,RCPT_MOTR_AGR_DVAL,B_SALES_TOT_US,Agricultural Products motor carrier revenue,"Amount of sales, revenue, and grants from domestic operations",42.19%,47.68%,11.11%,SALES_US_TOT_VAL
693,INCOM_EXPS_NOP_DBCRD2_TXT,B_OPEXPENSE ,Nonoperating income and expenses - principal debits and credits that contribute - Description - 2,Total domestic operating expenses,42.18%,48.02%,9.09%,EXPS_TOT_VAL
694,EMP_MAR12_REPAIR,B_TYPS_WRKS,"Employment By Occupation, Repair and maintenance (for vehicles and equipment)",Types of workers that were used by the business,42.15%,49.59%,0.00%,WRKR_TYPE_CHKBOX
695,JOINT_COMPANY_ADDR_STREET_4,O4_NAME_TITLE,"Investors,  Street Address of Company Investor 4",Name of fourth owner,42.13%,49.56%,0.00%,OWNER4_NAME
696,PRCH_REPAIR,B_RD_MACHINE,Purchased repairs and maintenance to buildings and/or machinery and equipment,"Yes/No if business engaged in acquisition of machinery, equipment, or other tangible assets",42.10%,46.58%,16.67%,RD_MACHINE_STAT
697,RCPT_EXCISE_INCL,B_OPEXPENSE ,Are excise taxes included in sales and receipts?,Total domestic operating expenses,42.08%,49.51%,0.00%,EXPS_TOT_VAL
698,PAY_QTR1,WZWAGE,First Quarter Payroll,Amount of internal research funds allocated to payroll for internal employees,42.06%,46.54%,16.67%,EXPS_RSRCH_PAYROLL_VAL
699,PAY_QTR1_VAL,WZWAGE,First quarter payroll,Amount of internal research funds allocated to payroll for internal employees,42.06%,46.54%,16.67%,EXPS_RSRCH_PAYROLL_VAL
700,COST_RESALE_PY,B_CEASED_DATE_ YEAR ,Products bought and sold as such without further processing  Prior Year,Year the business ceased operation,42.02%,47.48%,11.11%,OPSTAT_CEASED_YEAR_DATE
701,EQP_MAT_PRCH_MAT,B_RD_MACHINE,"Auxiliary establishment, expensed purchases of other materials, parts, and supplies","Yes/No if business engaged in acquisition of machinery, equipment, or other tangible assets",42.01%,49.42%,0.00%,RD_MACHINE_STAT
702,PHYSLOC_OFF,B_ACTIVITYUFC_INFO,True if the operations of this domestic reporting unit are offshore; false otherwise.,Yes/No if foreign affiliated companies conducted information and communication tech services for this business,42.00%,49.41%,0.00%,AFFIL_NONUS_INFOTEC_STAT
703,HOURS_FOUND,B_EMPTRAIN_HRS,"Steel Mill Department Worker Hours, Foundry (iron or steel)",Average number of hours of training that employees at this business received,41.99%,47.93%,8.33%,EMP_TRAIN_HRS_AVG
704,RCPT_C_OWN_TOT_PCT,B_OWNERNUM,"Ownership of Construction projects,  Total",Number of owners of the business,41.99%,49.40%,0.00%,OWNER_NUM_STAT
705,RCPT_TOT_HOTEL_OWN_VAL,B_SALES_TOT_US,Hotels owned or leased: Revenue,"Amount of sales, revenue, and grants from domestic operations",41.98%,47.18%,12.50%,SALES_US_TOT_VAL
706,PRCH_COMMSVC_PY,O1_ACQ_BUS_YR,Purchased communication services   Prior Year,Year that the first owner initially acquired this business,41.97%,47.42%,11.11%,OWNER_ACQ_YEAR
707,RCPT_GROSSBILL_VAL,EXPNS,Gross billings/professional services fees,Amount of total expenses,41.94%,49.35%,0.00%,EXPS_TOT_VAL
708,EXPS_REPAIR,B_PROXY,"Was this consolidated reporting unit involved in maintenance and repair of buildings, structures, or communication lines owned by your enterprise?",Yes/No if person is reporting in behalf of business owners,41.94%,48.24%,6.25%,PROXY_REPRT_CODE
709,EMP_MAR12_EXMAN,B_EMPTRAIN,"Employment By Occupation, Executive and corporate managers",The areas covered by employee training,41.92%,49.31%,0.00%,EMP_TRAIN_AREA_CHKBOX
710,RCPT_AUDVID_VAL,B_SALES_PCT_GOODS,"Sales, Shipments Receipts, or Revenue - Audio & video recordings","Percent of domestic sales, revenues, and grants coming from selling goods to customers",41.92%,48.06%,7.14%,SALES_GOODS_PCT
711,AFFIL_CONTROL_STAT,O2_PCT_OWNED,Ownership or Control: Management and Policy Status,Percent owned by second owner,41.92%,49.31%,0.00%,OWNER2_PCT
712,OPSTAT_NAME2_TXT,O2_NAME_TITLE,Operational Status: Sold or Leased Name 2,Name of second owner,41.92%,49.31%,0.00%,OWNER2_NAME
713,EXPS_MACH_REP_VAL,B_RD_MACHINE,"Purchased Repairs and Maintenance to Machinery, Vehicles, and Equipment","Yes/No if business engaged in acquisition of machinery, equipment, or other tangible assets",41.88%,46.33%,16.67%,RD_MACHINE_STAT
714,RCPT_ECOMM_NO_ARCHIVE,B_SALES_PCT_GOODS,"Were any of the sales, shipments, receipts, or revenue a result of e-commerce transactions?","Percent of domestic sales, revenues, and grants coming from selling goods to customers",41.87%,48.00%,7.14%,SALES_GOODS_PCT
715,EXPS_ADMIN_VEHPC_INS,B_OPEXPENSE ,"Adminstrative Expenses, Vehicle property and liability (casualty) insurance",Total domestic operating expenses,41.87%,47.49%,10.00%,EXPS_TOT_VAL
716,RCPT_ELEC_RESALE,B_SALES_PCT_GOODS,Revenue from the sale of electricity purchased for resale,"Percent of domestic sales, revenues, and grants coming from selling goods to customers",41.86%,49.25%,0.00%,SALES_GOODS_PCT
717,RCPT_MOTR_FUEL_DVAL,B_SALES_TOT_US,Coal and Petroleum Products motor carrier revenue,"Amount of sales, revenue, and grants from domestic operations",41.86%,47.48%,10.00%,SALES_US_TOT_VAL
718,EMP_MAR12_OTH_WRTIN,B_TYPS_WRKS,"Employment By Occupation, Other write-in description",Types of workers that were used by the business,41.85%,49.24%,0.00%,WRKR_TYPE_CHKBOX
719,COST_MERCH,B_SALES_PCT_GOODS,"Purchases of merchandise for resale, net of returns, allowances, and trade and cash discounts","Percent of domestic sales, revenues, and grants coming from selling goods to customers",41.85%,49.23%,0.00%,SALES_GOODS_PCT
720,CLASS_GOV_LOC,B_COOP,"Class of Customer,  Local government","Clients or customers from the public sector: public sector includes government owned organizations such as local, regional and national administrations and agencies, schools, hospitals, and government providers of services such as security, transport, housing, energy, etc. ",41.84%,47.54%,9.52%,COOP_PARTNER_LOC_CHKBOX
721,AFFIL_SPL_PAY_ANN,WZWAGE,"Added child establishment,   Total Annual Payroll",Amount of internal research funds allocated to payroll for internal employees,41.83%,47.45%,10.00%,EXPS_RSRCH_PAYROLL_VAL
722,HOURS_MANOTH,B_EMPTRAIN_HRS,"Steel Mill Department Worker Hours, Other manufacturing or fabricating departments_x000D_
(nuts, bolts, steel containers, etc.)",Average number of hours of training that employees at this business received,41.82%,48.09%,6.25%,EMP_TRAIN_HRS_AVG
723,RCPT_LOCTEL_VAL,B_SALES_TOT_US,Total Fixed Local Telephony Revenue,"Amount of sales, revenue, and grants from domestic operations",41.81%,47.23%,11.11%,SALES_US_TOT_VAL
724,JOINT_COMPANY_ADDR_STREET_3,O3_NAME_TITLE,"Investors,  Street Address of Company Investor 3",Name of third owner,41.77%,49.14%,0.00%,OWNER3_NAME
725,LIAB_CUR_LONG_BANK_LOAN_VAL,B_CRDSRC_OTHER_WIN,Current portion of long-term debt - Loans from banks,Write-in of what lenders the business applied for new credit with ,41.77%,49.14%,0.00%,CREDIT_SRCS_OTH_WRTIN_TXT
726,RCPT_PRDSHIP_US,B_MANACTIVITY ,"Value of product shipped by customer location, US and Territories",Yes/No if business manufactured goods in the US,41.76%,49.13%,0.00%,MAN_US_STAT
727,INV_VAL_STD_BGN,O1_ACQ_BUS_YR,"Inventories by Valuation Method, Standard Cost, Beginning of Year",Year that the first owner initially acquired this business,41.73%,47.49%,9.09%,OWNER_ACQ_YEAR
728,HOURS_ROLL_TIN,B_EMPTRAIN_HRS,"Steel Mill Department Worker Hours,  Tinmills",Average number of hours of training that employees at this business received,41.73%,47.49%,9.09%,EMP_TRAIN_HRS_AVG
729,EMP_DEC12_OTHWRK_C,WEMP,"Fourth Quarter Employment,  Other Construction Employees",Number of employees as of March 12th,41.71%,46.13%,16.67%,EMP_MAR12_NUM
730,MAIL_ADDR_CITY_TXT,RESP_EMAIL  ,Company Mailing Address: City,Contact Information: Email,41.71%,49.08%,0.00%,CERT_EMAIL_TXT
731,RENT_PAY_MACH_PY,B_RDEXP_DOM_EQUIPMT,Payments for Rental or lease of machinery and equipment  Prior Year,Amount of domestic R&D costs going to expensed machinery and equipment,41.68%,45.51%,20.00%,EXPS_RD_DOM_EQUIP_VAL
732,EXPS_TRANSP_REP_VAL,AIQUALC,Purchased Repairs and Maintenance to Transportation Equipment,What extent did this company use artificial intelligence (including machine learning algorithms in software applications) to support equipment maintenance                                                       ,41.68%,46.32%,15.38%,AI_QUAL_CTRL_CODE
733,PRCH_PROFTECH_PY,O1_ACQ_BUS_YR,Purchased professional and technical services   Prior Year,Year that the first owner initially acquired this business,41.66%,47.24%,10.00%,OWNER_ACQ_YEAR
734,NC-9902C_TYPOP_SELFDSG,B_PROMOTE_PERF,Type of Operation - What is the establishment's primary type of operation,Primary method that employees are promoted at this business,41.65%,46.48%,14.29%,PROMOTION_METHOD_CODE
735,RCPT_LEISURE_PCT,O1_REASON_INCOME,Source of Revenue: Leisure,Reason for owning business: Opportunity for greater income,41.65%,49.00%,0.00%,OWNING_REASON_INCOME_CODE
736,EMP_MAR12_MGMTOTH,B_TYPS_WRKS,"Employment By Occupation, all other management",Types of workers that were used by the business,41.62%,48.96%,0.00%,WRKR_TYPE_CHKBOX
737,RCPT_CONTRACT_CLASS_TOT,EMPC,"Contract Work done by customer in Puerto Rico,  Total",Number of contract employes working on research activities,41.60%,47.18%,10.00%,EMP_RSRCH_CONTRACT_NUM
738,INV_E_WIP_VAL,B_IMPROCESS_DEV ,"Inventories: work in process, EOY",Who developed new or improved business processes ,41.59%,48.93%,0.00%,IMPROCESS_DEV_STAT
739,RCPT_CLIENT_S_TRAVEL,B_COOP,"Class of Customer,  Travel agencies and other resellers",Companies that are the clients or customers outside the business group,41.59%,48.93%,0.00%,COOP_PARTNER_LOC_CHKBOX
740,CLASS_GOV,B_COOP,"Class of Customer,  Governmental bodies (Federal, state, and local)","Clients or customers from the public sector: public sector includes government owned organizations such as local, regional and national administrations and agencies, schools, hospitals, and government providers of services such as security, transport, housing, energy, etc. ",41.58%,48.22%,4.00%,COOP_PARTNER_LOC_CHKBOX
741,AFFIL_OWNER_GT50_STAT,O2_PCT_OWNED,Ownership or Control: Voting Stock Status,Percent owned by second owner,41.58%,48.91%,0.00%,OWNER2_PCT
742,EXPS_LOSS_VAL,B_RDEXP_DOM_DEPR,"Direct Losses Incurred: Property, including Life",Amount of domestic R&D costs going to depreciation on property and equipment,41.54%,47.10%,10.00%,EXPS_RD_DOM_DEPR_VAL
743,AFFIL_OWNER_ADDR_ZIP,B_OWNERNUM,ZIP code of the owning or controlling company,Number of owners of the business,41.48%,48.80%,0.00%,OWNER_NUM_STAT
744,MERCH_EST_NEW,B_INNOV_GOODS,"Did this establishment sell ""new"" merchandise, excluding parts installed in repair work, in $$00?",Whether the business introduced new or improved goods,41.48%,47.54%,7.14%,NEW_IMPROVE_GOODS_STAT
745,INV_E_FIN_VAL,B_INNOV_GOODS,"Inventories: finished goods,  EOY",Whether the business introduced new or improved goods,41.47%,46.26%,14.29%,NEW_IMPROVE_GOODS_STAT
746,PAY_SVS,B_TYPS_WRKS,"Steel Mill Department Wages, Service or auxiliary operations (all other activities not directly assignable)",Types of workers that were used by the business,41.46%,48.77%,0.00%,WRKR_TYPE_CHKBOX
747,MSC_RESALE_TOT,B_SALES_TOT_US,What were the total receipts for resales?,"Amount of sales, revenue, and grants from domestic operations",41.46%,48.77%,0.00%,SALES_US_TOT_VAL
748,PATREV_OTHER_WRTIN,B_SALES_PCT_US_TOT,Patient Care Revenue:  All other sources of revenue for patient care write-in description,"Write-in of other sales, revenue, and grant sourcesTotal percent entered from domestic sales questions",41.46%,44.85%,22.22%,SALES_US_TOT_DPCT
749,CLASS_R_RESALE,B_REV ,"Class of Customer,  Retailers for resale",Types of customers that accounted for 10% or more of total sales,41.45%,48.76%,0.00%,CUST_TYPE_10_PCT_SALES_CHKBOX
750,INCOM_EXPS_NOP_DBCRD5_TXT,B_CRDSRC,Nonoperating income and expenses - principal debits and credits that contribute - Description - 5,Other sources of credit not listed,41.43%,48.74%,0.00%,CREDIT_SOURCES_CHKBOX
751,NUMUNITSU2,EXPNS,Total Number of Furnished units,Amount of total expenses,41.43%,45.21%,20.00%,EXPS_TOT_VAL
752,HOURS_ROLL_WIRE,B_EMPTRAIN_HRS,"Steel Mill Department Worker Hours,  Wiredrawing mills",Average number of hours of training that employees at this business received,41.43%,47.27%,8.33%,EMP_TRAIN_HRS_AVG
753,COST_MINEWRK,B_RDEXP_DOM_MATERIALS,"Cost of supplies, fuels, electric energy, and contract work for a mine or pit",Amount of domestic R&D costs going to materials and supplies,41.41%,47.11%,9.09%,EXPS_RD_DOM_MAT_VAL
754,EMP_MAR12_ACCT,RESP_BUS_DESC,"Employment By Primary Occupation, Accounting, billing, tax preparation, and bookkeeping",Primary business activity,41.37%,46.91%,10.00%,NAICS_DESC_TXT
755,RCPT_PRDSHIP_LOC_TOT,B_SALES_PCT_OTH_WIN,"Value of product shipped by customer location, Total",Total percent entered from domestic sales questions,41.36%,46.70%,11.11%,SALES_OTH_WRTIN_TXT
756,PRCH_AUX_COMMSVC,B_ACTIVITYUFC_INFO,"Auxiliary establishment, purchased communication services",Yes/No if foreign affiliated companies conducted information and communication tech services for this business,41.36%,45.45%,18.18%,AFFIL_NONUS_INFOTEC_STAT
757,HOUSEKEEP,B_IMPROCESS_ADMIN ,Management provides housekeeping?,Whether the business introduced new or improved methods for administration and management activities,41.34%,46.43%,12.50%,IMPROCESS_ADMIN_STAT
758,EXPS_RPTOT_DVAL,B_CRDAMT,deriving ASM/EC mfg collected total rental payments,Total amount of credit that was requested and received ,41.32%,46.84%,10.00%,CREDIT_AMT_RECEIVED_STAT
759,HOTEL_MNG_ADDL_WRTIN_TXT,PROMOTEM,Management of Hotel: Other management companies,What was the primary way managers were promoted at this company,41.30%,48.58%,0.00%,EMP_MNG_PROMOTE_CODE
760,RCPT_COMSN_YES_ARCHIVE,B_ACTIVITYUC_SALE ,Did this establishment earn commissions for the sale of merchandise?,Yes/No if domestic unaffiliated companies conducted marketing or sales services for this business,41.29%,48.58%,0.00%,UNAFFIL_US_MARKETING_STAT
761,RCPT_CLIENT_F_GOV,B_COOP,"Class of Customer,  Federal, state, and local governments","Clients or customers from the public sector: public sector includes government owned organizations such as local, regional and national administrations and agencies, schools, hospitals, and government providers of services such as security, transport, housing, energy, etc. ",41.29%,47.84%,4.17%,COOP_PARTNER_LOC_CHKBOX
762,RCPT_FOOD_IMMCNSUM_GT50_YES_ARCHIVE,B_REV ,"Were more than half of the total sales and receipts of this establishment derived from the sale of prepared food, including refreshments, for immediate consumption?",Types of customers that accounted for 10% or more of total sales,41.28%,46.48%,11.76%,CUST_TYPE_10_PCT_SALES_CHKBOX
763,RCPT_ADV_OTH_DVAL,B_SALES_PCT_GRANT,all other advertising revenue,"Percent of domestic sales, revenues, and grants coming from selling services to customers",41.28%,48.57%,0.00%,SALES_GRANT_PCT
764,RCPT_BOOK_ONLINE_DVAL,B_SALES_TOT ,online books revenue,"Amount of worldwide and domestic sales, revenue, and grants",41.27%,46.03%,14.29%,RCPT_ALL_TOT_VAL
765,PAY_ANN_NONPRDWRK_VAL,WZWAGE,Annual Payroll - Nonproduction Workers,Amount of internal research funds allocated to payroll for internal employees,41.27%,46.34%,12.50%,EXPS_RSRCH_PAYROLL_VAL
766,INV_FINISHED_END,B_CEASED_DATE_ YEAR ,"Inventories, Finished Goods,  End of Year",Year the business ceased operation,41.26%,46.33%,12.50%,OPSTAT_CEASED_YEAR_DATE
767,MAIL_ADDR_CITY_TXT,RESP_EMAIL  ,Mailing City,Contact Information: Email,41.26%,48.54%,0.00%,CERT_EMAIL_TXT
768,INCOM_LOAN_RESMOR_INT_PCT,B_CRDSRC_OTHER_WIN,"Loan Products Income, Residential mortgage loans, Interest",Write-in of what lenders the business applied for new credit with ,41.25%,48.53%,0.00%,CREDIT_SRCS_OTH_WRTIN_TXT
769,RCPT_ECOMM_THRD_STAT,B_SALES_PCT_US_TOT,Revenue from Electronic Sources: Third-party,"Write-in of other sales, revenue, and grant sourcesTotal percent entered from domestic sales questions",41.24%,46.31%,12.50%,SALES_US_TOT_DPCT
770,EXPS_LOSS_NONMED_VAL,B_RDEXP_DOM_DEPR,"Direct Losses Incurred: Property, Except Life",Amount of domestic R&D costs going to depreciation on property and equipment,41.22%,46.53%,11.11%,EXPS_RD_DOM_DEPR_VAL
771,PROP_MAR12_AUDIO,O1_MAJOR,"Proprietor or Partner by Occupation, Audiologists",Field of the highest degree achieved by the first owner prior to owning this business,41.20%,48.46%,0.00%,EDU_CODE
772,FOOD_SVC_OTH_WRTIN,B_INNOV_SERV,"Food Services,  Other  Write-in description",Whether the business introduced new or improved services,41.20%,45.95%,14.29%,NEW_IMPROVE_SERVICES_STAT
773,JOINT_COMPANY_ADDR_STATE_1,O1_ACQ_BUS_YR_DK  ,"Investors, State of Company Investor 1",Owner 1 does not know when initially acquired ownership of this business,41.20%,48.47%,0.00%,O1_ACQ_BUS_YR_CODE
774,PAY_QTR1_OTHWRK_M_PY,WZWAGE,Prior Year First Quarter Payroll for Non-Production Workers,Amount of internal research funds allocated to payroll for internal employees,41.13%,46.78%,9.09%,EXPS_RSRCH_PAYROLL_VAL
775,CLASS_OTH,B_REV ,"Class of Customer,  Other",Types of customers that accounted for 10% or more of total sales,41.06%,48.31%,0.00%,CUST_TYPE_10_PCT_SALES_CHKBOX
776,FGINFO_ADDR2,"
RESP_TITLE   ",Second address line of F/G contact person,Contact Information: Title,41.06%,45.78%,14.29%,CERT_TITLE_TXT
777,INV_MERCH_VAL,B_INNOV_GOODS,Inventories: Merchandise,Whether the business introduced new or improved goods,41.06%,48.30%,0.00%,NEW_IMPROVE_GOODS_STAT
778,TOC_ADD_397,CPSTR,"Percent of Construction Work for Building Construction Additions, Alterations, or Reconstruction",Total capital expenditures for research operations that went towards buildings and land improvement,41.04%,48.28%,0.00%,CAPEX_RSRCH_BUILD_VAL
779,COST_SUBCONTRACT,B_CONTRACTOUT,Work done for you by others on your materials (work contracted to others),Yes/No if business contracted out manufacturing tasks,41.03%,45.33%,16.67%,MAN_CONTRACTOUT_STAT
780,RETAIN_EARN_DIR_DBCRD_VAL,B_CRDSRC,Other direct credits (charges) to retained earnings - principal debits and credits that contribute - Amount,Other sources of credit not listed,41.01%,48.25%,0.00%,CREDIT_SOURCES_CHKBOX
781,PAY_ANN_VAL_SUM,WZWAGE,"Sum estabs payroll to KAU_x000D_
Sum KAU payroll to Company",Amount of internal research funds allocated to payroll for internal employees,40.98%,46.44%,10.00%,EXPS_RSRCH_PAYROLL_VAL
782,PRCH_AUX_REPAIR_MACH_V,B_RD_MACHINE,"Auxiliary establishment, purchased repairs and maintenance to machinery, vehicles, and equipment","Yes/No if business engaged in acquisition of machinery, equipment, or other tangible assets",40.98%,45.69%,14.29%,RD_MACHINE_STAT
783,RCPT_CLIENT_S_FIN,B_COOP,"Class of Customer, Banks, insurance companies, and other financial institutions",Companies that are the clients or customers outside the business group,40.98%,46.74%,8.33%,COOP_PARTNER_LOC_CHKBOX
784,INCOM_EXPS_NOP_DBCRD1_TXT,B_CRDSRC,Nonoperating income and expenses - principal debits and credits that contribute - Description - 1,Other sources of credit not listed,40.97%,48.20%,0.00%,CREDIT_SOURCES_CHKBOX
785,ENT_SIZE_CODE_TXT,B_RDJOB_TOTEMP_DOMESTIC,"Side indicator for MU Enterprise:  'L' = ENT has 5000+ employees, 'M' = ENT has 1000-4999 employees, 'N' = ENT has 10+ estabs OR 50+ employees and is not an L or M ENT, 'S' - All other ENTs that are not identified as a L, M, or N.",Total R&D employees by staff type,40.95%,47.07%,6.25%,EMP_MAR12_RD_TOT_DNUM
786,ADDR_STREET,RESP_EMAIL  ,Mailing Address Street,Contact Information: Email,40.94%,48.16%,0.00%,CERT_EMAIL_TXT
787,INV_B_TOT_VAL,B_PATENT_OWNED ,"Inventories: Total, Prior Year",Number of patents owned,40.92%,48.14%,0.00%,PATENT_OWNED_NUM
788,INCOM_UNIT_CRED_INTER_PCT,B_CRDSRC,"Credit Card Products,  Interest",Other sources of credit not listed,40.92%,44.62%,20.00%,CREDIT_SOURCES_CHKBOX
789,EXPS_MAT_V2_VAL,B_COOP,"Materials, Parts, and Supplies V2","Suppliers of equipment, materials, components, or software outside your business group ",40.90%,46.35%,10.00%,COOP_PARTNER_LOC_CHKBOX
790,PROP_MAR12_SPEECHPTH,O1_REASON_OWNBOSS ,"Proprietor or Partner by Occupation, Speech-language pathologists",Reason for owning business: Being their own boss,40.90%,48.12%,0.00%,OWNING_REASON_OWNBOSS_CODE
791,RCPT_CUSTORDGT50,B_DESIGNOUT ,Were more than half of the sales and receipts of this establishment derived from garments made to customer's order?,Yes/No if business provided design for goods that were contracted out,40.89%,48.10%,0.00%,MAN_DESIGNOUT_STAT
792,PRCH_REPAIR_PY,B_CEASED_DATE_ YEAR ,Purchased repairs and maintenance to buildings and/or machinery and equipment  Prior Year,Year the business ceased operation,40.89%,46.51%,9.09%,OPSTAT_CEASED_YEAR_DATE
