,MDR's Variable,Variable Source,MDR's Description,Source's Description,similarity_score
822,EMP_MAR12_ACCT,00107,"Employment By Primary Occupation, Accounting, billing, tax preparation, and bookkeeping",Other recurring non-operating income 107 Other Recurring Non-operating Income Other Recurring Non-operating Income,44.70%
823,RCPT_BOOK_OTH_PCT,00101,Source of Book Revenue: Other media,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",44.70%
824,RCPT_ADV_OTH_PCT,00101,Source of Advertising Revenue: All other,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",44.70%
825,RCPT_CUST_RES_DVAL,00101,Residential Customers Revenue,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",44.60%
826,RCPT_PROPCSLTY_INS_VAL,00101,Net patient revenues from property and casualty insurance,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",44.60%
827,RCPT_INTELPH_TOT_PCT,00101,Percentage of receipts for internet telephone services  Total,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",44.60%
828,ENT_SIZE_CODE_TXT,00022,"Side indicator for MU Enterprise:  'L' = ENT has 5000+ employees, 'M' = ENT has 1000-4999 employees, 'N' = ENT has 10+ estabs OR 50+ employees and is not an L or M ENT, 'S' - All other ENTs that are not identified as a L, M, or N.",EI of corp Employer Identification Number Employer Identification Number,44.60%
829,AFFIL_OWNER_ADDR_CITY,00072,"City, town, village, etc. of the owning or controlling company",Number of Subs - not consolidated Number of Subsidiary Corporations - Not Consolidated Number of Subsidiary Corporations - Not consolidated,44.50%
830,OPSTAT_ADDR_STREET_TXT,00031,Operational Status: Sold or Leased Mailing Address,Corp status active/discontinued/merged Corporation Status Active/Discontinued/Merged Corporation Status Active/Discontinued/Merged,44.50%
831,RCPT_FOOD_CNTRC_TRANS,00213,"Contract Feeding,  Airlines, ships, railroads, business, and other in-transit facilities",Trade Accnts and Notes Receivable    213 Trade Accounts and Trade Notes Receivable Trade Accounts and Trade Notes Receivable,44.50%
832,SAMPLE_ID_TYP,00221,"0= MU enterprise, 1 = SU establishment",All Other Non-current assets         221 All Other Non-current Assets All Other Non-current Assets,44.50%
833,PRCH_REPAIR_PY,00219,Purchased repairs and maintenance to buildings and/or machinery and equipment  Prior Year,Net Property Plant and Equipment     219 NET PPE Net PPE,44.50%
834,OWNSTAT_RACE_KOREA,00041,Race of majority ownership - Is the race of the majority ownership of this establishment Korean?,Owned by another company-NO/YES Owned by another company - No/Yes Owned by another Company-No/Yes,44.50%
835,RCPT_NEWS_PRNT_PCT,00101,Source of Newspaper Revenue: Print,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",44.50%
836,HOTEL_OWNNOTMNG_NUM,00061,Number of Hotel Establishments: Managed by others,Number of Subsidiary corps Number of Subsidiary Corporations Number of Subsidiary Corporations,44.50%
837,EXPS_ADMIN_LIFE_REINS,00110,"Adminstrative Expenses,  Life reinsurance",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses,44.50%
838,EXPS_RENT_MACH_VAL,00219,"Lease and Rental Payments for Machinery, Equipment, and Other Tangible Items",Net Property Plant and Equipment     219 NET PPE Net PPE,44.50%
839,RCPT_APSOFT_OTH_PCT,00101,Source of Application Software Publishing Revenue: Other,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",44.50%
840,RCPT_PVTHLTH_INS_VAL,00101,"Net patient revenues from private health insurance, including Medicare and Medicaid managed care plans","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",44.50%
841,RCPT_CLIENT_S_COMRCL,00320,"Class of Customer, All other business firms and organizations (Manufacturing, utilities, mining, shopping centers, office buildings, etc.)",All Other noncurrent liabilities     320 All Other Non-current Liabilities All Other Noncurrent Liabilities,44.40%
842,PAY_ROLL_TIN,CPAY,"Steel Mill Department Wages, Tinmills",current PAY from BR nan nan,44.40%
843,LSD_50_STAT,00022,Professional Employer Organization (PEO) Status,EI of corp Employer Identification Number Employer Identification Number,44.40%
844,ENT_ID_CURR,00022,ENT_ID_CURR is the latest parent enterprise from the BR and it will match ENT_ID if the record is the most recent for the SSCID,EI of corp Employer Identification Number Employer Identification Number,44.40%
845,BOAT_DOCK_SPACE,00214,"Number of pleasure boat docking or storage spaces, including wet slips, moorings, in/out racks, and other land storage spaces,",Inventories                          214 Inventories Inventories,44.40%
846,RCPT_NTLGAS_RESALE,00101,Revenue from the sale of natural gas purchased for resale,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",44.40%
847,RCPT_NEWS_PRNT_DVAL,00101,Print newspapers revenue,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",44.30%
848,COST_AUX_TRANS_FUEL,00219,"Auxiliary establishments,  Purchased fuels for transportation equipment",Net Property Plant and Equipment     219 NET PPE Net PPE,44.30%
849,PROD_QTYPRD_PEAT_NONE,00217,"None for the question: If MINE_HERE = 1, report the quantity of peat mined and/or beneficiated at this mine or pit",Land and Mineral rights              217 Land and Mineral Rights Land and Mineral Rights,44.30%
850,RCPT_MEDICARE_VAL,00101,Net patient revenues from government payers: Medicare,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",44.30%
851,EXPS_MACH_REP_VAL,00219,"Purchased Repairs and Maintenance to Machinery, Vehicles, and Equipment",Net Property Plant and Equipment     219 NET PPE Net PPE,44.30%
852,TOTU4INT1,00219,"Total Condo Units, First Intv",Net Property Plant and Equipment     219 NET PPE Net PPE,44.30%
853,RCPT_SUBLIN_VAL,00101,Total Subscriber Line Charges Revenue,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",44.30%
854,COV_CHG_DATE,00021,Coverge code date,Closing date Closing date Closing date,44.20%
855,CERT_DATE_TO_YEAR,RPTE,"Certification,  Year covered by this report (to)",End of Report Period nan nan,44.20%
856,RCPT_CLIENT_U_GOVOWN,00219,"Class of Customer,  Government-owned utilties",Net Property Plant and Equipment     219 NET PPE Net PPE,44.20%
857,PAY_ROLL_WIRE,CPAY,"Steel Mill Department Wages, Wiredrawing mills",current PAY from BR nan nan,44.20%
858,ROBOT_CAPEX_PY,00103,"Capital expenditures for new and used industrial robotic equipment, including software, installation, and other one-time costs  Prior Year",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses,44.20%
859,SSCID,00216,Control Number - Sponsoring division control number used for tracking purposes.,Plant and Equipment                  216 Plant and Equipment Plant and Equipment,44.20%
860,EXPS_BENEFIT_VEHPC_INS,00320,"Benefits Paid, Vehicle property and liability (casualty) insurance",All Other noncurrent liabilities     320 All Other Non-current Liabilities All Other Noncurrent Liabilities,44.10%
861,COST_MAT_PARTS,00216,"Materials, parts, containers, packaging, supplies, etc. used for manufacturing processes, repairs, services for others, or other operating supplies",Plant and Equipment                  216 Plant and Equipment Plant and Equipment,44.10%
862,RCPT_NEWS_OTH_DVAL,00101,other media newspaper revenue,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",44.10%
863,PROD_QTYPRD_DIATOM_NONE,00217,"None for the question: If MINE_HERE = 1, report the quantity of diatomite, mined and/or beneficiated at this mine or pit",Land and Mineral rights              217 Land and Mineral Rights Land and Mineral Rights,44.10%
864,AFFIL_OWNER_DOM_STAT,00041,Ownership or Control: Status,Owned by another company-NO/YES Owned by another company - No/Yes Owned by another Company-No/Yes,44.00%
865,PROD_QTYPRD_BLLCLY_NONE,00217,"None for the question: If MINE_HERE = 1, report the quantity of ball clay mined and/or basically prepared for transport at this mine or pit",Land and Mineral rights              217 Land and Mineral Rights Land and Mineral Rights,44.00%
866,ARU_NAICS,00103,Alternate Reporting Unit:   NAICS code,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses,44.00%
867,TOTU4INT3,00219,"Total Condo Units, Third Intv",Net Property Plant and Equipment     219 NET PPE Net PPE,44.00%
868,RCPT_ECOMM_OFCEQ_VAL,00213,Electronic Commerce (e-commerce) - Office equipment & supplies,Trade Accnts and Notes Receivable    213 Trade Accounts and Trade Notes Receivable Trade Accounts and Trade Notes Receivable,43.90%
869,SOC_ASSIST_GOV_PCT,00207,"Social Assitance Services, Government payers",St and Local Government Securities   207 State and Local Government Securities State and Local Government Securities,43.90%
870,SOMA_OUTCOME,XRSPC,SOMA Outcome Code,Response code nan nan,43.90%
871,PREV_OWNER_ADDR_ST,00031,State of Former Owner or operator,Corp status active/discontinued/merged Corporation Status Active/Discontinued/Merged Corporation Status Active/Discontinued/Merged,43.90%
872,RCPT_MULTCHL_BUN_PCT,00101,Percentage of receipts for multichannel programming distribution services from “bundled” services.,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",43.90%
873,PAY_METAL_TOT,CPAY,"Steel Mill Department Wages,  Total",current PAY from BR nan nan,43.90%
874,PAT_CARE_TOT_PCT,00110,"Patient Care, Total",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses,43.90%
875,RENT_PAY_TOT_PY,P2PAY,"Payments for Rental or lease of buildings, other structures, machinery, and equipment Total Prior Year",Prior Prior quarter payroll from BR nan nan,43.90%
876,TOTU2INT4,00215,"Total Furn Units, Fourth Intv",All Other Current Assets             215 All Other Current Assets All Other Current Assets,43.90%
877,PRCH_AUX_TRANS,00219,"Auxiliary establishment, Purchased transportation",Net Property Plant and Equipment     219 NET PPE Net PPE,43.90%
878,CLNC_MEASURES,00001,Yes/No for Did this establishment measure its clinical performance in $$00 ?,Is this your Company's Industry -YES/NO Is this your company's industry - yes/no Is this your company's industry - yes/no,43.80%
879,SOC_ASSIST_TOT_PCT,00207,"Social Assitance Services, Total",St and Local Government Securities   207 State and Local Government Securities State and Local Government Securities,43.80%
880,REMAINING,00320,Number of remaining units less any subsidized and transient units.,All Other noncurrent liabilities     320 All Other Non-current Liabilities All Other Noncurrent Liabilities,43.80%
881,MAJOR_ACT_CODE_WRTIN_TXT,00084,for added estabs,EI for Addition 4 EI for addition 4 EI for Addition 4,43.80%
882,RCPT_MOTR_USEDGD_PCT,00219,Analysis of Motor Carrier Operations: Used household and office good,Net Property Plant and Equipment     219 NET PPE Net PPE,43.80%
883,JOINT_COMPANY_ADDR_STREET_1,00327,"Investors,  Street Address of Company Investor 1",Stockholders Equity                  327 Stockholders Equity Stockholders Equity,43.80%
884,RCPT_1ESTAB,00044,Is this the only establishment of this firm?,EI of company who owns EI of company who owns EI of company who owns,43.80%
885,EXPS_COMPTR_OTHEQ_VAL,00110,Expensed computer hardware and other equipment,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses,43.80%
886,DIRECT_PREM_VEHPC_INS,00320,"Direct Premiums Earned,  Vehicle property and liability (casualty) insurance",All Other noncurrent liabilities     320 All Other Non-current Liabilities All Other Noncurrent Liabilities,43.80%
887,PRCH_COMPSVC,00219,"Purchased Communication services (Include telephone, cellular phones, Internet, fax, and related service contracts)",Net Property Plant and Equipment     219 NET PPE Net PPE,43.80%
888,COST_RESALE,00101,Products bought and sold as such without further processing,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",43.80%
889,ARU_INDUSTRY,00107,Alternate Reporting Unit:   Industry description,Other recurring non-operating income 107 Other Recurring Non-operating Income Other Recurring Non-operating Income,43.80%
890,INV_OTHNL_WRTIN_TXT,00214,Inventory Valuation Methods: Specify,Inventories                          214 Inventories Inventories,43.70%
891,RCPT_LEISURE_DVAL,00101,leisure  revenue,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",43.70%
892,RCPT_PRDSHIP_FED,00211,"Value of product shipped by customer in Puerto Rico,  Federal government",Trade Receivables from US Government 211 Trade Receivables from the U.S. Government Trade Receivables from the U.S. Government,43.70%
893,RCPT_SYSOFT_PERS_DVAL,00101,Personal Computer System Software revenue,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",43.70%
894,OWNSTAT_RACE_PHILI,00041,Race of majority ownership - Is the race of the majority ownership of this establishment Filipino?,Owned by another company-NO/YES Owned by another company - No/Yes Owned by another Company-No/Yes,43.70%
895,REVENUE_INST,P3PAY,QSS revenue instructions based on NAICS,PRIOR PRIOR PRIOR qt payroll from BR nan nan,43.60%
896,OPFRAN_FRAN_FRANCEE_ARCHIVE,00041,Was this establishment operating under any trademark(s) or brand name(s) authorized by a franchisor?,Owned by another company-NO/YES Owned by another company - No/Yes Owned by another Company-No/Yes,43.60%
897,TOTU1INT3,00215,"Total UnFurn Units, Third Intv",All Other Current Assets             215 All Other Current Assets All Other Current Assets,43.60%
898,COST3,00215,How many units available at third cost?,All Other Current Assets             215 All Other Current Assets All Other Current Assets,43.60%
899,GRANTS_TRANSFERS_NO_ARCHIVE,00110,"Did this establishment do any of the following:  Award grants, Make gifts or contributions, Make payments to, or on behalf of, specific individuals,  Pay assessments (dues) to the parent or other chapters of the same organization, or Transfer funds raised by this establishment to charities or other organizations for charitable purposes?",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses,43.60%
900,JOINT_COMPANY_ADDR_STREET_3,00327,"Investors,  Street Address of Company Investor 3",Stockholders Equity                  327 Stockholders Equity Stockholders Equity,43.60%
901,PHYSLOC_ON,00113,The state the domestic unit of the establishment is operating from.,Provision for income taxes (STATE)   113 Provision for Income Taxes (STATE) Provision for domestic income taxes (STATE),43.60%
902,RCPT_EXCISE_INCL,00101,Are excise taxes included in sales and receipts?,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",43.50%
903,RCPT_MOTR_AGR_DVAL,00101,Agricultural Products motor carrier revenue,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",43.50%
904,CAPEX_NEW_HWY_MACH,00103,"Capital Expenditures, New automobiles, trucks, etc. (Intended primarily for highway use.)",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses,43.50%
905,RD_EXPS_STAT,00103,Research and Development Expenses,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses,43.50%
906,TOTU3INT3,00215,"Total Coop Units, Third Intv",All Other Current Assets             215 All Other Current Assets All Other Current Assets,43.50%
907,PRCH_OTHEXPS_PY,00101,"All other purchased services, Prior year","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",43.50%
908,INCOM_UNIT_BROK_OTHER_PCT,00213,"Brokering and Dealing Products, Other",Trade Accnts and Notes Receivable    213 Trade Accounts and Trade Notes Receivable Trade Accounts and Trade Notes Receivable,43.50%
909,INV_PY_NONLIFO_TOT_DVAL,00101,Inventory Valuation Methods: PY non-LIFO Total,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",43.50%
910,AIES_TAXEXEMPT,00114,Indicator if taxable or tax-exempt KAU,Provision for income taxes           114 Provision for Income Taxes Provision for domestic income taxes,43.50%
911,EXPS_ADMIN_WRKPC_INS,00103,"Adminstrative Expenses, Workers' compensation insurance",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses,43.50%
912,MEDIA_SUB_TOT_PCT,00101,"Subscription Media,  Total","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",43.50%
913,TOTU3INT4,00215,"Total Coop Units, Fourth Intv",All Other Current Assets             215 All Other Current Assets All Other Current Assets,43.40%
914,RCPT_PRDSHIP_FOOD,00101,"Value of product shipped by customer in Puerto Rico,  Hotels, restaurants, food services, and drinking places","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",43.40%
915,SOMA_ST,00308,State,Domestic Income Taxes Accrued-State  308 Domestic Income Taxes Accrued (State) Domestic Income Taxes Accrued (State),43.40%
916,OWN_ST,00044,Owner state,EI of company who owns EI of company who owns EI of company who owns,43.40%
917,RCPT_ECOMM_NONMRCH_VAL,00213,Electronic Commerce (e-commerce) - Other non-merchandise,Trade Accnts and Notes Receivable    213 Trade Accounts and Trade Notes Receivable Trade Accounts and Trade Notes Receivable,43.40%
918,RCPT_NONPT_HCARE_PRVDRS_VAL,00101,Non-patient care revenue from health care providers for non-patient care,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",43.40%
919,PRCH_TRANS_OTHMOTOR,00213,"Purchased Transportation,  Other motor carriers",Trade Accnts and Notes Receivable    213 Trade Accounts and Trade Notes Receivable Trade Accounts and Trade Notes Receivable,43.40%
920,RECORD_STORENUM_TXT,00214,Store number,Inventories                          214 Inventories Inventories,43.30%
921,NAICS_SECTOR,CPAY,Most recent BR NAICS sector,current PAY from BR nan nan,43.30%
922,EXPS_PRCH_RESALE_AGBR_VAL,00101,Purchases of Products: AGBR,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",43.30%
923,RCPT_MEDICAID_VAL,00101,Net patient revenues from government payers: Medicaid,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",43.30%
924,EXPS_SUPPLY_MED_VAL,00216,Medical Supplies,Plant and Equipment                  216 Plant and Equipment Plant and Equipment,43.30%
925,JOINT_COMPANY_ADDR_STREET_5,00327,"Investors,  Street Address of Company Investor 5",Stockholders Equity                  327 Stockholders Equity Stockholders Equity,43.30%
926,PROD_QTYPRD_FELDSP_NONE,00217,"None for the question: If MINE_HERE = 1, report the quantity of feldspar mined and/or basically prepared for transport at this mine or pit",Land and Mineral rights              217 Land and Mineral Rights Land and Mineral Rights,43.20%
927,RCPT_ADV_SPACE_VAL,00101,Total Advertising Space Revenue,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",43.20%
928,RCPT_DIR_OTH_PCT,00101,"Source of directories, databases, and other collections of information Revenue: Other media","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",43.20%
929,RCPT_OTH_GOVPROG_VAL,00101,Net patient revenues from government payers: All other government programs,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",43.20%
930,RCPT_TOT_HOTEL_OWN_VAL,00101,Hotels owned or leased: Revenue,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",43.10%
931,PROD_QTYPRD_PERLT_NONE,00217,"None for the question: If MINE_HERE = 1, report the quantity of perlite mined and/or beneficiated at this mine or pit",Land and Mineral rights              217 Land and Mineral Rights Land and Mineral Rights,43.10%
932,PROD_WRTIN_9000000006,00101,"The description for Other revenue, not elsewhere classified based on specific template category","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",43.10%
933,PHYSLOC_MUNI,00207,"Physical Location,  Municipality",St and Local Government Securities   207 State and Local Government Securities State and Local Government Securities,43.10%
934,EXPS_TAX_VAL,00309,Purchased tax and license fees,Domestic Income Taxes Accrued        309 Domestic Income Taxes Accrued Domestic Income Taxes Accrued,43.10%
935,PRCH_ENT_ADVERT,00101,"Enterprise payments for other establishments,  Purchased advertising and promotional services","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",43.10%
936,COST7,00215,How many units available at seventh cost?,All Other Current Assets             215 All Other Current Assets All Other Current Assets,43.10%
937,PAY_DEPT,CPAY,"Steel Mill Department Wages, Steel department (furnaces) (through pouring stage)",current PAY from BR nan nan,43.00%
938,OWNSTAT_RACE_ASIANIND,00041,Race of majority ownership - Is the race of the majority ownership of this establishment Asian Indian?,Owned by another company-NO/YES Owned by another company - No/Yes Owned by another Company-No/Yes,43.00%
939,PROD_QTYPRD_MICA_NONE,00217,"None for the question: If MINE_HERE = 1, report the quantity of mica mined and/or beneficiated at this mine or pit",Land and Mineral rights              217 Land and Mineral Rights Land and Mineral Rights,43.00%
940,EXPS_ADMIN_ACCDNT_REINS,00103,"Adminstrative Expenses, Accident reinsurance",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses,43.00%
941,EMP_MAR12_SALES,00101,"Employment By Occupation, Sales employees (and support staff) selling directly to customers from this location","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",42.90%
942,RCPT_CLIENT_U_PRIV,00219,"Class of Customer, Private utilities (Include co-ops, etc.)",Net Property Plant and Equipment     219 NET PPE Net PPE,42.90%
943,EXPS_TRANSP_REP_VAL,00219,Purchased Repairs and Maintenance to Transportation Equipment,Net Property Plant and Equipment     219 NET PPE Net PPE,42.90%
944,PRCH_TEMPSTAF,00103,Purchased services for temporary staff and leased employees  (Professional Employer Organizations and staffing agencies for personnel),Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses,42.90%
945,EXPECTED,00219,Total building units minus program units minus transient units,Net Property Plant and Equipment     219 NET PPE Net PPE,42.90%
946,RCPT_CLIENT_S_TOT_PCT,00320,"Class of Customer,  Total Services",All Other noncurrent liabilities     320 All Other Non-current Liabilities All Other Noncurrent Liabilities,42.90%
947,PRCH_REFUSE_PY,P2PAY,"Water, sewer, refuse removal, and other non-electric utility payments   Prior Year",Prior Prior quarter payroll from BR nan nan,42.90%
948,PRCH_AUX_COMSFT,00110,"Auxiliary establishment,  expensed purchases of software",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses,42.90%
949,PROD_QTYPRD_RDGRAN_NONE,00217,"None for the question: If MINE_HERE = 1, report the quantity of rough dimension granite (including gneiss, syenite, and diorite) mined at this mine or pit",Land and Mineral rights              217 Land and Mineral Rights Land and Mineral Rights,42.80%
950,INV_PY_FIFO_VAL,00214,"Inventory Valuation Methods: PY, FIFO",Inventories                          214 Inventories Inventories,42.80%
951,EXPS_REPAIR_PCT,00103,Percentage of the expenses for maintenance and repairs that represents work done by your own employees as opposed to work done by contractors or other hired labor,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses,42.80%
952,INV_E_FIFO_VAL,00214,"Inventory Valuation Methods: CY, FIFO",Inventories                          214 Inventories Inventories,42.80%
953,RCPT_SYSOFT_ENTR_DVAL,00101,Enterprise or Network System Software revenue,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",42.80%
954,RCPT_SYSOFT_OTH_PCT,00101,Source of System Software Publishing Revenue: Other,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",42.80%
955,AFFIL_OWNER_ADDR_ZIP,00327,ZIP code of the owning or controlling company,Stockholders Equity                  327 Stockholders Equity Stockholders Equity,42.70%
956,OWNSTAT_RACE_OTH_WRTIN,00041,Race of majority ownership -The 'other' race from as indicated on the Race of Majority Ownership,Owned by another company-NO/YES Owned by another company - No/Yes Owned by another Company-No/Yes,42.70%
957,CLASS_AUX_NO_ARCHIVE,00061,"Auxiliary Establishments,  Was this establishment primarily engaged in providing management, administrative, or support services to other establishments of your enterprise (rather than for the general public or other business firms)?",Number of Subsidiary corps Number of Subsidiary Corporations Number of Subsidiary Corporations,42.60%
958,EXPS_BENEFIT_AH_REINS,00320,"Benefits Paid, Health and medical reinsurance",All Other noncurrent liabilities     320 All Other Non-current Liabilities All Other Noncurrent Liabilities,42.60%
959,EXPS_ADMIN_MEDPC_INS,00110,"Adminstrative Expenses, Medical malpractice insurance",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses,42.60%
960,BENEFIT_HEALTH_PY,P2PAY,Employer's cost for health insurance  Prior Year,Prior Prior quarter payroll from BR nan nan,42.60%
961,EXPS_ADMIN_HOMEPC_INS,00219,"Adminstrative Expenses,  Homeowners multiple peril insurance",Net Property Plant and Equipment     219 NET PPE Net PPE,42.60%
962,GOVOWN_YES,00207,Was this establishment operated by or under the control of a government entity or a board of directors either appointed by such an entity or publicly elected?,St and Local Government Securities   207 State and Local Government Securities State and Local Government Securities,42.60%
963,EMP_MAR12_PRDWRK_NUM,PPAY,Employment: Q1 production workers,Prior quarter payroll from br nan nan,42.60%
964,FUNDS_DEV_NONFED,00305,"Source of Research and Development Funds,  Non-federal sources outside your enterprise_x000D_
(Include receipts from other enterprises, state and local governments, and other organizations.)",Advances and Prepayments by U.S. Gov 305 Advances and Prepayments by the US GOV Advances and Prepayments by the U.S. Gov,42.50%
965,COST_VALUE_LAND,00219,Purchased cost of land or estimated value of raw land for reported construction projects,Net Property Plant and Equipment     219 NET PPE Net PPE,42.50%
966,PAY_ANN_LSD_INFO_SERVICES,PPAY,Leased Annual Payroll from Info Services Clients,Prior quarter payroll from br nan nan,42.50%
967,JOINT_COMPANY_ADDR_STREET_2,00327,"Investors,  Street Address of Company Investor 2",Stockholders Equity                  327 Stockholders Equity Stockholders Equity,42.50%
968,TOTU3INT1,00219,"Total Coop Units, First Intv",Net Property Plant and Equipment     219 NET PPE Net PPE,42.50%
969,IA_PAPER_TYPOP_SELFDSG_20,00022,IA TYPOP Code - Manufacturers' sales branch or office,EI of corp Employer Identification Number Employer Identification Number,42.50%
970,PRCH_TRANS_COST_OTH,00101,"Purchased Transportation,  Other (Include pickup, delivery, and transfer service.)","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",42.50%
971,PAT_CARE_OUT_OTHER_PCT,00103,"Patient Care, Other, including outpatient health facility services",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses,42.40%
972,ELEC_SOLD_KWH,00219,Quantity of electricity sold or transferred to other domestic reporting units,Net Property Plant and Equipment     219 NET PPE Net PPE,42.40%
973,COST_AUX_INS,00103,"Auxiliary establishments,  Cost of insurance",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses,42.40%
974,AFFIL_FOR_ADDR_CITY,00061,"City of the foreign entity (company, individual, government, etc.)",Number of Subsidiary corps Number of Subsidiary Corporations Number of Subsidiary Corporations,42.40%
975,CLASS_GOV_FED,00211,"Class of Customer,  Federal government",Trade Receivables from US Government 211 Trade Receivables from the U.S. Government Trade Receivables from the U.S. Government,42.40%
976,COST4,00215,How many units available at fourth cost?,All Other Current Assets             215 All Other Current Assets All Other Current Assets,42.40%
977,EXPS_REFUSE_VAL,00110,"Water, Sewer, Refuse Removal, and Other Utility Payments",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses,42.40%
978,RCPT_CLIENT_S_FEDGOV,00211,"Class of Customer, Federal government",Trade Receivables from US Government 211 Trade Receivables from the U.S. Government Trade Receivables from the U.S. Government,42.40%
979,PROD_QTYPRD_CBGRAN_NONE,00217,"None for the question: If MINE_HERE = 1, report the quantity of crushed or broken granite (including gneiss, syenite, and diorite) mined at this mine or pit",Land and Mineral rights              217 Land and Mineral Rights Land and Mineral Rights,42.40%
980,RCPT_SYSOFT_PUB_VAL,00101,Total System Software Publishing Revenue,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",42.30%
981,VALUE_ADDED_DVAL,00117,"Value Added formula from ASM/EC mfg, uses the recently created derived 'total costs'  Additions and Subtractions can be sequenced differently if needed",Cumulative Effect of Accting Changes-117 Cumulative Effect of Accounting Changes Cumulative Effect of Accounting Changes,42.30%
982,CAPEX_NEWCON_DOL,00219,"Capital Expenditures for new construction, including renovation",Net Property Plant and Equipment     219 NET PPE Net PPE,42.30%
983,RCPT_BOOK_ONLINE_PCT,00101,Source of Book Revenue: Online,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",42.30%
984,HOUSE_SNGL_ATTACH_LAND,00219,"Houses built for customers on their land,  Number of Attached (single-family homes separated by an unbroken ground to roof wall with separate utility meters: townhomes, duplexes, row-homes)",Net Property Plant and Equipment     219 NET PPE Net PPE,42.30%
985,EXPS_MACH_REP_VAL,00219,"Rent payments, machinery",Net Property Plant and Equipment     219 NET PPE Net PPE,42.30%
986,EXPS_RESALE_VAL,00101,Resales,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",42.30%
