,MDR's Variable,Variable Source,MDR's Description,Source's Description,similarity_score,Actual MDR's Variable
731,RCPT_MOTR_NEWFRN_DVAL,B_SALES_TOT_US,New Furniture & Misc. Prods motor carrier revenue,"Amount of sales, revenue, and grants from domestic operations",50.60%,SALES_US_TOT_VAL
732,EMP_MAR12,B_EMPNUM_W2_TOTAL,Total Employment,Total number of W2 paid employees and owners,50.60%,EMP_W2_TOT_DNUM
733,PRCH_AUX_COMMSVC,B_ACTIVITYUC_INFO ,"Auxiliary establishment, purchased communication services",Yes/No if domestic unaffiliated companies conducted information and communication tech services for this business,50.60%,UNAFFIL_US_INFOTEC_STAT
734,PATREV_HLTHCARE,B_SALES_PCT_SERVICE,Patient Care Revenue:  Medicare - Fee for service and managed care plans,"Percent of domestic sales, revenues, and grants coming from selling services to customers",50.50%,SALES_SERVICE_PCT
735,PRCH_COMMSVC_PY,B_CEASED_MONTH,Purchased communication services   Prior Year,Month the business ceased operation,50.50%,OPSTAT_CEASED_MONTH_DATE
736,ELEC_SOLD_KWH,B_OPEXPENSE ,Quantity of electricity sold or transferred to other domestic reporting units,Total domestic operating expenses,50.50%,EXPS_TOT_VAL
737,EXPS_TAX_VAL,B_RDFUND_US_STLOC,Governmental Taxes and License Fees,Domestic R&D costs paid by U.S. state or local government,50.50%,FUNDS_RD_US_LOCGOV_VAL
738,OPSTATS,B_FREQKPI,"Indicates the end-of-year operational status by using collected fields OPSTAT_STAT, ACTV_MIO_NUM, as well as the Business Register's COV_CHG_CODE.",How frequently key performance indicators are monitored by this business,50.50%,KPI_MONITOR_FREQ_CODE
739,RCPT_PAT_IN_PCT,B_SALES_PCT_SERVICE,Inpatient/Outpatient Revenue: Inpatient care services,"Percent of domestic sales, revenues, and grants coming from selling services to customers",50.50%,SALES_SERVICE_PCT
740,COST_LABOR_PRD,B_CONTRACTOUT,Contract labor for production,Yes/No if business contracted out manufacturing tasks,50.50%,MAN_CONTRACTOUT_STAT
741,MERCH_RESALE_PCT,B_SALES_PCT_GOODS,"Merchandise Sales,  Product resales (products purchased by this establishment from others and sold without further processing or transformation; or sold on a commission basis)","Percent of domestic sales, revenues, and grants coming from selling goods to customers",50.50%,SALES_GOODS_PCT
742,INCOM_EXPS_RECURR_DBCRD_TXT,B_EXPCOST_OTH ,Other recurring nonoperating income (expenses) - principal debits and credits that contribute - Description,All other R&D capital expenditures,50.50%,CAPEX_RD_OPS_OTH_VAL
743,INCOM_LOAN_OTHHOM_TOT_PCT,B_SALES_PCT_GOODS,"Loan Products Income, Other secured or guaranteed home loans to consumers - includes home eqty loans, Total","Percent of domestic sales, revenues, and grants coming from selling goods to customers",50.50%,SALES_GOODS_PCT
744,PRCH_OTHEXPS_PY,B_CEASED_MONTH,"All other purchased services, Prior year",Month the business ceased operation,50.40%,OPSTAT_CEASED_MONTH_DATE
745,RCPT_MOTOR_TOT_PCT,B_SALES_TOT_US,"Trucking Revenue,  Total","Amount of sales, revenue, and grants from domestic operations",50.40%,SALES_US_TOT_VAL
746,RCPT_APSOFT_PERS_PCT,B_EXPCOST_TECH,Source of Application Software Publishing Revenue: Personal,R&D capital expenditures for software,50.40%,CAPEX_RD_OPS_TECH_VAL
747,EXPS_ADMIN_AH_REINS,B_EXPCOST_BLDG,"Adminstrative Expenses, Health and medical reinsurance",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,50.40%,CAPEX_RD_OPS_BLDG_VAL
748,RCPT_FOOD_CNTRC_OFFICE,B_COOP,"Contract Feeding,  Commercial offices and office buildings","Clients or customers from the public sector: public sector includes government owned organizations such as local, regional and national administrations and agencies, schools, hospitals, and government providers of services such as security, transport, housing, energy, etc. ",50.40%,COOP_PARTNER_LOC_CHKBOX
749,MRCH_NONMERCH_EC_DVAL,B_SALES_PCT_GOODS,non-merchandise ecommerce derived estimate,"Percent of domestic sales, revenues, and grants coming from selling goods to customers",50.30%,SALES_GOODS_PCT
750,RCPT_MOTR_WOOD_DVAL,B_CONTRACTIN_TYPE ,"Wood Products, Textiles, Leather motor carrier revenue",Types of companies that this business performed manufacturing for,50.30%,MAN_CONTRACTIN_CHKBOX
751,RCPT_GROWN_GT50_YES_ARCHIVE,B_IMPROCESS_MAN ,Were more than half of the total sales and receipts of this establishment derived from items grown by this establishment?,Whether the business introduced new or improved methods for producing goods or providing services,50.30%,IMPROCESS_MAN_STAT
752,INV_MAT_END,B_EXPCOST_EQUIP,"Inventories, Materials, supplies, fuels, etc., End of Year",R&D capital expenditures for equipment,50.30%,CAPEX_RD_OPS_EQUIP_VAL
753,PATREV_GOV_MDCAID,B_SALES_PCT_GRANT,Patient Care Revenue:  Medicaid - Fee for service and managed care plans,"Percent of domestic sales, revenues, and grants coming from selling services to customers",50.30%,SALES_GRANT_PCT
754,OPSTAT_MERGED_DATE,O1_OTH_BUS_WIN,Corporation status - Merged date,Other status of the previous business Owner 1 started most recently,50.20%,PREV_BUS_OWN_TXT
755,RECORD_NAME2,O2_NAME_TITLE,The secondary name,Name of second owner,50.20%,OWNER2_NAME
756,RCPT_CUST_LOCTEL_BUS_DVAL,B_ACTIVITYUC_INFO ,Fixed Local Tel - Gov & Business revenue,Yes/No if domestic unaffiliated companies conducted information and communication tech services for this business,50.20%,UNAFFIL_US_INFOTEC_STAT
757,PAY_QTR1_PY,FYEND_MONTH,First Quarter Payroll   Prior Year,Month that fiscal year ends ,50.20%,FY_END_DATE
758,CLASS_GOV_COMWLTH,B_COOP,"Class of Customer,  Commonwealth government","Clients or customers from the public sector: public sector includes government owned organizations such as local, regional and national administrations and agencies, schools, hospitals, and government providers of services such as security, transport, housing, energy, etc. ",50.20%,COOP_PARTNER_LOC_CHKBOX
759,ROBOT_PURCHASE_WRTIN,AIQUALC,Number of industrial robots PURCHASED for this plant write-in description,What extent did this company use artificial intelligence (including machine learning algorithms in software applications) to support equipment maintenance                                                       ,50.20%,AI_QUAL_CTRL_CODE
760,ROBOT_PURCHASE,AIQUALC,Number of industrial robots PURCHASED for this plant,What extent did this company use artificial intelligence (including machine learning algorithms in software applications) to support equipment maintenance                                                       ,50.20%,AI_QUAL_CTRL_CODE
761,INV_E_NONLIFO_TOT_DVAL,TCPEX,Inventory Valuation Methods: CY non-LIFO Total,Total capital expenditures,50.20%,CAPEX_TOT_VAL
762,TAX_DOM_SL_VAL,B_RDFUND_US_STLOC,Provision for current and deferred domestic income taxes - State and local,Domestic R&D costs paid by U.S. state or local government,50.10%,FUNDS_RD_US_LOCGOV_VAL
763,ROOM_RENT_TOT,EXPNS,"Accomodations,  Number of rooms, units, or quarters Total",Amount of total expenses,50.10%,EXPS_TOT_VAL
764,INV_VAL_TOT_BGN,TCPEX,"Inventories by Valuation Method, Total LIFO and Non-LIFO valuation methods, Beginning of Year",Total capital expenditures,50.10%,CAPEX_TOT_VAL
765,PRCH_ENT_ADVERT,B_ACTIVITYUFC_SALE ,"Enterprise payments for other establishments,  Purchased advertising and promotional services",Yes/No if foreign affiliated companies conducted marketing or sales services for this business,50.10%,AFFIL_NONUS_SALES_STAT
766,RCPT_OTH_GOVPROG_VAL,COPYZSTAT,Net patient revenues from government payers: All other government programs,Total amount of research funds that came from state and local governments,50.10%,EXPS_RSRCH_ST_LOC_TOT_VAL
767,DEFNS_SHIPM_RCPT,B_SALES_TOT_US,"Sales, shipments, receipts, or revenue generated where the Department of Defense (DOD) was the ultimate customer.","Amount of sales, revenue, and grants from domestic operations",50.10%,SALES_US_TOT_VAL
768,NPATREV_INVPROP,B_SALES_PCT_US_TOT,"Non-Patient Care Revenue,  Investment and property income - Include interest and dividends. Exclude gains (losses) from assets sold.","Write-in of other sales, revenue, and grant sourcesTotal percent entered from domestic sales questions",50.10%,SALES_US_TOT_DPCT
769,INV_LIFO_COST,B_SALES_PCT_US_TOT,"Inventories, Amount subject to Last-In, First-Out (LIFO) gross (gross LIFO amount) before adjustment","Write-in of other sales, revenue, and grant sourcesTotal percent entered from domestic sales questions",50.00%,SALES_US_TOT_DPCT
770,INV_WRKPROC_END,B_DIFF_TARGETS,"Inventories, Work-in-process, End of Year",Amount of effort it took to meet production targets,50.00%,PROD_TARG_EFFORT_CODE
771,TAX_EXEMPT_NO_ARCHIVE,B_COLLABNP_LICENSED ,Was all or part of the income of this establishment or organization exempt from Federal income taxes under section 501 of the Internal Revenue Code?,Yes/No if business licensed or purchased IP from a nonprofit,50.00%,COLLABNP_LICENSED_STAT
772,PROP_MAR12_OSTEO,AFFILWI ,"Proprietor or Partner by Occupation, Osteopathic physicians - licensed practitioners having D.O. degree",Details on affiliated organization ,50.00%,AFFIL_ORG_TXT
773,ARU_TOT_ESTAB,B_NUMKPI,Alternate Reporting Unit:   Total establishment count,Number of key performance indicators monitored by this business ,50.00%,KPI_MONITOR_NUM
774,EXPS_RENT_BUILD_VAL,B_EXPCOST_BLDG,"Lease and Rental Payments for Land, Buildings, and Other Structures",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,50.00%,CAPEX_RD_OPS_BLDG_VAL
775,MAIL_ADDR_STREET_TXT,"
RESP_TITLE   ",Company Mailing Address: Street,Contact Information: Title,50.00%,CERT_TITLE_TXT
776,EXPS_PRCH_RESALE_VAL,B_SALES_PCT_GOODS,Purchases of Products for Resale,"Percent of domestic sales, revenues, and grants coming from selling goods to customers",49.90%,SALES_GOODS_PCT
777,EMP_MAR12_PRCHSTAFF,EMPC,"Employment By Occupation, Procurement/purchasing staff",Number of contract employes working on research activities,49.90%,EMP_RSRCH_CONTRACT_NUM
778,RCPT_ADV_OTH_DVAL,B_SALES_PCT_SERVICE,all other advertising revenue,"Percent of domestic sales, revenues, and grants coming from selling services to customers",49.90%,SALES_SERVICE_PCT
779,RCPT_PER_PUB_VAL,B_SALES_TOT ,Total Periodical Revenue,"Amount of worldwide and domestic sales, revenue, and grants",49.90%,RCPT_ALL_TOT_VAL
780,CLASS_INDPRD,B_CONTRACTIN_TYPE ,"Class of Customer,  Manufacturing and mining industrial users for use as input goods in production",Types of companies that this business performed manufacturing for,49.90%,MAN_CONTRACTIN_CHKBOX
781,AFFIL_OWNER_ADDR_STREET,O1_NAME_TITLE,Street Address of the owning or controlling company,Name of first owner,49.90%,OWNER1_NAME
782,RECORD_NAME2_TXT,RESP_CONTACT_NAME ,Physical Address: Name 2,Contact Information: Name,49.90%,CERT_NAME_TXT
783,RCPT_MOTOR_LOCAL,B_SALES_TOT_US,"Trucking Revenue,  LOCAL (motor carrier service within a single metropolitan area and its adjacent nonurban areas, which may cross state lines)","Amount of sales, revenue, and grants from domestic operations",49.90%,SALES_US_TOT_VAL
784,INV_WRKPROC_BGN,B_BUSTARGET,"Inventories, Work-in-process, Beginning of Year",The timeframe that the business focused on for production targets,49.90%,PROD_TARG_TIMEFRM_CODE
785,AFFIL_FOR_NAME,B_RDFUND_FR_OTHER,"Name of the foreign entity (company, individual, government, etc.)",Domestic R&D costs paid by all other foreign organizations,49.90%,FUNDS_RD_FORGN_OTH_VAL
786,RCPT_CONTRACT_FOOD,B_CONTRACTOUT,"Contract Work done by customer in Puerto Rico, Hotels, restaurants, food services, and drinking places",Yes/No if business contracted out manufacturing tasks,49.90%,MAN_CONTRACTOUT_STAT
787,HOURS_PRDWRK_NUM,O1_REASON_FLEXIBLEHRS,Production Worker Hours,Reason for owning business: Flexible hours,49.90%,OWNING_REASON_FLEXIBLEHRS_CODE
788,ROBOT_ACTIVE,AIQUALC,Number of industrial robots IN OPERATION at this plant,What extent did this company use artificial intelligence (including machine learning algorithms in software applications) to support equipment maintenance                                                       ,49.80%,AI_QUAL_CTRL_CODE
789,AFFIL_OWNER_EIN_NUM,B_OWNERNUM,Ownership or Controlling Company: EIN,Number of owners of the business,49.80%,OWNER_NUM_STAT
790,AFFIL_SPL_RCPT_TOT,B_SALES_PCT_US_TOT,"Added child establishment,  Total Sales, Shipments, Receipts or Revenue","Write-in of other sales, revenue, and grant sourcesTotal percent entered from domestic sales questions",49.80%,SALES_US_TOT_DPCT
791,PAY_QTR1_PRDWRK_VAL,WEMP,First Quarter Payroll - Production Workers,Number of employees as of March 12th,49.80%,EMP_MAR12_NUM
792,INCOM_LOAN_XMORVEH_TOT_PCT,B_SALES_PCT_GOODS,"Loan Products Income, Secured or guaranteed loans to consumers, except mortgage and vehicle loans, Total","Percent of domestic sales, revenues, and grants coming from selling goods to customers",49.80%,SALES_GOODS_PCT
793,EMP_SUM_AVGOTH_PY,B_EMPNUM_W2_TOTAL,Manufacturing:  Sum of Average Annual Production Workers and Other non production employees   Prior Year,Total number of W2 paid employees and owners,49.80%,EMP_W2_TOT_DNUM
794,RCPT_TELEMED_VAL,B_SALES_PCT_SERVICE,Revenues from Telemedicine Services: Revenue,"Percent of domestic sales, revenues, and grants coming from selling services to customers",49.80%,SALES_SERVICE_PCT
795,RCPT_CONTRACT_CENTRAL,B_CONTRACTOUT_TYPE,"Contract Work done by customer location,  Central America, South America, and Caribbean Zone",Type of companies that manufacturing was contracted out to ,49.80%,MAN_CONTRACTOUT_CHKBOX
796,INV_LIFO_COST_END,B_SALES_PCT_US_TOT,"Inventories, Amount subject to Last-In, First-Out (LIFO) gross (gross LIFO amount) before adjustment,  End of Year","Write-in of other sales, revenue, and grant sourcesTotal percent entered from domestic sales questions",49.80%,SALES_US_TOT_DPCT
797,AFFIL_SPL_ROOM_RENT_TOT,B_SALES_PCT_US_TOT,"Added child establishment,   Total Sales, Shipments, Receipts or Revenue","Write-in of other sales, revenue, and grant sourcesTotal percent entered from domestic sales questions",49.80%,SALES_US_TOT_DPCT
798,SUBSID_NONCONSOL_NUM,EXTERNALCPA,Number of corporations not consolidated in this report,"Did this company retain an external Certified Public Accountant to conduct an audit, review, or compilation of its financial statements",49.80%,CPA_EXTRN_RETAIN_CODE
799,CLASS_REPAIR,B_COOP,"Class of Customer,  Repair shops for use in repair work","Suppliers of equipment, materials, components, or software outside your business group ",49.70%,COOP_PARTNER_LOC_CHKBOX
800,LEASED_AUX_TEMP,EXPNS,"Auxiliary establishment, Temporary staff and leased employee expense ",Amount of total expenses,49.70%,EXPS_TOT_VAL
801,RCPT_PRDSHIP_HOUSE,B_SALES_PCT_GOODS,"Value of product shipped by customer in Puerto Rico,  Household consumers","Percent of domestic sales, revenues, and grants coming from selling goods to customers",49.70%,SALES_GOODS_PCT
802,EMP_MAR12_OTHMAN,B_TYPS_WRKS,"Employment By Occupation, Other management staff",Types of workers that were used by the business,49.70%,WRKR_TYPE_CHKBOX
803,EMP_MAR12_OTH,B_TYPS_WRKS,"Employment By Occupation, Other",Types of workers that were used by the business,49.70%,WRKR_TYPE_CHKBOX
804,HOURS_FORGE,B_TYPS_WRKS,"Steel Mill Department Worker Hours,  Forging (presses, hammers, or upsetter), excluding manufacture of nuts, bolts, etc.",Types of workers that were used by the business,49.70%,WRKR_TYPE_CHKBOX
805,RENT_PAY_AUX_BUILD,B_EXPCOST_BLDG,"Auxiliary establishments,  Lease and rental payments for land, buildings, structures, store spaces, and offices",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,49.70%,CAPEX_RD_OPS_BLDG_VAL
806,EXPS_RENT_MACH_VAL,B_EXPCOST_EQUIP,"Lease and Rental Payments for Machinery, Equipment, and Other Tangible Items",R&D capital expenditures for equipment,49.70%,CAPEX_RD_OPS_EQUIP_VAL
807,INCOM_LOAN_VEH_TOT_PCT,B_CRDSRC_OTHER_WIN,"Loan Products Income, Consumer vehicle loans, Total",Write-in of what lenders the business applied for new credit with ,49.60%,CREDIT_SRCS_OTH_WRTIN_TXT
808,PRCH_REPAIR_PY,B_CEASED_MONTH,Purchased repairs and maintenance to buildings and/or machinery and equipment  Prior Year,Month the business ceased operation,49.60%,OPSTAT_CEASED_MONTH_DATE
809,EXPS_COMPTR_OTHEQ_VAL,B_EXPCOST_EQUIP,Computer Hardware and Other Equipment,R&D capital expenditures for equipment,49.60%,CAPEX_RD_OPS_EQUIP_VAL
810,EXPS_ADMIN_PROC,EXPNS,"Adminstrative Expenses, Providing claims processing and other administrative services for other parties",Amount of total expenses,49.60%,EXPS_TOT_VAL
811,BENEFIT,B_RDEXP_DOM_EMPL,"Fringe Benefits, Total","Amount of domestic R&D costs going to salaries, wages, and benefits",49.50%,EXPS_RD_DOM_EMP_VAL
812,EMP_DEC12_PRDWRK_PY,WEMP,"Fourth Quarter Employment,  Production Workers  Prior Year",Number of employees as of March 12th,49.50%,EMP_MAR12_NUM
813,ARU_INDUSTRY,B_FREQKPI,Alternate Reporting Unit:   Industry description,How frequently key performance indicators are monitored by this business,49.50%,KPI_MONITOR_FREQ_CODE
814,PRCH_AUX_REPAIR_MACH_V,B_COOP,"Auxiliary establishment, purchased repairs and maintenance to machinery, vehicles, and equipment","Suppliers of equipment, materials, components, or software outside your business group ",49.50%,COOP_PARTNER_LOC_CHKBOX
815,PAY_QTR1,WZWAGE,First Quarter Payroll,Amount of internal research funds allocated to payroll for internal employees,49.50%,EXPS_RSRCH_PAYROLL_VAL
816,HOTEL_MNG_NAME_TXT,B_COOP,Management of Hotel: Name of management company,Companieswithin the business group ,49.50%,COOP_PARTNER_LOC_CHKBOX
817,RCPT_ECOMM_THRD_STAT,B_ACTIVITYUFC_INFO,Revenue from Electronic Sources: Third-party,Yes/No if foreign unaffiliated companies conducted information and communication tech services for this business,49.50%,UNAFFIL_NONUS_INFOTEC_STAT
818,HOURS_ROLL_WIRE,B_TYPS_WRKS,"Steel Mill Department Worker Hours,  Wiredrawing mills",Types of workers that were used by the business,49.50%,WRKR_TYPE_CHKBOX
819,HOUSEKEEP,B_IMPROCESS_ADMIN ,Management provides housekeeping?,Whether the business introduced new or improved methods for administration and management activities,49.50%,IMPROCESS_ADMIN_STAT
820,PAY_QTR1_VAL,WZWAGE,First quarter payroll,Amount of internal research funds allocated to payroll for internal employees,49.50%,EXPS_RSRCH_PAYROLL_VAL
821,ADDR_STREET,"
RESP_TITLE   ",Mailing Address Street,Contact Information: Title,49.40%,CERT_TITLE_TXT
822,RCPT_CONWRK,B_CONTRACTOUT,"Contract Work done by customer location,",Yes/No if business contracted out manufacturing tasks,49.40%,MAN_CONTRACTOUT_STAT
823,RCPT_CONTRACT_PR,B_CONTRACTOUT,"Contract Work done by customer location, Puerto Rico",Yes/No if business contracted out manufacturing tasks,49.40%,MAN_CONTRACTOUT_STAT
824,INCOM_LOAN_NFBUS_OTH_PCT,B_SALES_PCT_GRANT,"Loan Products Income, Loans to non-financial businesses, Other Fees","Percent of domestic sales, revenues, and grants coming from selling services to customers",49.40%,SALES_GRANT_PCT
825,PRCH_AUX_REPAIR_MACH,B_COOP,"Auxiliary establishment, purchased repairs and maintenance to machinery and equipment","Suppliers of equipment, materials, components, or software outside your business group ",49.40%,COOP_PARTNER_LOC_CHKBOX
826,AFFIL_SPL_PAY_ANN,B_EMPNUM_UNPAID,"Added child establishment,   Total Annual Payroll",Number of individuals who did work for the business but were unpaid,49.40%,EMP_UNPAID_NUM
827,INV_LIFO_COST_BGN,B_SALES_PCT_US_TOT,"Inventories, Amount subject to Last-In, First-Out (LIFO) gross (gross LIFO amount) before adjustment,  Beginning of Year","Write-in of other sales, revenue, and grant sourcesTotal percent entered from domestic sales questions",49.40%,SALES_US_TOT_DPCT
828,IA_PAPER_TYPOP_SELFDSG_20,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",IA TYPOP Code - Manufacturers' sales branch or office,Contact Information: Phone,49.40%,CERT_PHONE_NUM
829,RCPT_CLIENT_S_HOSP,B_COOP,"Class of Customer, Hospitals and other health care services","Clients or customers from the public sector: public sector includes government owned organizations such as local, regional and national administrations and agencies, schools, hospitals, and government providers of services such as security, transport, housing, energy, etc. ",49.40%,COOP_PARTNER_LOC_CHKBOX
830,EXPS_FRNG_BENEFIT_VAL,B_RDEXP_DOM_EMPL,Employer's Cost for Fringe Benefits,"Amount of domestic R&D costs going to salaries, wages, and benefits",49.40%,EXPS_RD_DOM_EMP_VAL
831,EXPS_CONTRACT_VAL,WZTEMP,Cost of contract work,Amount of internal research funds allocated to contract employees ,49.40%,EXPS_RSRCH_CONTRACT_VAL
832,TOTU4INT4,O4_PCT_OWNED ,"Total Condo Units, Fourth Intv",Percent owned by fourth owner,49.30%,OWNER4_PCT
833,TOC_ADD_398,B_EXPCOST_BLDG,"Percent of Construction Work for Other Types of Construction Additions, Alterations, or Reconstruction",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,49.30%,CAPEX_RD_OPS_BLDG_VAL
834,RCPT_CONTRACT_OTH,B_CONTRACTOUT,"Contract Work done by customer in Puerto Rico,  Other customers",Yes/No if business contracted out manufacturing tasks,49.30%,MAN_CONTRACTOUT_STAT
835,PROP_MAR12_PHYS,B_OPR ,"Proprietor or Partner by Occupation, Doctors/Physicians - licensed practitioners having M.D. degree",Business operated equally by both spouses or unmarried partners,49.30%,EQUAL_OP_CODE
836,RCPT_BOOK_PUB_VAL,B_SALES_TOT ,Total Book Revenue,"Amount of worldwide and domestic sales, revenue, and grants",49.30%,RCPT_ALL_TOT_VAL
837,DEFNS_SHIPM_NDP_NO_ARCHIVE,B_ACTIVITYUFC_LOG ,Did this establishment ship national defense related products?,Yes/No if foreign affiliated companies conducted distribution and logistics for this business,49.20%,AFFIL_NONUS_LOGSTC_STAT
838,PAY_MANOTH,B_TYPS_WRKS,"Steel Mill Department Wages,  Other manufacturing or fabricating departments_x000D_
(nuts, bolts, steel containers, etc.)",Types of workers that were used by the business,49.20%,WRKR_TYPE_CHKBOX
839,INCOM_EXPS_EXTROR_DBCRD_VAL,B_CAPEXP_TOTAL,"Extraordinary gains (losses), net of taxes - principal debits and credits that contribute - Amount",Amount of capital expenditures,49.20%,CAPEX_TOT_VAL
840,PRCH_AUX_TAX,B_OPEXPENSE ,"Auxiliary establishment, governmental taxes and license fees (Exclude sales, excise, and income taxes.)",Total domestic operating expenses,49.20%,EXPS_TOT_VAL
841,AFFIL_FOR_MAIL_ADDR_TXT,O3_NAME_TITLE,"Foreign Ownership or Control:_x000D_
Mailing Address",Name of third owner,49.20%,OWNER3_NAME
842,EXPS_BENEFIT_TOT,EXPNS,"Benefits Paid, Total",Amount of total expenses,49.10%,EXPS_TOT_VAL
843,RCPT_BILL_PAY_PCT,B_SALES_PCT_SERVICE,Source of Billings and Fees Revenue: Payroll,"Percent of domestic sales, revenues, and grants coming from selling services to customers",49.10%,SALES_SERVICE_PCT
844,RCPT_COMSN,B_CONTRACTIN_TYPE ,Did this establishment earn commissions for the sale of merchandise?,Types of companies that this business performed manufacturing for,49.10%,MAN_CONTRACTIN_CHKBOX
845,EXPS_TEMPSTAF_VAL,WZTEMP,Temporary staff and leased employee expense,Amount of internal research funds allocated to contract employees ,49.10%,EXPS_RSRCH_CONTRACT_VAL
846,EXPS_TEMPSTAF_VAL,WZTEMP,Temporary Staff and Leased Employee Expense,Amount of internal research funds allocated to contract employees ,49.10%,EXPS_RSRCH_CONTRACT_VAL
847,PHYSLOC_ON,B_RDTAX_STATE,The state the domestic unit of the establishment is operating from.,The state in which the business filed for a tax credit for increasing research activities,49.10%,RSRCH_TAXCRED_ST
848,INV_E_TOT_DVAL,B_EXPCOST_EQUIP,"Inventories, total, EOY, current year",R&D capital expenditures for equipment,49.10%,CAPEX_RD_OPS_EQUIP_VAL
849,INV_VAL_TOT_END,TCPEX,"Inventories by Valuation Method, Total LIFO and Non-LIFO valuation methods, End of Year",Total capital expenditures,49.00%,CAPEX_TOT_VAL
850,HOURS_ROLL_OTH,B_TYPS_WRKS,"Steel Mill Department Worker Hours,  Other mills, including semifinishing, plate, and structural",Types of workers that were used by the business,49.00%,WRKR_TYPE_CHKBOX
851,ADD_SELFDSG_WRTIN,O1_OTH_BUS_WIN,"Added establishment,  principal business or activity write-in description",Other status of the previous business Owner 1 started most recently,49.00%,PREV_BUS_OWN_TXT
852,RCPT_C_OWN_PRVT,B_OWNERNUM,"Ownership of Construction projects,  Private businesses and individuals",Number of owners of the business,49.00%,OWNER_NUM_STAT
853,EMP_MAR12_CAO,WTSUP,"Employment By Occupation, General support of other establishments in your company - including central administrative, accounting, research, and other support employees",Number of employees working on research activities who were other support personnel ,49.00%,EMP_MAR12_RSRCH_SUPP_NUM
854,PRCH_COMPSVC,B_ACTIVITYUC_INFO ,"Purchased Communication services (Include telephone, cellular phones, Internet, fax, and related service contracts)",Yes/No if domestic unaffiliated companies conducted information and communication tech services for this business,49.00%,UNAFFIL_US_INFOTEC_STAT
855,EXPS_ADMIN_VEHPC_INS,B_EXPCOST_BLDG,"Adminstrative Expenses, Vehicle property and liability (casualty) insurance",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,48.90%,CAPEX_RD_OPS_BLDG_VAL
856,PAY_ANN_PRDWRK,WZWAGE,Annual Payroll for Production Workers,Amount of internal research funds allocated to payroll for internal employees,48.90%,EXPS_RSRCH_PAYROLL_VAL
857,RCPT_ECOMM_HOTEL_OWN3RD_VAL,B_ACTIVITYUC_ADMIN ,Hotel Management Owned by Others: Revenue from electronic sources,Yes/No if domestic unaffiliated companies conducted administrative or management functions for this business,48.90%,UNAFFIL_US_ADMIN_STAT
858,RENT_PAY_AUX_MACH,B_COOP,"Auxiliary establishments,  Lease and rental payments for machinery, equipment, and other tangible items","Suppliers of equipment, materials, components, or software outside your business group ",48.90%,COOP_PARTNER_LOC_CHKBOX
859,PROP_MAR12_HLTHOTH,B_OPR ,"Proprietor or Partner by Occupation, All other health care employees (Include management and administrative staff.)",Business operated equally by both spouses or unmarried partners,48.90%,EQUAL_OP_CODE
860,PAY_ANN_PRDWRK_VAL,WZWAGE,Annual payroll for Production workers,Amount of internal research funds allocated to payroll for internal employees,48.90%,EXPS_RSRCH_PAYROLL_VAL
861,EMP_DEC12_CONWRK,WEMP,"Fourth Quarter Employment,  Construction Workers",Number of employees as of March 12th,48.80%,EMP_MAR12_NUM
862,CLASS_FOOD,B_COOP,"Class of Customer,  Restaurants, hotels, food services, and contract feeding",Companies that are the clients or customers outside the business group,48.80%,COOP_PARTNER_LOC_CHKBOX
863,EMP_SUM_PRDWRK_PY,B_EMPNUM_W2_TOTAL,Manufacturing:  Sum of Production Workers Prior Year,Total number of W2 paid employees and owners,48.80%,EMP_W2_TOT_DNUM
864,RCPT_MOTR_GRAIN_DVAL,B_SALES_PCT_GOODS,"Grains, Alcohol, Tobacco Products motor carrier revenue","Percent of domestic sales, revenues, and grants coming from selling goods to customers",48.80%,SALES_GOODS_PCT
865,TOC_ADD_397,CPSTR,"Percent of Construction Work for Building Construction Additions, Alterations, or Reconstruction",Total capital expenditures for research operations that went towards buildings and land improvement,48.80%,CAPEX_RSRCH_BUILD_VAL
866,HUS_BEST,B_OWNERNUM,Number of HUs in the building,Number of owners of the business,48.70%,OWNER_NUM_STAT
867,RCPT_COMSN_GRSELL,B_SALES_PCT_GOODS,Gross selling value of goods sold on a commission basis,"Percent of domestic sales, revenues, and grants coming from selling goods to customers",48.70%,SALES_GOODS_PCT
868,PAY_QTR1_OTHWRK_M,WEMP,"First Quarter Payroll,Other Manufacturing Employees",Number of employees as of March 12th,48.70%,EMP_MAR12_NUM
869,JOINT_COMPANY_ADDR_STREET_2,B_COOP,"Investors,  Street Address of Company Investor 2",Companieswithin the business group ,48.70%,COOP_PARTNER_LOC_CHKBOX
870,RCPT_FOOD_CNTRC_TRANS,B_IMPROCESS_LOG ,"Contract Feeding,  Airlines, ships, railroads, business, and other in-transit facilities","Whether the business introduced new or improved methods for logistics, delivery or distribution methods",48.70%,IMPROCESS_LOG_STAT 
