name,definition
PROD_2050975000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051000000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051025000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051050000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051075000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051100000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051125000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051150000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051175000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051200000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051225000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051250000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051275000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051300000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051325000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051350000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051375000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051400000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051425000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051450000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051475000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051500000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051550000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051560000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051570000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051575000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051600000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051625000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051650000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051675000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051700000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051715000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051725000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051750000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051765000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051775000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051800000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051825000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051850000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051875000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051900000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051925000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051950000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2051975000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052000000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052025000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052050000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052075000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052085000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052100000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052125000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052150000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052175000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052185000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052195000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052200000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052225000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052250000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052275000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052300000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052325000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052350000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052375000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052400000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052425000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052450000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052475000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052500000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052525000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052550000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052575000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052600000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052625000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052650000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052675000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052700000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052725000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052750000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052775000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052800000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052825000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052850000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052875000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052900000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052925000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052950000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2052975000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053000000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053025000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053050000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053075000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053100000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053125000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053150000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053175000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053200000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053225000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053250000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053275000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053300000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053325000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053350000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053375000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053400000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053410000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053415000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053420000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053425000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053430000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053435000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053440000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053450000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053475000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053500000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053525000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053550000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053575000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053600000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053610000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053615000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053625000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053650000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053675000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053700000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053725000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053750000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053775000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053800000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053810000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053825000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053835000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053850000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053875000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053900000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053925000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053950000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2053975000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2054000000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2054025000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2054050000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2054060000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2054070000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2054075000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2054080000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_2054100000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000025000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000050000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000075000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000100000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000125000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000150000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000175000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000200000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000225000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000250000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000275000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000300000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000325000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000350000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000375000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000400000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000425000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000450000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000475000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000500000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000525000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000550000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000575000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000600000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000625000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000650000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000675000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000700000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000725000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000750000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000775000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000800000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000825000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000850000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000875000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000900000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000925000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000950000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3000975000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001000000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001025000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001050000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001075000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001100000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001125000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001150000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001175000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001200000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001225000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001250000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001275000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001300000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001325000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001350000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001375000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001400000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001425000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001450000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001475000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001500000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001525000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001550000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001575000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001600000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001625000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001650000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001675000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001700000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001725000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001750000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001775000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001800000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001825000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001850000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001875000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001900000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001925000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001950000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3001975000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002000000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002025000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002050000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002075000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002100000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002125000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002150000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002175000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002200000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002225000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002250000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002275000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002300000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002325000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002350000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002375000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002400000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002425000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002450000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002475000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002500000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002525000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002550000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002575000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002600000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002625000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002650000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002675000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002700000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002725000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002750000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002775000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002800000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002825000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002850000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002875000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002900000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002925000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002950000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3002975000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003000000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003025000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003050000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003075000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003100000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003125000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003150000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003175000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003200000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003225000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003250000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003275000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003300000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003325000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003350000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003375000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003400000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003425000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003450000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003475000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003500000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003525000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003550000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003575000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003600000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003625000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003650000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003675000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003700000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003725000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003750000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003775000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003800000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003825000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003850000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003875000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003900000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003925000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003950000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3003975000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004000000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004025000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004050000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004075000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004100000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004125000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004150000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004175000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004200000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004225000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004250000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004275000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004300000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004325000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004350000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004375000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004400000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004425000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004450000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004475000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004500000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004525000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004550000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004575000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004600000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004625000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004650000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004675000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004700000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004725000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004750000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004775000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3004800000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_3005000000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000025000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000050000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000075000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000100000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000125000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000150000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000175000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000200000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000225000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000230000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000250000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000275000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000300000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000325000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000350000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000375000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000400000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000425000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000450000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000475000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000500000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000525000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000550000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000575000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000600000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000625000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000650000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000675000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000700000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000725000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000750000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000775000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000800000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000825000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000850000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000860000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000870000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000875000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000900000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000925000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000950000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000960000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000975000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4000985000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001000000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001025000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001050000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001075000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001100000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001125000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001150000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001175000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001200000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001225000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001250000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001275000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001300000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001325000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001350000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001375000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001400000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001425000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001450000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001475000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001500000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001525000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001550000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001575000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001600000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001625000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001650000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001675000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001700000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001725000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001750000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001775000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001785000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001800000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001825000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001850000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001875000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001900000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001925000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001950000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4001975000,The Gross Sales of each product manufactured or mined by this establishment 
PROD_4002000000,The Gross Sales of each product manufactured or mined by this establishment 
